cell_id,group,cnn_nll,cnn_raw_nll,constant_nll,ln_nll,sc_adapted_nll,canonical_v1_nll,selected_lr,best_step,stopping_step,refit_steps,parameter_count,train_bins,validation_bins,cnn_minus_constant,cnn_minus_ln,cnn_minus_sc_adapted,cnn_minus_canonical_v1
67#4,PC_OFF,0.4980563521385193,0.5280892848968506,0.5226954221725464,0.4796956777572632,0.5281393141364099,0.46489620208740234,0.0003,179,379,179,2990,1920,480,-0.0246390700340271,0.018360674381256104,-0.030082961997890623,0.03316015005111694
67#6,MC_OFF,0.4016703963279724,0.5246367454528809,0.5222243666648865,0.4307261109352112,0.4889014517515875,0.4422644376754761,0.001,290,490,290,2990,13440,3360,-0.12055397033691406,-0.02905571460723877,-0.08723105542361509,-0.04059404134750366
67#7,MC_ON,0.3861783444881439,0.5237430930137634,0.529005765914917,0.4289216101169586,0.44657196628640855,0.45688679814338684,0.001,110,310,110,2990,13440,3360,-0.14282742142677307,-0.0427432656288147,-0.06039362179826463,-0.07070845365524292
67#14,PC_ON,0.3489179015159607,0.5012450218200684,0.5105581283569336,0.3661286532878876,0.3762592719233111,0.3729247450828552,0.001,216,416,216,2990,13440,3360,-0.1616402268409729,-0.01721075177192688,-0.027341370407350407,-0.02400684356689453
67#21,PC_ON,0.3066127598285675,0.3673762381076813,0.37004104256629944,0.2981460690498352,0.3041017286693641,0.30912548303604126,0.0003,508,708,508,2990,13440,3360,-0.06342828273773193,0.0084666907787323,0.002511031159203425,-0.002512723207473755
67#26,PC_ON,0.5062724351882935,0.5851079821586609,0.5894726514816284,0.515616238117218,0.525191626746297,0.5125158429145813,0.0003,372,572,372,2990,13440,3360,-0.08320021629333496,-0.00934380292892456,-0.01891919155800359,-0.006243407726287842
67#33,MC_OFF,0.3740341067314148,0.503219485282898,0.4962886869907379,0.3734823763370514,0.466717875720877,0.36991727352142334,0.001,214,414,214,2990,13440,3360,-0.12225458025932312,0.0005517303943634033,-0.09268376898946218,0.004116833209991455
67#34,PC_ON,0.36644867062568665,0.47950708866119385,0.48460838198661804,0.37744656205177307,0.3964390789047723,0.3863816261291504,0.001,144,344,144,2990,13440,3360,-0.1181597113609314,-0.010997891426086426,-0.029990408279085667,-0.019932955503463745
68#3,MC_OFF,0.46991512179374695,0.615193247795105,0.6051455736160278,0.4869406223297119,0.5737578548688193,0.5194198489189148,0.001,282,482,282,2990,13440,3360,-0.13523045182228088,-0.017025500535964966,-0.1038427330750723,-0.04950472712516785
68#4,PC_ON,0.4444691836833954,0.46434223651885986,0.45858410000801086,0.4231850504875183,0.4376132267119747,0.4271003007888794,0.001,73,273,73,2990,11520,2880,-0.014114916324615479,0.021284133195877075,0.0068559569714206625,0.01736888289451599
68#7,PC_ON,0.3528699278831482,0.4640423059463501,0.4731142222881317,0.35670673847198486,0.3721523671116139,0.38521772623062134,0.001,312,512,312,2990,13440,3360,-0.12024429440498352,-0.00383681058883667,-0.01928243922846573,-0.032347798347473145
68#10,MC_ON,0.31262242794036865,0.44072240591049194,0.44951745867729187,0.3150794804096222,0.361510521585647,0.42107105255126953,0.001,96,296,96,2990,1920,480,-0.13689503073692322,-0.00245705246925354,-0.04888809364527835,-0.10844862461090088
68#11,PC_OFF,0.4139324426651001,0.4693039059638977,0.45921972393989563,0.38745129108428955,0.43892258783981597,0.3728216588497162,0.001,207,407,207,2990,13440,3360,-0.04528728127479553,0.026481151580810547,-0.024990145174715872,0.04111078381538391
69#3,PC_OFF,0.5795568227767944,0.6444275379180908,0.632579505443573,0.5631685256958008,0.6180712027648675,0.5531577467918396,0.001,121,321,121,2990,13440,3360,-0.053022682666778564,0.016388297080993652,-0.038514379988073055,0.026399075984954834
69#4,MC_ON,0.3719051480293274,0.5071032047271729,0.5139977931976318,0.4279788136482239,0.453406195194451,0.4332510530948639,0.0003,174,374,174,2990,11520,2880,-0.14209264516830444,-0.056073665618896484,-0.08150104716512363,-0.0613459050655365
69#6,MC_OFF,0.4120599925518036,0.5165852308273315,0.5116271376609802,0.4302074909210205,0.48525252293181487,0.435077965259552,0.001,130,330,130,2990,13440,3360,-0.09956714510917664,-0.01814749836921692,-0.07319253038001128,-0.023017972707748413
69#7,MC_ON,0.4512026011943817,0.5170146822929382,0.5219630002975464,0.4580737054347992,0.4650851615299506,0.46330294013023376,0.0003,142,342,142,2990,13440,3360,-0.07076039910316467,-0.0068711042404174805,-0.013882560335568894,-0.01210033893585205
69#21,PC_OFF,0.5046581029891968,0.5357496738433838,0.5310361385345459,0.4721376299858093,0.5136721483124735,0.5064647197723389,0.0003,296,496,296,2990,11520,2880,-0.02637803554534912,0.03252047300338745,-0.009014045323276765,-0.0018066167831420898
70#1,PC_ON,0.5353417992591858,0.5615105032920837,0.5555933117866516,0.5250367522239685,0.5293212340780831,0.5456011891365051,0.001,48,248,48,2990,11520,2880,-0.02025151252746582,0.010305047035217285,0.006020565181102722,-0.010259389877319336
70#7,PC_ON,0.499858021736145,0.5427172780036926,0.5469987392425537,0.47624754905700684,0.4826914644726937,0.4724014699459076,0.001,89,289,89,2990,13440,3360,-0.04714071750640869,0.023610472679138184,0.017166557263451343,0.027456551790237427
70#15,PC_ON,0.4188883602619171,0.467823326587677,0.46590667963027954,0.43016013503074646,0.434251621322101,0.43921318650245667,0.001,67,267,67,2990,11520,2880,-0.04701831936836243,-0.011271774768829346,-0.015363261060183875,-0.02032482624053955
70#34,MC_ON,0.3416809141635895,0.4609954059123993,0.46580201387405396,0.34941768646240234,0.38487626461502944,0.3680219352245331,0.001,137,337,137,2990,13440,3360,-0.12412109971046448,-0.007736772298812866,-0.04319535045143996,-0.026341021060943604
