cell_id,group,fit,seed,signature,pair_name,control,pair_a,pair_b,normal_paired_logit,AC_off_paired_logit,normal_A,normal_B,AC_off_A,AC_off_B,normal_sign,AC_off_sign,AC_off_reverses_normal,normal_mean_on,normal_peak_signed,normal_peak_absolute,normal_peak_latency_from_onset_ms,normal_integral_response_seconds,normal_onset_50ms_mean,normal_offset_50ms_mean,AC_off_mean_on,AC_off_peak_signed,AC_off_peak_absolute,AC_off_peak_latency_from_onset_ms,AC_off_integral_response_seconds,AC_off_onset_50ms_mean,AC_off_offset_50ms_mean
69#4,MC ON,primary,20260842,Mach dark,ramp_minus_matched_uniform_x-04,False,8,33,-0.0033273855224251747,0.02197457104921341,-1.4186171293258667,-1.4152897596359253,-1.6043305397033691,-1.626305341720581,-1,1,True,-0.0033273855224251747,-0.04086339473724365,0.04086339473724365,126.66665649414062,-0.0027507678667704266,0.006846606731414795,-0.03278578817844391,0.02197457104921341,0.03396642208099365,0.03396642208099365,106.66665649414062,0.003340586026509603,0.013298779726028442,0.020563706755638123
69#4,MC ON,primary,20260842,Mach bright,ramp_minus_matched_uniform_x+04,False,16,41,0.003327393438667059,-0.021974563598632812,-1.2752876281738281,-1.27861487865448,-1.0895739793777466,-1.0675995349884033,1,-1,True,0.003327393438667059,0.04086339473724365,0.04086339473724365,126.66665649414062,0.0027507686614990233,-0.006846606731414795,0.03278578817844391,-0.021974563598632812,-0.03396648168563843,0.03396648168563843,106.66665649414062,-0.0033405868212382003,-0.013298779726028442,-0.02056373655796051
69#4,MC ON,primary,20260842,SBC,bright_surround_minus_dark_surround,False,50,51,-0.2060900181531906,-0.004334958270192146,-1.4499971866607666,-1.2439074516296387,-1.349119782447815,-1.3447848558425903,-1,-1,False,-0.2060900181531906,-0.49367332458496094,0.49367332458496094,120.0,-0.05050760269165039,-0.05211305618286133,-0.4403599202632904,-0.004334958270192146,-0.014568567276000977,0.014568567276000977,126.66665649414062,-0.0016926924387613933,-0.0007689297199249268,-0.013591200113296509
69#4,MC ON,primary,20260842,control_bright_surround_minus_dark_surround,control_bright_surround_minus_dark_surround,True,52,53,0.0,0.0,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
69#4,MC ON,primary,20260842,Hermann,intersection_minus_corridor,False,54,55,-0.10270747542381287,-0.0014754494186490774,-1.2780930995941162,-1.175385594367981,-1.0662376880645752,-1.0647622346878052,-1,-1,False,-0.10270747542381287,-0.24735069274902344,0.24735069274902344,120.0,-0.02534992218017578,-0.02591124176979065,-0.22070781886577606,-0.0014754494186490774,-0.004955768585205078,0.004955768585205078,126.66665649414062,-0.0005765016873677572,-0.00026232004165649414,-0.004622839391231537
69#4,MC ON,primary,20260842,control_intersection_minus_corridor,control_intersection_minus_corridor,True,56,57,0.0,0.0,-1.1753876209259033,-1.1753876209259033,-1.0647609233856201,-1.0647609233856201,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
69#4,MC ON,primary,20260842,White,on_bright_bar_minus_on_dark_bar,False,58,59,0.10317861288785934,0.002161534735932946,-1.2953630685806274,-1.3985416889190674,-1.3458715677261353,-1.3480331897735596,1,1,False,0.10317861288785934,0.2476062774658203,0.2476062774658203,120.0,0.025348666508992514,0.02606073021888733,0.2209222912788391,0.002161534735932946,0.007264375686645508,0.007264375686645508,126.66665649414062,0.0008440256118774414,0.0003834068775177002,0.006777018308639526
69#4,MC ON,primary,20260842,control_on_bright_bar_minus_on_dark_bar,control_on_bright_bar_minus_on_dark_bar,True,60,61,0.0,0.0,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
69#4,MC ON,primary,20260842,remote_contour_rearrangement_control_A_minus_B,remote_contour_rearrangement_control_A_minus_B,True,65,66,0.0,0.0,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,-1.3469523191452026,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
69#4,MC ON,primary,20260842,contour_rearrangement_control_A_minus_B,contour_rearrangement_control_A_minus_B,True,69,70,0.0,0.0,-1.1753863096237183,-1.1753863096237183,-1.0647584199905396,-1.0647584199905396,0,0,False,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
