cell_id,group,fit_a,fit_b,signature,nll_a,nll_b,absolute_nll_difference,normal_a,normal_b,AC_off_a,AC_off_b,normal_sign_opposite,AC_off_sign_opposite,reversal_status_different
69#4,MC ON,primary,fresh_1,Mach dark,0.4332510530948639,0.4381025433540344,0.004851490259170532,-0.0033273855224251747,-0.0016347169876098633,0.02197457104921341,0.021542787551879883,False,False,False
69#4,MC ON,primary,fresh_1,Mach bright,0.4332510530948639,0.4381025433540344,0.004851490259170532,0.003327393438667059,0.0016347329365089536,-0.021974563598632812,-0.02154279127717018,False,False,False
69#4,MC ON,primary,fresh_1,SBC,0.4332510530948639,0.4381025433540344,0.004851490259170532,-0.2060900181531906,-0.18861790001392365,-0.004334958270192146,-0.00389124546200037,False,False,False
69#4,MC ON,primary,fresh_1,Hermann,0.4332510530948639,0.4381025433540344,0.004851490259170532,-0.10270747542381287,-0.09394805133342743,-0.0014754494186490774,-0.0013245264999568462,False,False,False
69#4,MC ON,primary,fresh_1,White,0.4332510530948639,0.4381025433540344,0.004851490259170532,0.10317861288785934,0.0944184809923172,0.002161534735932946,0.0019402821781113744,False,False,False
69#4,MC ON,primary,fresh_2,Mach dark,0.4332510530948639,0.43547961115837097,0.00222855806350708,-0.0033273855224251747,-0.003351966617628932,0.02197457104921341,0.021657060831785202,False,False,False
69#4,MC ON,primary,fresh_2,Mach bright,0.4332510530948639,0.43547961115837097,0.00222855806350708,0.003327393438667059,0.0033519903663545847,-0.021974563598632812,-0.021657057106494904,False,False,False
69#4,MC ON,primary,fresh_2,SBC,0.4332510530948639,0.43547961115837097,0.00222855806350708,-0.2060900181531906,-0.20308829843997955,-0.004334958270192146,-0.00444811163470149,False,False,False
69#4,MC ON,primary,fresh_2,Hermann,0.4332510530948639,0.43547961115837097,0.00222855806350708,-0.10270747542381287,-0.10119044780731201,-0.0014754494186490774,-0.0015141050098463893,False,False,False
69#4,MC ON,primary,fresh_2,White,0.4332510530948639,0.43547961115837097,0.00222855806350708,0.10317861288785934,0.1016756072640419,0.002161534735932946,0.0022180716041475534,False,False,False
69#4,MC ON,fresh_1,fresh_2,Mach dark,0.4381025433540344,0.43547961115837097,0.002622932195663452,-0.0016347169876098633,-0.003351966617628932,0.021542787551879883,0.021657060831785202,False,False,False
69#4,MC ON,fresh_1,fresh_2,Mach bright,0.4381025433540344,0.43547961115837097,0.002622932195663452,0.0016347329365089536,0.0033519903663545847,-0.02154279127717018,-0.021657057106494904,False,False,False
69#4,MC ON,fresh_1,fresh_2,SBC,0.4381025433540344,0.43547961115837097,0.002622932195663452,-0.18861790001392365,-0.20308829843997955,-0.00389124546200037,-0.00444811163470149,False,False,False
