cell_id,group,fit,seed,validation_nll,delta_nll_vs_primary,best_step,stopping_step,H1_off,direct_BC_off,AC_off,checkpoint,checkpoint_sha256
69#4,MC ON,primary,20260842,0.4332510530948639,0.0,133,333,0.013389996190865835,1.4821596782654525,1.698397111768524,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_4\model-trained.pt,b40878f31dca0434259a6bc6affe5c3793daf3adf7d541ce205c226a2e91473b
69#4,MC ON,fresh_1,20360842,0.4381025433540344,0.004851490259170532,124,324,0.01271263211965561,1.4787020904322465,1.6488079660882553,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\69_4\fresh_1\model-trained.pt,f2516ab8567d80d90b0e52cc229a57fafb8d71f570783686c10623c894bfdf86
69#4,MC ON,fresh_2,20460842,0.43547961115837097,0.00222855806350708,154,354,0.015195348858833313,1.4651601585249105,1.7204286055018505,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\69_4\fresh_2\model-trained.pt,4fa99deffd18a1b4bee041b853d927153efc72e292923393177c3ba0a5b59e49
67#6,MC OFF,primary,20260829,0.4422644376754761,0.0,369,569,0.08676516252259413,1.2253307069341342,0.9610932952413956,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_6\model-trained.pt,02f6b00debb45d64c91a7b1017068b18c7b9e852bc4dab6dd049e50e6e96ccef
67#6,MC OFF,fresh_1,20360829,0.4459848701953888,0.0037204325199127197,208,408,0.051648307219147684,1.3475659236311912,1.1872685941557088,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\67_6\fresh_1\model-trained.pt,0f443d265caa9085d0df8f0cd225162a51d7fd79338712fb792864629e2ed31d
67#6,MC OFF,fresh_2,20460829,0.4446631669998169,0.0023987293243408203,551,751,0.09056298310558002,1.0909135265896717,0.9182190553595623,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\67_6\fresh_2\model-trained.pt,bf7dfa9d82296a448dcfe8948fcb86f72399e3746a4ae8659d70846aa8211728
68#4,PC ON,primary,20260837,0.4271003007888794,0.0,193,393,0.01155923269689083,1.0351735365887482,1.5785686761140822,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_4\model-trained.pt,0fc06f738cec84b855d2c0c7f7ca48907cd98ab11cd6d10be027ce8e5a4ff67f
68#4,PC ON,fresh_1,20360837,0.42780953645706177,0.000709235668182373,171,371,0.010005891198913257,1.0344748380283515,1.481513422355056,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\68_4\fresh_1\model-trained.pt,23ef97301179f5a226fc7451c421c6c9fcc4221ceaa122f82504e9fb54ee9bed
68#4,PC ON,fresh_2,20460837,0.4283381998538971,0.0012378990650177002,181,381,0.007941675434509913,1.0815639227628708,1.5092848063757023,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\68_4\fresh_2\model-trained.pt,576397646e949ef85f9d5c764f467b2dd6d76a72b2f24384907fdc5170ede775
67#4,PC OFF,primary,20260828,0.46489620208740234,0.0,140,340,0.006554497592151165,1.6626544244587422,0.8084447490051389,D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_4\model-trained.pt,f9ab8103f00d42703c31f8a96d57b76b25893d97c94cb9f72f534741021829a7
67#4,PC OFF,fresh_1,20360828,0.4635287821292877,-0.001367419958114624,145,345,0.006668410450220108,1.6992134749889374,0.8235098837564389,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\67_4\fresh_1\model-trained.pt,237b25d916177e493ad2120eda892d4a484c1e4784551963b8ced5eb66a974a7
67#4,PC OFF,fresh_2,20460828,0.46188926696777344,-0.0030069351196289062,198,398,0.005483430996537209,1.5644869128863017,0.6406489174813033,D:\PythonProject\retina_rf_SNN\.omo\evidence\real_data_independent_seed_sanity\fits\67_4\fresh_2\model-trained.pt,33579b5e0c51f704d3a3f85702570996b8eadfdea427f147f5f831da80b2aa00
