group,split,cells,all_bins,nonzero_bins,multispike_bins,total_spikes,excess_spikes,multispike_over_all,multispike_over_nonzero,excess_over_total_spikes
MC ON,train,5,53760,12217,4167,17478,5261,0.07751116071428571,0.34108209871490547,0.30100698020368466
MC ON,validation,5,13440,2729,931,3913,1184,0.06927083333333334,0.34115060461707586,0.3025811397904421
MC ON,combined,5,67200,14946,5098,21391,6445,0.07586309523809524,0.3410946072527767,0.30129493712308913
MC OFF,train,4,53760,13020,2766,16063,3043,0.051450892857142855,0.21244239631336406,0.1894415738031501
MC OFF,validation,4,13440,3066,608,3729,663,0.04523809523809524,0.19830397912589692,0.17779565567176187
MC OFF,combined,4,67200,16086,3374,19792,3706,0.050208333333333334,0.20974760661444736,0.1872473726758286
PC ON,train,9,115200,25219,1956,27196,1977,0.016979166666666667,0.0775605694119513,0.07269451389910281
PC ON,validation,9,28800,5730,439,6176,446,0.015243055555555555,0.07661431064572426,0.07221502590673576
PC ON,combined,9,144000,30949,2395,33372,2423,0.016631944444444446,0.07738537594106433,0.07260577729833394
PC OFF,train,4,40320,9272,1071,10364,1092,0.0265625,0.11550905953408111,0.10536472404477036
PC OFF,validation,4,10080,2421,259,2685,264,0.025694444444444443,0.10698058653448989,0.09832402234636871
PC OFF,combined,4,50400,11693,1330,13049,1356,0.02638888888888889,0.11374326520140254,0.10391600888957009
