cell_id,group,split,recording_ids,all_bins,nonzero_bins,multispike_bins,total_spikes,excess_spikes,multispike_over_all,multispike_over_nonzero,excess_over_total_spikes
67#4,PC OFF,train,lSS01071,1920,423,16,439,16,0.008333333333333333,0.037825059101654845,0.03644646924829157
67#4,PC OFF,validation,lSS01071,480,104,2,106,2,0.004166666666666667,0.019230769230769232,0.018867924528301886
67#4,PC OFF,combined,lSS01071,2400,527,18,545,18,0.0075,0.03415559772296015,0.03302752293577982
67#6,MC OFF,train,lSS01078;lSS01079,13440,3266,528,3799,533,0.039285714285714285,0.16166564605021433,0.1403000789681495
67#6,MC OFF,validation,lSS01078;lSS01079,3360,721,108,834,113,0.03214285714285714,0.14979195561719832,0.1354916067146283
67#6,MC OFF,combined,lSS01078;lSS01079,16800,3987,636,4633,646,0.03785714285714286,0.1595184349134688,0.13943449169004965
67#7,MC ON,train,lSS01086;lSS01087,13440,3228,973,4420,1192,0.07239583333333334,0.3014250309789343,0.269683257918552
67#7,MC ON,validation,lSS01086;lSS01087,3360,742,227,1012,270,0.0675595238095238,0.3059299191374663,0.26679841897233203
67#7,MC ON,combined,lSS01086;lSS01087,16800,3970,1200,5432,1462,0.07142857142857142,0.3022670025188917,0.2691458026509573
67#14,PC ON,train,lSS01110;lSS01112,13440,3208,631,3851,643,0.04694940476190476,0.19669576059850374,0.166969618280966
67#14,PC ON,validation,lSS01110;lSS01112,3360,689,134,826,137,0.03988095238095238,0.19448476052249636,0.16585956416464892
67#14,PC ON,combined,lSS01110;lSS01112,16800,3897,765,4677,780,0.045535714285714284,0.19630484988452657,0.1667735728030789
67#21,PC ON,train,lSS01130;lSS01131,13440,1914,108,2022,108,0.008035714285714285,0.05642633228840126,0.05341246290801187
67#21,PC ON,validation,lSS01130;lSS01131,3360,405,31,436,31,0.009226190476190476,0.07654320987654321,0.07110091743119266
67#21,PC ON,combined,lSS01130;lSS01131,16800,2319,139,2458,139,0.008273809523809524,0.0599396291504959,0.05655004068348251
67#26,PC ON,train,lSS01141;lSS01142,13440,4110,228,4340,230,0.016964285714285713,0.05547445255474453,0.052995391705069124
67#26,PC ON,validation,lSS01141;lSS01142,3360,920,69,991,71,0.020535714285714286,0.075,0.07164480322906155
67#26,PC ON,combined,lSS01141;lSS01142,16800,5030,297,5331,301,0.01767857142857143,0.05904572564612326,0.05646220221346839
67#33,MC OFF,train,lSS01159;lSS01160,13440,2696,524,3237,541,0.03898809523809524,0.1943620178041543,0.16713005869632375
67#33,MC OFF,validation,lSS01159;lSS01160,3360,662,108,772,110,0.03214285714285714,0.16314199395770393,0.14248704663212436
67#33,MC OFF,combined,lSS01159;lSS01160,16800,3358,632,4009,651,0.03761904761904762,0.18820726622989875,0.16238463457221253
67#34,PC ON,train,lSS01167;lSS01168,13440,2736,139,2875,139,0.010342261904761904,0.05080409356725146,0.04834782608695652
67#34,PC ON,validation,lSS01167;lSS01168,3360,633,34,667,34,0.01011904761904762,0.053712480252764615,0.050974512743628186
67#34,PC ON,combined,lSS01167;lSS01168,16800,3369,173,3542,173,0.010297619047619047,0.051350549124369246,0.048842461885940144
68#3,MC OFF,train,lSS01181;lSS01183,13440,4061,929,5148,1087,0.06912202380952381,0.22876138882048758,0.21114996114996115
68#3,MC OFF,validation,lSS01181;lSS01183,3360,985,216,1224,239,0.06428571428571428,0.21928934010152284,0.19526143790849673
68#3,MC OFF,combined,lSS01181;lSS01183,16800,5046,1145,6372,1326,0.0681547619047619,0.2269124058660325,0.2080979284369115
68#4,PC ON,train,lSS01184,11520,1874,114,1988,114,0.009895833333333333,0.060832443970117396,0.05734406438631791
68#4,PC ON,validation,lSS01184,2880,494,25,520,26,0.008680555555555556,0.05060728744939271,0.05
68#4,PC ON,combined,lSS01184,14400,2368,139,2508,140,0.009652777777777777,0.05869932432432432,0.05582137161084529
68#7,PC ON,train,lSS01194;lSS01196,13440,3056,422,3482,426,0.03139880952380952,0.1380890052356021,0.12234348075818495
68#7,PC ON,validation,lSS01194;lSS01196,3360,591,74,666,75,0.022023809523809525,0.12521150592216582,0.11261261261261261
68#7,PC ON,combined,lSS01194;lSS01196,16800,3647,496,4148,501,0.029523809523809525,0.13600219358376747,0.1207810993249759
68#10,MC ON,train,lSS01221,1920,411,171,615,204,0.0890625,0.41605839416058393,0.33170731707317075
68#10,MC ON,validation,lSS01221,480,77,28,114,37,0.058333333333333334,0.36363636363636365,0.32456140350877194
68#10,MC ON,combined,lSS01221,2400,488,199,729,241,0.08291666666666667,0.4077868852459016,0.33058984910836764
68#11,PC OFF,train,lSS01225;lSS01227,13440,1987,159,2146,159,0.011830357142857142,0.08002013085052843,0.07409133271202237
68#11,PC OFF,validation,lSS01225;lSS01227,3360,574,41,615,41,0.012202380952380952,0.07142857142857142,0.06666666666666667
68#11,PC OFF,combined,lSS01225;lSS01227,16800,2561,200,2761,200,0.011904761904761904,0.07809449433814916,0.07243752263672583
69#3,PC OFF,train,lSS01251;lSS01252,13440,4254,426,4690,436,0.03169642857142857,0.1001410437235543,0.0929637526652452
69#3,PC OFF,validation,lSS01251;lSS01252,3360,1100,97,1197,97,0.02886904761904762,0.08818181818181818,0.0810359231411863
69#3,PC OFF,combined,lSS01251;lSS01252,16800,5354,523,5887,533,0.03113095238095238,0.09768397459843108,0.090538474605062
69#4,MC ON,train,lSS01254,11520,2552,855,3615,1063,0.07421875,0.33503134796238243,0.29405255878284925
69#4,MC ON,validation,lSS01254,2880,604,202,865,261,0.07013888888888889,0.3344370860927152,0.3017341040462428
69#4,MC ON,combined,lSS01254,14400,3156,1057,4480,1324,0.07340277777777778,0.33491761723700886,0.2955357142857143
69#6,MC OFF,train,lSS01256;lSS01257,13440,2997,785,3879,882,0.058407738095238096,0.2619285952619286,0.2273781902552204
69#6,MC OFF,validation,lSS01256;lSS01257,3360,698,176,899,201,0.05238095238095238,0.2521489971346705,0.2235817575083426
69#6,MC OFF,combined,lSS01256;lSS01257,16800,3695,961,4778,1083,0.05720238095238095,0.26008119079837616,0.2266638760987861
69#7,MC ON,train,lSS01258;lSS01259,13440,3300,1235,4934,1634,0.09188988095238096,0.37424242424242427,0.33117146331576813
69#7,MC ON,validation,lSS01258;lSS01259,3360,719,280,1102,383,0.08333333333333333,0.3894297635605007,0.34754990925589835
69#7,MC ON,combined,lSS01258;lSS01259,16800,4019,1515,6036,2017,0.09017857142857143,0.37695944264742476,0.33416169648774025
69#21,PC OFF,train,lSS01270,11520,2608,470,3089,481,0.04079861111111111,0.18021472392638035,0.1557138232437682
69#21,PC OFF,validation,lSS01270,2880,643,119,767,124,0.04131944444444444,0.18506998444790046,0.16166883963494133
69#21,PC OFF,combined,lSS01270,14400,3251,589,3856,605,0.04090277777777778,0.18117502306982466,0.15689834024896265
70#1,PC ON,train,lSS01278,11520,2703,121,2824,121,0.010503472222222223,0.04476507584165742,0.04284702549575071
70#1,PC ON,validation,lSS01278,2880,702,35,737,35,0.012152777777777778,0.04985754985754986,0.04748982360922659
70#1,PC ON,combined,lSS01278,14400,3405,156,3561,156,0.010833333333333334,0.04581497797356828,0.04380791912384162
70#7,PC ON,train,lSS01284;lSS01285,13440,3550,131,3684,134,0.00974702380952381,0.03690140845070423,0.03637350705754615
70#7,PC ON,validation,lSS01284;lSS01285,3360,788,21,809,21,0.00625,0.0266497461928934,0.02595797280593325
70#7,PC ON,combined,lSS01284;lSS01285,16800,4338,152,4493,155,0.009047619047619047,0.03503918856615952,0.03449810816826174
70#15,PC ON,train,lSS01287,11520,2068,62,2130,62,0.005381944444444444,0.029980657640232108,0.02910798122065728
70#15,PC ON,validation,lSS01287,2880,508,16,524,16,0.005555555555555556,0.031496062992125984,0.030534351145038167
70#15,PC ON,combined,lSS01287,14400,2576,78,2654,78,0.005416666666666667,0.030279503105590064,0.0293896006028636
70#34,MC ON,train,lSS01299;lSS01300,13440,2726,933,3894,1168,0.06941964285714286,0.3422597212032282,0.29994863893168977
70#34,MC ON,validation,lSS01299;lSS01300,3360,587,194,820,233,0.05773809523809524,0.33049403747870526,0.2841463414634146
70#34,MC ON,combined,lSS01299;lSS01300,16800,3313,1127,4714,1401,0.06708333333333333,0.3401750679142771,0.297199830292745
