cell_id,group,mode,pathway,valid_bins,mean_abs_delta_logit,change_from_production
67#4,PC OFF,production,H1_off,480,0.006554497592151165,0.0
67#4,PC OFF,production,direct_BC_off,480,1.6626544244587422,0.0
67#4,PC OFF,production,AC_off,480,0.8084447490051389,0.0
67#4,PC OFF,preroll_400ms,H1_off,480,0.006552739689747493,-1.7579024036724206e-06
67#4,PC OFF,preroll_400ms,direct_BC_off,480,1.6625205613672733,-0.00013386309146889985
67#4,PC OFF,preroll_400ms,AC_off,480,0.8083775962392489,-6.715276588997732e-05
67#4,PC OFF,continuous,H1_off,480,0.006552732301255067,-1.7652908960979347e-06
67#4,PC OFF,continuous,direct_BC_off,480,1.6625142246484756,-0.00014019981026658357
67#4,PC OFF,continuous,AC_off,480,0.8083765210583806,-6.822794675820365e-05
67#6,MC OFF,production,H1_off,3360,0.08676516252259413,0.0
67#6,MC OFF,production,direct_BC_off,3360,1.2253307069341342,0.0
67#6,MC OFF,production,AC_off,3360,0.9610932952413956,0.0
67#6,MC OFF,preroll_400ms,H1_off,3360,0.08675952665507794,-5.63586751618772e-06
67#6,MC OFF,preroll_400ms,direct_BC_off,3360,1.225250562777122,-8.014415701218525e-05
67#6,MC OFF,preroll_400ms,AC_off,3360,0.9610214865456025,-7.180869579315186e-05
67#6,MC OFF,continuous,H1_off,3360,0.08675952727595965,-5.635246634480562e-06
67#6,MC OFF,continuous,direct_BC_off,3360,1.2252453368157148,-8.537011841935893e-05
67#6,MC OFF,continuous,AC_off,3360,0.961019474764665,-7.382047673065717e-05
67#7,MC ON,production,H1_off,3360,0.04428749941289425,0.0
67#7,MC ON,production,direct_BC_off,3360,1.3451614778488874,0.0
67#7,MC ON,production,AC_off,3360,1.4347749551137288,0.0
67#7,MC ON,preroll_400ms,H1_off,3360,0.044296727329492566,9.22791659831862e-06
67#7,MC ON,preroll_400ms,direct_BC_off,3360,1.3450583394616842,-0.00010313838720321655
67#7,MC ON,preroll_400ms,AC_off,3360,1.434668174137672,-0.00010678097605687498
67#7,MC ON,continuous,H1_off,3360,0.044296113401651384,8.61398875713626e-06
67#7,MC ON,continuous,direct_BC_off,3360,1.3450522245218357,-0.00010925332705169488
67#7,MC ON,continuous,AC_off,3360,1.4346648264676332,-0.00011012864609560857
