split,group,quantity,cells,defined_cells,mean,median
consumed,MC_ON,E_BC,5,5,0.04866166687595418,0.030155102042722315
consumed,MC_ON,E_AC,5,5,0.5263950361957301,0.562307706294605
consumed,MC_ON,N_BC,5,5,0.16724729252153897,0.10775065491893317
consumed,MC_ON,N_AC,5,5,1.5089016231866323,1.5362372654025622
consumed,MC_ON,D,5,5,1.3416543306650934,1.3958448700264134
consumed,MC_OFF,E_BC,4,4,0.2782682596792547,0.27796355398318073
consumed,MC_OFF,E_AC,4,4,0.03855016453558026,0.0363556271899549
consumed,MC_OFF,N_BC,4,4,0.6959723873399368,0.7269733655896982
consumed,MC_OFF,N_AC,4,4,0.21049618763874223,0.1972965033143277
consumed,MC_OFF,D,4,4,-0.4854761997011946,-0.40525232230834646
consumed,PC_ON,E_BC,9,9,0.1999388300766646,0.19050112066387098
consumed,PC_ON,E_AC,9,9,0.19991044975138839,0.19611699548307332
consumed,PC_ON,N_BC,9,9,0.6244115161689034,0.708383994812653
consumed,PC_ON,N_AC,9,9,1.2219525000432592,1.2403900003752977
consumed,PC_ON,D,9,9,0.5975409838743558,0.5721447424666657
consumed,PC_OFF,E_BC,4,4,0.003993943356147972,0.04036283085817795
consumed,PC_OFF,E_AC,4,4,0.0061901014305959234,0.008965678538912763
consumed,PC_OFF,N_BC,4,4,0.055514063386693,0.1947598004950387
consumed,PC_OFF,N_AC,4,4,0.07636919429343847,0.14643415581037086
consumed,PC_OFF,D,4,4,0.02085513090674547,-0.04314283557951523
