split,cell_id,group,pathway,matching_feature,E,overlap_mass,Q1_bins,Q5_bins,retained_strata,residual_U_difference,residual_LSC_difference,residual_C_difference,residual_R_difference,Q1_overlap_fraction,Q5_overlap_fraction,unconditional_denominator,normalized_E
consumed,67#4,PC_OFF,BC,U,-0.11697671933991985,495,1193,1004,5,0.10459893635923166,0.8871109966011117,0.5748851914873265,0.9899998867675591,0.4149203688181056,0.49302788844621515,0.478770676311237,-0.24432724293222205
consumed,67#4,PC_OFF,AC,U,0.015213904282794805,495,1193,1004,5,0.10459893635923166,0.8871109966011117,0.5748851914873265,0.9899998867675591,0.4149203688181056,0.49302788844621515,0.06722177803391659,0.22632403854475058
consumed,67#6,MC_OFF,BC,U,0.14687635246865344,2065,9282,5089,5,0.30149910758513837,1.026202292609327,0.6605204371341835,1.0159783644384122,0.222473604826546,0.405777166437414,0.41714375053823555,0.3521000908658961
consumed,67#6,MC_OFF,AC,U,0.00968076175409893,2065,9282,5089,5,0.30149910758513837,1.026202292609327,0.6605204371341835,1.0159783644384122,0.222473604826546,0.405777166437414,0.15851647118049028,0.06107101477849709
consumed,67#7,MC_ON,BC,U,0.0344725124044003,2891,9072,6377,5,0.09150553421324328,0.8291995489466522,0.5765882095454512,0.8605413017808768,0.31867283950617287,0.45334796926454446,0.30179832206061236,0.1142236715202046
consumed,67#7,MC_ON,AC,U,0.15808673041642352,2891,9072,6377,5,0.09150553421324328,0.8291995489466522,0.5765882095454512,0.8605413017808768,0.31867283950617287,0.45334796926454446,0.35548320194823907,0.44470942522747414
consumed,67#14,PC_ON,BC,U,0.04247329043519375,3360,8302,6930,5,0.006656659455786473,0.8210269378582051,0.4583569800031152,0.8020145489246768,0.40472175379426645,0.48484848484848486,0.44475949934088377,0.09549720803746185
consumed,67#14,PC_ON,AC,U,0.07562881879892402,3360,8302,6930,5,0.006656659455786473,0.8210269378582051,0.4583569800031152,0.8020145489246768,0.40472175379426645,0.48484848484848486,0.16102975927407598,0.4696574045683209
consumed,67#21,PC_ON,BC,U,0.08644629844374963,2520,9352,5684,5,0.17433530060684893,0.9553905117366506,0.5010904725079908,0.8247858102143044,0.2694610778443114,0.4433497536945813,0.2635223416913277,0.32804162974920353
consumed,67#21,PC_ON,AC,U,0.07738788604674907,2520,9352,5684,5,0.17433530060684893,0.9553905117366506,0.5010904725079908,0.8247858102143044,0.2694610778443114,0.4433497536945813,0.1264601641691233,0.6119546542993038
consumed,67#26,PC_ON,BC,U,0.05565279980094365,2751,9646,6013,5,0.11047859152555549,0.9108546150041427,0.5435932612727518,0.8809043890535528,0.28519593613933236,0.4575087310826543,0.3306452547508212,0.1683157371875316
consumed,67#26,PC_ON,AC,U,0.05063475976137167,2751,9646,6013,5,0.11047859152555549,0.9108546150041427,0.5435932612727518,0.8809043890535528,0.28519593613933236,0.4575087310826543,0.13204973933194986,0.38345217504810647
consumed,67#33,MC_OFF,BC,U,-0.03481106500058939,3353,9079,7035,5,0.20215514449587227,0.8160183640452288,0.6048191823211093,0.8829650322020708,0.36931380107941403,0.4766169154228856,0.4238749739557458,-0.08212578505336293
consumed,67#33,MC_OFF,AC,U,-0.03506454442916654,3353,9079,7035,5,0.20215514449587227,0.8160183640452288,0.6048191823211093,0.8829650322020708,0.36931380107941403,0.4766169154228856,0.15037999902714608,-0.23317292629345482
consumed,67#34,PC_ON,BC,U,0.02273665470459578,2996,8939,6209,5,0.14077387638867694,0.9742652203123998,0.5287120618218837,0.9577678974504926,0.3351605324980423,0.48252536640360766,0.30839165500004834,0.07372655626687505
consumed,67#34,PC_ON,AC,U,0.025466870398299743,2996,8939,6209,5,0.14077387638867694,0.9742652203123998,0.5287120618218837,0.9577678974504926,0.3351605324980423,0.48252536640360766,0.15810913940271634,0.16107146300653521
consumed,68#3,MC_OFF,BC,U,0.06563741241852775,2618,9947,6076,5,0.257160063674418,0.8384545061212493,0.6176594234839742,0.8944619231697933,0.26319493314567205,0.4308755760368664,0.4614319072684999,0.14224723384881657
consumed,68#3,MC_OFF,AC,U,0.006924233120372731,2618,9947,6076,5,0.257160063674418,0.8384545061212493,0.6176594234839742,0.8944619231697933,0.26319493314567205,0.4308755760368664,0.19187228195946232,0.03608771965215717
consumed,68#4,PC_ON,BC,U,-0.0006306500891243676,2760,7722,5688,5,0.2413483736697567,0.9656243043556635,0.5723243154376374,0.9765783746159405,0.35742035742035744,0.48523206751054854,0.0741040848729066,-0.008510328279554011
consumed,68#4,PC_ON,AC,U,0.036450955370937815,2760,7722,5688,5,0.2413483736697567,0.9656243043556635,0.5723243154376374,0.9765783746159405,0.35742035742035744,0.48523206751054854,0.36213075789023796,0.10065688864237851
consumed,68#7,PC_ON,BC,U,0.04943313750540194,3633,9870,7378,5,0.265608476445596,0.7889807222202856,0.5914497500680456,0.8298440546543097,0.3680851063829787,0.49240986717267554,0.4296257245955153,0.1150609348449568
consumed,68#7,PC_ON,AC,U,0.02822632473644758,3633,9870,7378,5,0.265608476445596,0.7889807222202856,0.5914497500680456,0.8298440546543097,0.3680851063829787,0.49240986717267554,0.201139470871663,0.14033210196947063
consumed,68#10,MC_ON,BC,U,-0.03259778269982748,493,1336,1048,5,0.05296511568617927,0.8074862853912704,0.4061476249418565,0.7242988899516626,0.3690119760479042,0.47041984732824427,0.2798600348685554,-0.11647887743292107
consumed,68#10,MC_ON,AC,U,0.111371633795733,493,1336,1048,5,0.05296511568617927,0.8074862853912704,0.4061476249418565,0.7242988899516626,0.3690119760479042,0.47041984732824427,0.29168462747521623,0.3818220890135734
consumed,68#11,PC_OFF,BC,U,-0.187248679422827,3122,8603,6608,5,0.1803733406311254,0.9382468080772172,0.5854714472929972,0.9691220278159174,0.3628966639544345,0.4724576271186441,0.2700721181880344,-0.6933284364158517
consumed,68#11,PC_OFF,AC,U,-0.005323250743378958,3122,8603,6608,5,0.1803733406311254,0.9382468080772172,0.5854714472929972,0.9691220278159174,0.3628966639544345,0.4724576271186441,0.04340228187937075,-0.12264909845463948
consumed,69#3,PC_OFF,BC,U,0.027989200421297714,3311,9373,6622,5,0.07832551955912204,0.9262821205485134,0.4851745316904662,0.8693177705430365,0.3532486930545183,0.5,0.20252344366144115,0.13820227384681114
consumed,69#3,PC_OFF,AC,U,-0.0060887416466974785,3311,9373,6622,5,0.07832551955912204,0.9262821205485134,0.4851745316904662,0.8693177705430365,0.3532486930545183,0.5,0.05821962283088242,-0.10458229288747169
consumed,69#4,MC_ON,BC,U,-0.05510513154727524,2208,8562,4770,5,0.20890186744375622,0.8852975283380249,0.6127828546622456,0.9149651631042925,0.2578836720392432,0.4628930817610063,0.26253906707759445,-0.2098930729078454
consumed,69#4,MC_ON,AC,U,0.156146467216901,2208,8562,4770,5,0.20890186744375622,0.8852975283380249,0.6127828546622456,0.9149651631042925,0.2578836720392432,0.4628930817610063,0.43049976900288334,0.36270975842464437
consumed,69#6,MC_OFF,BC,U,-0.0042434363252764964,3318,8183,6874,5,0.1388607315564023,0.9224871806855339,0.6909284757494456,1.0480646159055593,0.40547476475620187,0.48268839103869654,0.3048259782649805,-0.013920848706627437
consumed,69#6,MC_OFF,AC,U,0.025378321686890325,3318,8183,6874,5,0.1388607315564023,0.9224871806855339,0.6909284757494456,1.0480646159055593,0.40547476475620187,0.48268839103869654,0.17933090164413726,0.1415167238563873
consumed,69#7,MC_ON,BC,U,-0.017925179815288184,2933,9177,6566,5,0.067994935715652,0.8738888477230052,0.5225764704047989,0.8477261523474368,0.31960335621662855,0.4466950959488273,0.21362760674350467,-0.08390853639441054
consumed,69#7,MC_ON,AC,U,0.0877826408276904,2933,9177,6566,5,0.067994935715652,0.8738888477230052,0.5225764704047989,0.8477261523474368,0.31960335621662855,0.4466950959488273,0.3416970369224555,0.256901966778283
consumed,69#21,PC_OFF,BC,U,0.00809238250083309,2256,6852,4920,5,0.06911659419254626,1.0291844062634636,0.5113514061722049,1.0112071076752296,0.329246935201401,0.4585365853658537,0.22812261115608276,0.035473829007227335
consumed,69#21,PC_OFF,AC,U,0.0024309754787075386,2256,6852,4920,5,0.06911659419254626,1.0291844062634636,0.5113514061722049,1.0112071076752296,0.329246935201401,0.4585365853658537,0.0652196385554658,0.0372736729695324
consumed,70#1,PC_ON,BC,U,-0.008515263313601185,2370,8496,4656,5,0.17324037334203723,1.1112021938938896,0.6763257857716125,1.1445627802164744,0.278954802259887,0.509020618556701,0.11690929362529501,-0.07283649613770984
consumed,70#1,PC_ON,AC,U,0.15870856613260406,2370,8496,4656,5,0.17324037334203723,1.1112021938938896,0.6763257857716125,1.1445627802164744,0.278954802259887,0.509020618556701,0.16041033661613,0.9893911419960526
consumed,70#7,PC_ON,BC,U,0.028526349848186708,3395,9219,6888,5,0.13945297952873636,0.8953395612386662,0.4975091842775098,0.8586074378408202,0.3682611996962794,0.4928861788617886,0.3314776906592383,0.08605812895418057
consumed,70#7,PC_ON,AC,U,0.040089352375831194,3395,9219,6888,5,0.13945297952873636,0.8953395612386662,0.4975091842775098,0.8586074378408202,0.3682611996962794,0.4928861788617886,0.18177961622683023,0.22053821659413375
consumed,70#15,PC_ON,BC,U,0.027548391277690452,2190,7248,4926,5,0.08586278903210642,1.0315902306026012,0.495301873488612,0.9581061313301851,0.3021523178807947,0.4445797807551766,0.2592526447503359,0.10626079168534601
consumed,70#15,PC_ON,AC,U,-0.006763003875000015,2190,7248,4926,5,0.08586278903210642,1.0315902306026012,0.495301873488612,0.9581061313301851,0.3021523178807947,0.4445797807551766,0.16076327479789812,-0.04206808976429508
consumed,70#34,MC_ON,BC,U,0.01824569149148114,2898,10129,6328,5,0.16501101634207496,0.8411637312937343,0.5197616595107946,0.7876409955615128,0.286109191430546,0.4579646017699115,0.2858973585177099,0.06381902787097947
consumed,70#34,MC_ON,AC,U,0.1668121414100003,2898,10129,6328,5,0.16501101634207496,0.8411637312937343,0.5197616595107946,0.7876409955615128,0.286109191430546,0.4579646017699115,0.33415369441533704,0.49920783219790116
