split,cell_id,group,pathway,feature,spearman
consumed,67#4,PC_OFF,BC,S,0.0877838695869735
consumed,67#4,PC_OFF,BC,U,0.14430665242999288
consumed,67#4,PC_OFF,AC,S,-0.02166795026770617
consumed,67#4,PC_OFF,AC,U,-0.035311359227669196
consumed,67#6,MC_OFF,BC,S,0.1423223649146284
consumed,67#6,MC_OFF,BC,U,0.14412400359243832
consumed,67#6,MC_OFF,AC,S,-0.12021879193063928
consumed,67#6,MC_OFF,AC,U,-0.06271713222569898
consumed,67#7,MC_ON,BC,S,-0.15811845226891819
consumed,67#7,MC_ON,BC,U,0.03415376380366684
consumed,67#7,MC_ON,AC,S,0.17630185983822544
consumed,67#7,MC_ON,AC,U,0.08952843055642679
consumed,67#14,PC_ON,BC,S,-0.10732985241327672
consumed,67#14,PC_ON,BC,U,0.11676632485338843
consumed,67#14,PC_ON,AC,S,0.1064928112765867
consumed,67#14,PC_ON,AC,U,0.04258761857471442
consumed,67#21,PC_ON,BC,S,-0.1694766359873593
consumed,67#21,PC_ON,BC,U,0.021226380786775412
consumed,67#21,PC_ON,AC,S,0.019480954920608813
consumed,67#21,PC_ON,AC,U,0.06938947093608322
consumed,67#26,PC_ON,BC,S,-0.10701407648618236
consumed,67#26,PC_ON,BC,U,0.09034225319134266
consumed,67#26,PC_ON,AC,S,0.0827916081918831
consumed,67#26,PC_ON,AC,U,0.032600697292848466
consumed,67#33,MC_OFF,BC,S,0.1245396363326265
consumed,67#33,MC_OFF,BC,U,0.1448758032000714
consumed,67#33,MC_OFF,AC,S,-0.11653097655395464
consumed,67#33,MC_OFF,AC,U,-0.0678995000070177
consumed,67#34,PC_ON,BC,S,-0.1440351448894976
consumed,67#34,PC_ON,BC,U,0.07626227039754063
consumed,67#34,PC_ON,AC,S,0.11555270053897176
consumed,67#34,PC_ON,AC,U,0.057577478014464764
consumed,68#3,MC_OFF,BC,S,0.08303394535974604
consumed,68#3,MC_OFF,BC,U,0.13678278893150086
consumed,68#3,MC_OFF,AC,S,-0.05937264465524909
consumed,68#3,MC_OFF,AC,U,-0.05112777547463009
consumed,68#4,PC_ON,BC,S,-0.13102121409233547
consumed,68#4,PC_ON,BC,U,-0.039354315661442284
consumed,68#4,PC_ON,AC,S,0.18713205947278555
consumed,68#4,PC_ON,AC,U,0.1298627641621478
consumed,68#7,PC_ON,BC,S,-0.11894853423946299
consumed,68#7,PC_ON,BC,U,0.09858209253697725
consumed,68#7,PC_ON,AC,S,0.07716733585000936
consumed,68#7,PC_ON,AC,U,0.039625870873620496
consumed,68#10,MC_ON,BC,S,-0.18431415187995448
consumed,68#10,MC_ON,BC,U,0.02359308641897076
consumed,68#10,MC_ON,AC,S,0.1860968558418774
consumed,68#10,MC_ON,AC,U,0.11427590242082909
consumed,68#11,PC_OFF,BC,S,0.09555284712646814
consumed,68#11,PC_OFF,BC,U,0.13597980172079832
consumed,68#11,PC_OFF,AC,S,-0.03334869583006597
consumed,68#11,PC_OFF,AC,U,-0.021241139281974745
consumed,69#3,PC_OFF,BC,S,0.0639579454113756
consumed,69#3,PC_OFF,BC,U,0.10022628713620413
consumed,69#3,PC_OFF,AC,S,-0.036124569201369645
consumed,69#3,PC_OFF,AC,U,-0.045541696684417085
consumed,69#4,MC_ON,BC,S,-0.197369253883826
consumed,69#4,MC_ON,BC,U,0.017198169218003406
consumed,69#4,MC_ON,AC,S,0.1706780092370496
consumed,69#4,MC_ON,AC,U,0.08701126773105793
consumed,69#6,MC_OFF,BC,S,0.13367654702932122
consumed,69#6,MC_OFF,BC,U,0.11815890842221753
consumed,69#6,MC_OFF,AC,S,-0.12905091096179197
consumed,69#6,MC_OFF,AC,U,-0.04538916007076382
consumed,69#7,MC_ON,BC,S,-0.16764921429931004
consumed,69#7,MC_ON,BC,U,0.026193489739639756
consumed,69#7,MC_ON,AC,S,0.17750335568032335
consumed,69#7,MC_ON,AC,U,0.07487314005842163
consumed,69#21,PC_OFF,BC,S,0.12217649503243011
consumed,69#21,PC_OFF,BC,U,0.08176689622672054
consumed,69#21,PC_OFF,AC,S,-0.09068897927442017
consumed,69#21,PC_OFF,AC,U,-0.016756837077978814
consumed,70#1,PC_ON,BC,S,-0.16818498178052746
consumed,70#1,PC_ON,BC,U,0.020987662183702637
consumed,70#1,PC_ON,AC,S,0.15925274225291114
consumed,70#1,PC_ON,AC,U,0.03351056219379595
consumed,70#7,PC_ON,BC,S,-0.11047841976922201
consumed,70#7,PC_ON,BC,U,0.07994364687331525
consumed,70#7,PC_ON,AC,S,0.10244711200292138
consumed,70#7,PC_ON,AC,U,0.039674660634224854
consumed,70#15,PC_ON,BC,S,-0.17134551861442252
consumed,70#15,PC_ON,BC,U,0.020828533111332703
consumed,70#15,PC_ON,AC,S,0.08851792311912808
consumed,70#15,PC_ON,AC,U,0.062120043748277266
consumed,70#34,MC_ON,BC,S,-0.15863309094922556
consumed,70#34,MC_ON,BC,U,0.031686372841204964
consumed,70#34,MC_ON,AC,S,0.14681969970986347
consumed,70#34,MC_ON,AC,U,0.09538475898215265
