split,cell_id,group,pathway,quintile,bins,mean_delta_loss,median_delta_loss,normal_nll,recalibrated_off_nll,event_rate,mean_C,mean_U,mean_R,mean_V,mean_LSC
consumed,67#4,PC_OFF,BC,1,1193,0.5676411663704913,-0.09048810715069822,0.5589620671727658,1.126603233543257,0.3319362950544845,-0.4221590646523434,0.662781779913575,-0.42132844591293295,0.661812335555344,0.08331218119438034
consumed,67#4,PC_OFF,BC,2,779,0.44128243255423366,-0.09754308364838446,0.5115955423920785,0.9528779749463123,0.2554557124518614,0.03853982195098761,0.6887469127584559,0.044988013569705686,0.6808518643591678,0.1830133702715589
consumed,67#4,PC_OFF,BC,3,888,0.41553253278552693,-0.10337720166976072,0.5425975809834913,0.9581301137690181,0.2747747747747748,0.15277566554828678,0.6283732274550448,0.17106988743884602,0.6069331966373407,0.26405969347461183
consumed,67#4,PC_OFF,BC,4,936,0.3579487877470398,-0.06762764406936486,0.506079893041896,0.8640286807889359,0.2297008547008547,0.7827078710397589,1.0644746269647094,0.8003725816922642,1.0284007001825652,0.4812778382423208
consumed,67#4,PC_OFF,BC,5,1004,0.5708280531966295,0.10637403529367323,0.38609145788107,0.9569195110776995,0.17031872509960158,2.2180674946024324,2.3465147313053025,2.241678132824477,2.2728363890807617,1.2983148359804362
consumed,67#4,PC_OFF,AC,1,1193,0.061936450908694804,-0.009174733196629854,0.5589620671727658,0.6208985180814606,0.3319362950544845,-0.4221590646523434,0.662781779913575,-0.42132844591293295,0.661812335555344,0.08331218119438034
consumed,67#4,PC_OFF,AC,2,779,0.07400687308217423,-0.0033442739100209007,0.5115955423920785,0.5856024154742527,0.2554557124518614,0.03853982195098761,0.6887469127584559,0.044988013569705686,0.6808518643591678,0.1830133702715589
consumed,67#4,PC_OFF,AC,3,888,0.06192667823073941,-0.0014760960638120306,0.5425975809834913,0.6045242592142307,0.2747747747747748,0.15277566554828678,0.6283732274550448,0.17106988743884602,0.6069331966373407,0.26405969347461183
consumed,67#4,PC_OFF,AC,4,936,0.07195015361360173,-0.008890189576134265,0.506079893041896,0.5780300466554977,0.2297008547008547,0.7827078710397589,1.0644746269647094,0.8003725816922642,1.0284007001825652,0.4812778382423208
consumed,67#4,PC_OFF,AC,5,1004,0.068512709608053,-0.020031963916841467,0.38609145788107,0.45460416748912297,0.17031872509960158,2.2180674946024324,2.3465147313053025,2.241678132824477,2.2728363890807617,1.2983148359804362
consumed,67#6,MC_OFF,BC,1,9282,0.34447986773426587,-0.14513496415719668,0.5092693726420959,0.8537492403763618,0.2737556561085973,-0.3596794444998067,0.6294348773831191,-0.35774482023071424,0.6269870036339633,0.10996068712024944
consumed,67#6,MC_OFF,BC,2,5628,0.3460095825130322,-0.0928047597070325,0.4746883735006144,0.8206979560136467,0.2533759772565743,0.016875062643805845,0.6128290039864316,0.023826400771248146,0.6062878099698648,0.24398569756690328
consumed,67#6,MC_OFF,BC,3,7014,0.3365955436579575,-0.09729677968748601,0.4208214890692366,0.7574170327271941,0.20701454234388367,0.3736348021512497,0.7863972782475305,0.3860733559923451,0.7662901472617978,0.3611441382725859
consumed,67#6,MC_OFF,BC,4,6587,0.40701615965872584,-0.04132100165168243,0.4103655425459021,0.8173817022046279,0.20343100045544255,0.949510743915322,1.1961308055785345,0.9622483829892863,1.1383028979255156,0.6404581901023219
consumed,67#6,MC_OFF,BC,5,5089,0.752471874337389,0.08543966636007969,0.34577186962031903,1.0982437439577082,0.18844566712517194,2.705209741624567,2.8132657451528034,2.56546493743556,2.5773796475788977,1.5470786959785465
