split,quantity,cells,defined_cells,available,mean,median,positive,negative,zero,mean_ci_low,mean_ci_high,median_ci_low,median_ci_high
consumed,E_BC,22,22,True,0.14417302805506196,0.15025057108891873,19,3,0,,,,
consumed,E_AC,22,22,True,0.20955137693662962,0.18035936634288485,20,2,0,,,,
consumed,N_BC,22,22,True,0.430085723228834,0.4973809604965228,19,3,0,,,,
consumed,N_AC,22,22,True,0.8949791883659644,1.1003030616011367,20,2,0,,,,
consumed,D,22,22,True,0.46489346513713065,0.45839060247261354,15,7,0,,,,
consumed,E_BC_U,22,22,True,0.007094389371237552,0.02049117309803846,13,9,0,,,,
consumed,E_AC_U,22,22,True,0.053599172859842496,0.0323386400536927,18,4,0,,,,
consumed,N_BC_U,22,22,True,0.013349885882953895,0.06877279206892725,13,9,0,,,,
consumed,N_AC_U,22,22,True,0.22828208546216552,0.19080483980033447,18,4,0,,,,
consumed,D_U,22,22,True,0.2149321995792116,0.1852870052117948,17,5,0,,,,
consumed,E_BC_LSC,22,22,True,0.011943526957333212,-0.009849626841157762,9,13,0,,,,
consumed,E_AC_LSC,22,22,True,0.024062641916119468,0.015547828333675,15,7,0,,,,
consumed,G_BC,22,22,True,0.377290632292976,0.39082591946608025,22,0,0,,,,
consumed,G_AC,22,22,True,0.264002613698778,0.22457927049265405,20,2,0,,,,
