cell_id,feature,probability,threshold
67#4,S,0.2,0.019429820546737055
67#4,S,0.4,0.05104964174903358
67#4,S,0.6,0.12056187568948815
67#4,S,0.8,0.3054153359853306
67#4,U,0.2,0.27573014348745345
67#4,U,0.4,0.5035009533166885
67#4,U,0.6,0.6287763074040412
67#4,U,0.8,1.1598681315779695
67#4,LSC,0.2,0.06707964889105382
67#4,LSC,0.4,0.1489526825940806
67#4,LSC,0.6,0.2937708472803491
67#4,LSC,0.8,0.6925708031025033
67#6,S,0.2,0.023871905143771834
67#6,S,0.4,0.058489331469338976
67#6,S,0.6,0.1446005809706237
67#6,S,0.8,0.37543193128492275
67#6,U,0.2,0.18443457052111636
67#6,U,0.4,0.43960340321064006
67#6,U,0.6,0.5916669344902039
67#6,U,0.8,0.9612177329138015
67#6,LSC,0.2,0.10236516676139841
67#6,LSC,0.4,0.22465387716571
67#6,LSC,0.6,0.39216202616981033
67#6,LSC,0.8,0.7835094186541078
67#7,S,0.2,0.02196091840354106
67#7,S,0.4,0.05095604384938887
67#7,S,0.6,0.12197242928668854
67#7,S,0.8,0.29956861436367116
67#7,U,0.2,0.23784218300133966
67#7,U,0.4,0.5077392616619668
67#7,U,0.6,0.6472181906302762
67#7,U,0.8,1.1220483243465482
67#7,LSC,0.2,0.07870150507624202
67#7,LSC,0.4,0.18098915292592485
67#7,LSC,0.6,0.34759945907382417
67#7,LSC,0.8,0.7952320584805114
67#14,S,0.2,0.021158500512440885
67#14,S,0.4,0.05816630274057398
67#14,S,0.6,0.13550564463560752
67#14,S,0.8,0.320038618644079
67#14,U,0.2,0.24250301122665419
67#14,U,0.4,0.49536124914884583
67#14,U,0.6,0.6423173367977141
67#14,U,0.8,1.130417335033417
67#14,LSC,0.2,0.07235903200646157
67#14,LSC,0.4,0.15264515555103683
67#14,LSC,0.6,0.2889933713785444
67#14,LSC,0.8,0.6722226790021847
67#21,S,0.2,0.021697122439315295
67#21,S,0.4,0.05222298045953136
67#21,S,0.6,0.12139457562317411
67#21,S,0.8,0.33501093387914266
67#21,U,0.2,0.23277864977717436
67#21,U,0.4,0.4788079548627139
67#21,U,0.6,0.6178522884845731
67#21,U,0.8,0.9707956224679948
67#21,LSC,0.2,0.07621843356183004
67#21,LSC,0.4,0.16098178290219847
67#21,LSC,0.6,0.3214656822512721
67#21,LSC,0.8,0.6938058777490643
67#26,S,0.2,0.02427573041990403
67#26,S,0.4,0.05789634963730358
67#26,S,0.6,0.1292938707768917
67#26,S,0.8,0.3313425307348375
67#26,U,0.2,0.2290133808553219
67#26,U,0.4,0.4920981001853944
67#26,U,0.6,0.630612754821777
67#26,U,0.8,1.099800500869754
67#26,LSC,0.2,0.0785300352034624
67#26,LSC,0.4,0.1695145481597942
67#26,LSC,0.6,0.3146064048594614
67#26,LSC,0.8,0.7196893486049605
67#33,S,0.2,0.0225531574717696
67#33,S,0.4,0.06307857648684441
67#33,S,0.6,0.14291938137549604
67#33,S,0.8,0.29855667350670634
67#33,U,0.2,0.23154212668538118
67#33,U,0.4,0.48661141574382794
67#33,U,0.6,0.6196024584770202
67#33,U,0.8,0.964703431129459
67#33,LSC,0.2,0.0800577786447615
67#33,LSC,0.4,0.19459107321577915
67#33,LSC,0.6,0.3528445098611765
67#33,LSC,0.8,0.6966973078799403
67#34,S,0.2,0.024924031758148755
67#34,S,0.4,0.06467114714905624
67#34,S,0.6,0.1486301790257649
67#34,S,0.8,0.3645061541481754
67#34,U,0.2,0.19667483195662538
67#34,U,0.4,0.4683402143418789
67#34,U,0.6,0.6235146015882487
67#34,U,0.8,1.1064655803144072
67#34,LSC,0.2,0.08634968779990333
67#34,LSC,0.4,0.16883030960339696
67#34,LSC,0.6,0.3407164557401884
67#34,LSC,0.8,0.7337204421168378
68#3,S,0.2,0.028085381900652816
68#3,S,0.4,0.07402595369263196
68#3,S,0.6,0.13709935983165336
68#3,S,0.8,0.30434754779323486
68#3,U,0.2,0.1911586867024504
68#3,U,0.4,0.4495840392385923
68#3,U,0.6,0.5964581092198687
68#3,U,0.8,0.917875601847968
68#3,LSC,0.2,0.1015909396038676
68#3,LSC,0.4,0.22023197855401844
68#3,LSC,0.6,0.3993431208845035
68#3,LSC,0.8,0.7319208576973589
68#4,S,0.2,0.022175518578539305
68#4,S,0.4,0.0625392887508497
68#4,S,0.6,0.14508825276667864
68#4,S,0.8,0.33070819417480474
68#4,U,0.2,0.21167128706971836
68#4,U,0.4,0.4866077085336049
68#4,U,0.6,0.616904540856679
68#4,U,0.8,0.9171271761258458
68#4,LSC,0.2,0.08260964485553554
68#4,LSC,0.4,0.16219733267217512
68#4,LSC,0.6,0.3261543696458056
68#4,LSC,0.8,0.6445563924339041
