cell_id,family,mode_A,mode_B,cosine,relative_l2,norm_A,norm_B,rmse
67#4,sustained,0,1,0.9703438400517966,0.24188087869811356,0.9854544018707383,0.9646796950482696,0.059590644160354526
67#4,sustained,0,2,0.9087476844789557,0.4188107253705863,0.9854544018707383,0.9300171807021734,0.10317971821678029
67#4,sustained,1,2,0.9821665074702746,0.18888222309514238,0.9646796950482696,0.9300171807021734,0.04555271134386529
67#4,transient,0,1,0.9952298036140111,0.09824369651598963,0.9657554559406553,0.9723357926779923,0.02371984648052373
67#4,transient,0,2,0.919933486559406,0.40473977554834145,0.9657554559406553,0.9854491060204306,0.09771991161800174
67#4,transient,1,2,0.9526681054957069,0.3100360401735901,0.9723357926779923,0.9854491060204306,0.0753647847202334
67#6,sustained,0,1,0.982526202550438,0.18613740185678196,0.9829216383623814,0.9679156216072038,0.04573961999839628
67#6,sustained,0,2,0.8075656905572766,0.5918348144879818,0.9829216383623814,0.8422348409431155,0.1454318113741058
67#6,sustained,1,2,0.8999061945122259,0.4370973391405199,0.9679156216072038,0.8422348409431155,0.10576833567926278
67#6,transient,0,1,0.9976036717356722,0.06988290274044928,0.9398635970341775,0.9468539174830682,0.01642009908520706
67#6,transient,0,2,0.9689155731040873,0.2534253067348338,0.9398635970341775,0.962313401729933,0.05954630509182267
67#6,transient,1,2,0.9835258456562236,0.183719461496949,0.9468539174830682,0.962313401729933,0.04348887295906647
67#7,sustained,0,1,0.8747055727930492,0.4875373003366657,0.9874787601679568,0.9160285718386313,0.12035818221802086
67#7,sustained,0,2,0.8012915426984094,0.6032630141108787,0.9874787601679568,0.8677124552015637,0.14892735330734877
67#7,sustained,1,2,0.9899370705874877,0.1478051862976658,0.9160285718386313,0.8677124552015637,0.033848443428648414
67#7,transient,0,1,0.9989424169546278,0.04609754918182569,0.9732410185102899,0.9754302702458346,0.011216006429137053
67#7,transient,0,2,0.992989025921402,0.11886715731429233,0.9732410185102899,0.9785970415210685,0.02892159831299618
67#7,transient,1,2,0.997364611661481,0.07279030471720375,0.9754302702458346,0.9785970415210685,0.01775046665039468
67#14,sustained,0,1,0.9821530232341255,0.18808770716551335,0.9832547339758855,0.9669294222330526,0.04623453211829027
67#14,sustained,0,2,0.8469024230470341,0.5331495351041718,0.9832547339758855,0.870702216766602,0.13105545107705488
67#14,sustained,1,2,0.9297238223135272,0.3694167266718367,0.9669294222330526,0.870702216766602,0.08929997552100614
67#14,transient,0,1,0.9983847573087012,0.05692556721144751,0.980687779575208,0.9825908762800049,0.013956552027413431
67#14,transient,0,2,0.969475100220883,0.24810768535673022,0.980687779575208,0.987959029997599,0.06082904376200903
67#14,transient,1,2,0.9816743856178896,0.19204507641092816,0.9825908762800049,0.987959029997599,0.047175434978968596
67#21,sustained,0,1,0.8807218853944947,0.4741902378433119,0.9888400610124103,0.8936024376099747,0.11722457593011747
67#21,sustained,0,2,0.7970049088694778,0.604648283077949,0.9888400610124103,0.8163637252514191,0.14947511128246208
67#21,sustained,1,2,0.9868157020197266,0.1776526555735382,0.8936024376099747,0.8163637252514191,0.03968771151709975
67#21,transient,0,1,0.9858080098558595,0.1709010719004668,0.9446237602007197,0.9614546119524205,0.040359303290238124
67#21,transient,0,2,0.9840073307992754,0.18148197147385128,0.9446237602007197,0.962322945950285,0.042858045575567286
67#21,transient,1,2,0.9999447458250036,0.010555748580054933,0.9614546119524205,0.962322945950285,0.0025372182887260075
67#26,sustained,0,1,0.9103475990335108,0.4142547504099511,0.9837886317494373,0.9137230959256367,0.10188477852537761
67#26,sustained,0,2,0.8035780599734127,0.5960364585134035,0.9837886317494373,0.8216168547222832,0.14659347299842038
67#26,sustained,1,2,0.9760523146031868,0.23071335938397786,0.9137230959256367,0.8216168547222832,0.052702031251933075
67#26,transient,0,1,0.9978920294516689,0.0659486356321284,0.9275647636989622,0.9364950403125207,0.015292907656596036
67#26,transient,0,2,0.9887157547528198,0.15318858070547922,0.9275647636989622,0.946802930048146,0.03552308241586431
67#26,transient,1,2,0.9963294182851902,0.08685112653095865,0.9364950403125207,0.946802930048146,0.02033391231044949
67#33,sustained,0,1,0.9913295257005025,0.13140137082940787,0.9809687264207217,0.9717365627819305,0.032225158848115304
67#33,sustained,0,2,0.9658770216524081,0.2590742660770062,0.9809687264207217,0.9535339923783372,0.06353593821048599
67#33,sustained,1,2,0.9914489325741014,0.1308918084106238,0.9717365627819305,0.9535339923783372,0.03179808900031264
67#33,transient,0,1,0.9999782857783965,0.006708867278782335,0.9090409387299418,0.9078782171908224,0.0015246587522297211
67#33,transient,0,2,0.9137107483409815,0.431354717829227,0.9090409387299418,0.962126556806657,0.09802977440526743
