cohort,cell_id,fit_A,fit_B,pathway,cosine,relative_l2,norm_A,norm_B,rmse,center_displacement_deg,temporal_marginal_cosine,nonzero_element_sign_agreement,center_x_deg_A,center_y_deg_A,rms_extent_deg_A,temporal_signed_marginal_A,temporal_energy_marginal_A,center_x_deg_B,center_y_deg_B,rms_extent_deg_B,temporal_signed_marginal_B,temporal_energy_marginal_B
alignment_nuisance,67#4,zero,aligned,global,-0.09323045304715562,1.6507004390925701,0.24700825436716684,0.30218878279943867,0.005996126969755466,0.10736580091331258,0.9746479927016666,0.6640478862701085,-1.5992996774016096e-16,5.435841903523915e-15,0.044413018056132375,"[-0.0018320660568270641, -0.0001263553755583846, 0.0015906318167213662, 0.002709786128322733, 0.002097649287732928, -0.002274583111178008, -0.013681865780100999, -0.03681586429771655, -0.0771643920721643, -0.1381853344976648, -0.21363022208015095, -0.27203521380408985, -0.23918881067046818, -0.039588713062689414, 0.0, 0.0]","[0.0001007170736240395, 0.00011965817199948803, 0.00015031683411953524, 0.00020392843519106296, 0.0003038114258706711, 0.0005032307372119048, 0.0009274650456196291, 0.001861763653606673, 0.0038793033840088397, 0.007818674907391115, 0.013855249529595926, 0.01844301648474867, 0.01251198095603315, 0.0003339610864942533, 0.0, 0.0]",0.07908378978659414,-0.0726165917593634,0.04080551410248344,"[0.014813132989069722, 0.017226976631594226, 0.019223211892477554, 0.019963937532143206, 0.018054668407666563, 0.011339838169896588, -0.003307743360281279, -0.029894584358195697, -0.0725207964461354, -0.13297414733118473, -0.20520626791985003, -0.26533526966385923, -0.26105478262202275, -0.1337704478563746, 0.0, 0.0]","[0.00012738452158954355, 0.0001800912458048906, 0.00026398797026922096, 0.0004034625963989517, 0.000646522068000791, 0.0010898052683792209, 0.0019272512274871364, 0.003524396250305404, 0.006475586878813292, 0.011438309694093127, 0.018198883533619953, 0.02337235745392581, 0.01910462418297567, 0.004565397558143315, 0.0, 0.0]"
alignment_nuisance,67#4,zero,aligned,H1,0.7570542410471444,1.1676833626186691,0.00033132017510590896,0.0005714753664860408,5.689368473104032e-06,0.11740951846040185,0.9980291290174844,0.7096894874672652,-1.9037929932133307e-09,3.025512676413179e-09,0.11680105036509882,"[0.00019546288573557558, 0.0002448330154416478, 0.00031085024420063334, 0.0003972036764725573, 0.0005062155167783189, 0.0006372102479116348, 0.0007831861558846853, 0.0009261984069210971, 0.0010322049805737699, 0.0010491359386847199, 0.0009170153011881232, 0.0006087211312415103, 0.00021762068527825425, 2.5528584397188875e-05, 0.0, 0.0]","[9.146989929565826e-10, 1.3781438170228508e-09, 2.1308181780580517e-09, 3.3427531933201316e-09, 5.23186301085563e-09, 8.018211247038642e-09, 1.1761351822523422e-08, 1.6028834548788045e-08, 1.9454462856478574e-08, 1.9675374918743937e-08, 1.4714929027123206e-08, 6.325825793289145e-09, 7.849928507417291e-10, 1.0798175270232737e-11, 0.0, 0.0]",0.08167087289159383,-0.08434964567120502,0.11508724091924945,"[0.00018941808709715957, 0.00029289384643860217, 0.0004290917777152181, 0.0006025780574283601, 0.0008146381240925482, 0.0010599105343311876, 0.0013219344415773548, 0.0015672083487818789, 0.0017401134208718805, 0.0017636787377008911, 0.001557055127348328, 0.0010887355761099171, 0.0004782312430961187, 6.72548277298457e-05, 0.0, 0.0]","[1.6401232048083965e-09, 2.9776035983111073e-09, 5.313437116250013e-09, 9.213420608522048e-09, 1.534974068885548e-08, 2.4257608726619255e-08, 3.5806487164569445e-08, 4.8302587489250614e-08, 5.760739686084658e-08, 5.7546898189890764e-08, 4.372675969940088e-08, 2.082910426304034e-08, 3.915640843905896e-09, 9.728604608397768e-11, 0.0, 0.0]"
alignment_nuisance,67#4,zero,aligned,direct_BC,0.0,1.5556800269098094,0.28943032515944106,0.3449130809579256,0.006621484941655208,0.10821117865716355,0.9901249529956351,nan,0.0,0.0,0.04256327243106334,"[-0.03567909635603428, -0.04005398880690336, -0.045994690619409084, -0.05432891100645065, -0.06620834767818451, -0.08329823426902294, -0.10780465602874756, -0.1422250047326088, -0.188340712338686, -0.24445798993110657, -0.2992602288722992, -0.32106783241033554, -0.24937335401773453, -0.04020041786134243, 0.0, 0.0]","[0.00026165227563307997, 0.00033014616819929295, 0.00043597134282134884, 0.0006092943829234428, 0.0009064885770802555, 0.001437356971225691, 0.0024112391807065703, 0.004201983241019891, 0.007375194350990669, 0.012431771405958969, 0.018635866638300413, 0.021453531541194837, 0.012942929621902188, 0.00033648742394313397, 0.0, 0.0]",0.07927720070849446,-0.07365313730044128,0.037396639891591255,"[-0.03425412345677614, -0.040811617858707905, -0.04946352168917656, -0.061024597845971584, -0.07659371942281723, -0.097530173137784, -0.12533997558057308, -0.16139279305934906, -0.20599724724888802, -0.25643685832619667, -0.3031926900148392, -0.32400231063365936, -0.27933237701654434, -0.13240292109549046, 0.0, 0.0]","[0.00029872499478483545, 0.00042412787923152683, 0.0006231352186461415, 0.0009486377608661474, 0.0014946728221382072, 0.00242378741354839, 0.004003483546872858, 0.00663827101664094, 0.010814948364018542, 0.016759727904550006, 0.023428285731280307, 0.02675420791056793, 0.019885263644312146, 0.00446775920843057, 0.0, 0.0]"
alignment_nuisance,67#4,zero,aligned,AC,0.488874714643666,1.163976211965104,0.07199754339481125,0.0906797744042852,0.0012324033504630234,0.09615276289032355,0.9969114988391383,0.9774436090225563,-6.5361940657553295e-19,6.5361940657553295e-19,0.058705040645203536,"[0.033651566598564386, 0.03968280181288719, 0.04727446846663952, 0.056641495786607265, 0.0677997786551714, 0.08038644213229418, 0.09333960339426994, 0.10448294598609209, 0.1101440992206335, 0.10522352624684572, 0.08471300080418587, 0.04842390166595578, 0.009966911748051643, 0.00058617620379664, 0.0, 0.0]","[7.770044512962732e-05, 0.00010954649300811846, 0.00015746386056511292, 0.00022861614304545716, 0.0003306121907737515, 0.0004680301561274685, 0.0006340103675347129, 0.0007963989728852464, 0.0008851479152429528, 0.0008056062628184093, 0.0005182307458791902, 0.00016592779876929833, 6.3349736128510435e-06, 1.9929495532201033e-08, 0.0, 0.0]",0.07630215215559577,-0.05850927608394325,0.06354487857173656,"[0.04887783993035555, 0.057745701633393764, 0.06825764011591673, 0.08038595435209572, 0.09383374778553843, 0.10781010170467198, 0.12071030167862773, 0.129931008676067, 0.13173633557744324, 0.12169902608729899, 0.09642937732860446, 0.05757830443326384, 0.017799350258428603, -0.0014347797259688377, 0.0, 0.0]","[0.00017242501788467836, 0.00024111709487943114, 0.000337408578060323, 0.00046846935841517054, 0.000638819516690644, 0.000843744009006464, 0.0010575930991103485, 0.0012240779743068638, 0.0012554205059645447, 0.0010666214352550976, 0.0006637850433845488, 0.00023193723364715472, 2.0877975056875024e-05, 5.246443499124127e-07, 0.0, 0.0]"
alignment_nuisance,67#6,zero,aligned,global,0.1869176337832945,1.7227999936386216,0.1991040875889133,0.31900132245219487,0.0050443606004647555,0.13129511855714854,0.9869159360720635,0.7985294117647059,-9.721063167471207e-11,5.5313811084468476e-11,0.06755014810535215,"[-0.014734850210494699, -0.007733668960902662, 0.004735850816288689, 0.025252724693906714, 0.05616272918771159, 0.09750556410691047, 0.14251490345492357, 0.17004541578517873, 0.1394546322018808, 0.0057170787602842665, -0.22090528571124413, -0.39428960531949997, -0.28251221403479576, 0.0, 0.0, 0.0]","[4.1264934890067234e-05, 3.369221511943286e-05, 3.502123146026067e-05, 6.935875460676542e-05, 0.0001855043238673164, 0.00044905239498771996, 0.0008663156128058912, 0.0012026542308128, 0.0010714680959367714, 0.0016323537069291997, 0.007742455684028943, 0.017386939765680676, 0.00892635674348781, 0.0, 0.0, 0.0]",-0.12044423338567095,-0.05226466127995782,0.06971261374240117,"[-0.004212805789826746, 0.0032181835317928176, 0.016934666948600352, 0.040626301968174516, 0.07960661755025455, 0.13823256850723453, 0.21351366798894844, 0.28000093257194436, 0.27225341241917533, 0.09144394060959588, -0.289626199555471, -0.645141971585037, -0.576056219637394, 0.0, 0.0, 0.0]","[1.0649612046617376e-05, 1.706780667101571e-05, 4.7238846795765145e-05, 0.00014308326943977064, 0.0003975617128990415, 0.0009680806579784162, 0.0019649065022796855, 0.0029654517103133667, 0.0026738153843289723, 0.002384315307449806, 0.014476050329156123, 0.042150004019296895, 0.03356361856759371, 0.0, 0.0, 0.0]"
alignment_nuisance,67#6,zero,aligned,H1,0.5648807577624597,2.0293106605091396,0.00737761486399509,0.017845323968530825,0.00022016871312699888,0.13128050207107322,0.7473779323653963,0.8607843137254902,-1.5768836717415258e-09,4.710501476609782e-09,0.1219976135236617,"[-0.008269976900898257, -0.010257507736135096, -0.011074716996589018, -0.009504631072580594, -0.004093661353614664, 0.006200080042987111, 0.020341669245738103, 0.032586065326366764, 0.03300800368487522, 0.017157519074174843, 0.0007082031473215622, -1.3440847396850586e-05, 4.563480615615845e-06, 0.0, 0.0, 0.0]","[8.493661263686362e-07, 1.3053849124272046e-06, 1.4760663641021656e-06, 9.935647963290823e-07, 1.340922759883237e-07, 1.0669535926773368e-06, 7.6265281874853884e-06, 1.804198477694401e-05, 1.8060305036362536e-05, 4.867061675006777e-06, 7.870805051035223e-09, 2.0203453493516932e-11, 2.3292453035783645e-12, 0.0, 0.0, 0.0]",-0.1201045918014048,-0.0530043123875701,0.124362757946937,"[-0.013915271359543624, -0.019439937540006724, -0.025215518873210385, -0.029613734412535564, -0.02955365214764072, -0.0204307028370323, 0.0022395495934262044, 0.038083841499407356, 0.07414156700595242, 0.08417874349643956, 0.05154534117190224, 0.0003609980375749444, -3.7007033824920654e-05, 0.0, 0.0, 0.0]","[2.4924172547666815e-06, 4.885041032652501e-06, 8.18508898369487e-06, 1.1116014549480327e-05, 1.0634787056088909e-05, 4.443035214020889e-06, 8.999639481731818e-07, 2.6955906592965693e-05, 9.119009713350591e-05, 0.00011476963719923112, 4.2880272512252763e-05, 3.187550111125001e-09, 1.3851487665195172e-10, 0.0, 0.0, 0.0]"
alignment_nuisance,67#6,zero,aligned,direct_BC,0.18806673941773627,1.6800523197596717,0.2069922157771277,0.32107209710142975,0.005114084592478793,0.1308095989448387,0.9854194490229085,1.0,0.0,0.0,0.05964021607181007,"[-0.026463420363143086, -0.02684097527526319, -0.027389795053750277, -0.02843022858723998, -0.030583968851715326, -0.03531698044389486, -0.04571556951850653, -0.06777045223861933, -0.11158877890557051, -0.1895508673042059, -0.30188729614019394, -0.3911343030631542, -0.28066492453217506, 0.0, 0.0, 0.0]","[7.822766877309289e-05, 8.047569939675128e-05, 8.380107358545727e-05, 9.029144418016481e-05, 0.00010449764543071305, 0.00013936392378481534, 0.00023356659353734703, 0.000513423439998102, 0.0013922860780719902, 0.004017886022796919, 0.010192179543520752, 0.017109774975183525, 0.008810003284065365, 0.0, 0.0, 0.0]",-0.11977588802501586,-0.05258220063793843,0.06321992414620525,"[-0.01622685801703483, -0.017158366972580552, -0.01838043425232172, -0.020147913601249456, -0.02317074965685606, -0.02916614548303187, -0.042091730050742626, -0.07044747238978744, -0.13051509112119675, -0.24717098474502563, -0.4378223679959774, -0.6417878791689873, -0.5728336572647095, 0.0, 0.0, 0.0]","[2.6579090716552357e-05, 2.9718157306249518e-05, 3.4102772063900326e-05, 4.097931281547653e-05, 5.420602679242115e-05, 8.591038712882463e-05, 0.00017900098474566003, 0.0005016183069796929, 0.0017222655719321255, 0.006178107448033994, 0.01938653624690058, 0.04165912007092179, 0.033189147160772675, 0.0, 0.0, 0.0]"
alignment_nuisance,67#6,zero,aligned,AC,0.44486711268374945,1.3080204605171908,0.09640492067834021,0.13479238318003675,0.0018544060109089088,0.13331780847553473,0.9990719641175524,1.0,0.0,0.0,0.08570305793896851,"[0.019998544710688293, 0.029364813584834337, 0.04320035898126662, 0.06318758660927415, 0.09084035456180573, 0.12662246637046337, 0.1678888015449047, 0.20522979367524385, 0.21803539898246527, 0.17811044212430716, 0.0802738037891686, -0.0031419135630130768, -0.001851845532655716, 0.0, 0.0, 0.0]","[1.967480918609198e-05, 4.253847188124101e-05, 9.226172675010097e-05, 0.0001977469251878629, 0.00040920702335784016, 0.0007955700199646799, 0.001398830300309596, 0.002090357420001997, 0.002358453922127278, 0.0015711264412174705, 0.0003166540983867022, 1.1040339687358458e-06, 3.835386574758959e-07, 0.0, 0.0, 0.0]",-0.12322659786217735,-0.050880680380991264,0.08947690249712839,"[0.025929323979653418, 0.03981648827902973, 0.06053062004502863, 0.0903879520483315, 0.13233101787045598, 0.18782942555844784, 0.25336585054174066, 0.3123645596206188, 0.3286269214004278, 0.2544361692853272, 0.09665083489380777, -0.0037150848656892776, -0.003185524605214596, 0.0, 0.0, 0.0]","[2.952106219628951e-05, 6.98772114643455e-05, 0.00016192299925719676, 0.0003611792479915097, 0.0007741421021603024, 0.001559751503351105, 0.002840092939890982, 0.004318748736656719, 0.004780295805078553, 0.002861603840587591, 0.0004094288172697438, 1.395934531885426e-06, 1.026362917630301e-06, 0.0, 0.0, 0.0]"
alignment_nuisance,67#7,zero,aligned,global,0.45587059625194426,1.0659042431673353,0.20851559612881662,0.21734832307738602,0.0032684949805922357,0.08780647960017669,0.9984405365059744,0.8775,-5.2138867368237194e-11,2.687360627943968e-11,0.071372186535853,"[-0.00457034608227147, -0.015322180041586364, -0.031884849768410106, -0.05610119352726173, -0.08950531003414852, -0.13145650336892345, -0.17593619375164593, -0.20650195408347471, -0.19124114532893532, -0.0868824147505391, 0.1271689306588648, 0.36060901445229465, 0.36122801527380943, 0.047588549088686705, 0.0, 0.0]","[2.0852841363161067e-05, 3.3674023998680365e-05, 7.583117666102419e-05, 0.00018400133636867916, 0.0004190721011620897, 0.0008484677322925875, 0.0014592116043973414, 0.001978746090072268, 0.0018663961336838543, 0.0015086540562955406, 0.004959390820699648, 0.015277086567468198, 0.014594074019761552, 0.0002532953247311369, 0.0, 0.0]",0.0836561844718129,0.026676218849464983,0.07854906165019983,"[-0.0047855697902292604, -0.01675893978237397, -0.03570211780321131, -0.06425272753932632, -0.104252669816006, -0.15484797455259525, -0.2085140274974293, -0.24367770622322737, -0.21930161757314792, -0.08299120189392156, 0.18086277275741125, 0.44331068834681364, 0.4314258508384228, 0.03747898596338928, 0.0, 0.0]","[1.2858390571759367e-05, 2.8751940000113795e-05, 7.993341934489333e-05, 0.0002126206340674624, 0.000503331465632793, 0.0010340545847284085, 0.0017781158629271748, 0.0023422799883079685, 0.001969479842553905, 0.001204497539296068, 0.005279948481586992, 0.016966188001657154, 0.015709673505063762, 0.00011855988881332612, 0.0, 0.0]"
alignment_nuisance,67#7,zero,aligned,H1,0.8823301776377134,0.8015079621828641,0.003420267032035956,0.005236821656158424,4.031428322012312e-05,0.08684670579623674,0.9965686765549789,0.92625,-3.929972672703328e-09,4.482850582962182e-09,0.12546503452986477,"[0.006210737741259464, 0.007269579210877453, 0.007826521819644938, 0.007392599546314216, 0.005388343493684999, 0.0013553044255729674, -0.004570285637406357, -0.010923422372112412, -0.014443999322215184, -0.011759640695777118, -0.004472657049280571, -0.0004153146954726239, 1.6926787793636322e-05, 1.6184058040380478e-06, 0.0, 0.0]","[4.960209140620646e-07, 6.74969635643744e-07, 7.678619134286604e-07, 6.564147130473962e-07, 3.105478945539854e-07, 1.8832672630496044e-08, 4.908253188427044e-07, 2.1475559107503923e-06, 3.519501942253437e-06, 2.2868856441413013e-06, 3.26219509386946e-07, 2.558160985831214e-09, 3.204773686010798e-11, 2.929682321392568e-13, 0.0, 0.0]",0.08260860728151655,0.026798654847507347,0.12760734234013135,"[0.009136318289264977, 0.010804831465140552, 0.011791943007793293, 0.011110989604446786, 0.007823095568355143, 0.00112995795085169, -0.00865940408750987, -0.0186835144106432, -0.02324750313688284, -0.017380440023291477, -0.0050609821786729015, -0.0004380994917445591, -8.982233703136444e-05, -7.757567800581455e-06, 0.0, 0.0]","[1.0395062927837836e-06, 1.4429596489038055e-06, 1.706924447821832e-06, 1.4600964947768186e-06, 6.468570162934755e-07, 2.9009183168655017e-08, 1.494940200117849e-06, 5.818169347625855e-06, 8.609092087627839e-06, 4.765084456884778e-06, 4.066382084605563e-07, 4.3376395825607495e-09, 6.809550215369775e-10, 5.079340505869442e-12, 0.0, 0.0]"
