split,comparator,estimate,group,cells,mean,median
consumed,LN,raw,MC_ON,5,0.005577999827949752,0.014323582246239946
consumed,LN,raw,MC_OFF,4,0.00511295646902656,0.005402935037395307
consumed,LN,raw,PC_ON,9,-0.002043622785054821,-0.003414678585975034
consumed,LN,raw,PC_OFF,4,0.010300081588855762,0.009195629722285553
consumed,LN,matched,MC_ON,5,0.007468796498723451,0.005854486285773215
consumed,LN,matched,MC_OFF,4,-0.0024099399861425303,-0.000935884005644008
consumed,LN,matched,PC_ON,9,0.0003697194175129353,0.00032358647804654164
consumed,LN,matched,PC_OFF,4,0.011869784497425083,0.010552762966276198
consumed,CNN,raw,MC_ON,5,-0.050720841282042774,-0.03587879515667931
consumed,CNN,raw,MC_OFF,4,-0.021501131245349157,-0.015146976933815426
consumed,CNN,raw,PC_ON,9,-0.021819386891056596,-0.022482328579618998
consumed,CNN,raw,PC_OFF,4,0.005711198889287911,0.00365473096073112
consumed,CNN,matched,MC_ON,5,-0.029802822900607456,-0.046708203729448096
consumed,CNN,matched,MC_OFF,4,0.010213293259492169,0.007532777619298213
consumed,CNN,matched,PC_ON,9,-0.0030711829076266284,-0.005080674620436194
consumed,CNN,matched,PC_OFF,4,0.0174054509057569,0.011782328422153605
