split,cell_id,group,comparator,spearman
consumed,67#4,PC_OFF,LN,0.012341741421752107
consumed,67#4,PC_OFF,CNN,-0.00572059421561393
consumed,67#6,MC_OFF,LN,0.016030814340940027
consumed,67#6,MC_OFF,CNN,-0.07280618187618794
consumed,67#7,MC_ON,LN,-0.023479014933888338
consumed,67#7,MC_ON,CNN,-0.15418682987187468
consumed,67#14,PC_ON,LN,-0.00510668506114058
consumed,67#14,PC_ON,CNN,-0.09636092254117241
consumed,67#21,PC_ON,LN,0.06549272359154801
consumed,67#21,PC_ON,CNN,-0.07319930875103871
consumed,67#26,PC_ON,LN,-0.001682385852518953
consumed,67#26,PC_ON,CNN,-0.12929453515835368
consumed,67#33,MC_OFF,LN,0.011065750752615115
consumed,67#33,MC_OFF,CNN,-0.13151165718354385
consumed,67#34,PC_ON,LN,-0.046058989088503456
consumed,67#34,PC_ON,CNN,-0.15675981106692916
consumed,68#3,MC_OFF,LN,-0.01294890863380697
consumed,68#3,MC_OFF,CNN,-0.05802901433685034
consumed,68#4,PC_ON,LN,0.009330293821897586
consumed,68#4,PC_ON,CNN,0.0012205767627364284
consumed,68#7,PC_ON,LN,0.00887965622188908
consumed,68#7,PC_ON,CNN,-0.10246102339865781
consumed,68#10,MC_ON,LN,-0.024365759412576363
consumed,68#10,MC_ON,CNN,-0.1601545924546264
consumed,68#11,PC_OFF,LN,-0.018376887728588285
consumed,68#11,PC_OFF,CNN,-0.03417559617438658
consumed,69#3,PC_OFF,LN,0.0005808227213723853
consumed,69#3,PC_OFF,CNN,-0.026336119852258148
consumed,69#4,MC_ON,LN,-0.0470685930521685
consumed,69#4,MC_ON,CNN,-0.122020600655572
consumed,69#6,MC_OFF,LN,0.025156423630077987
consumed,69#6,MC_OFF,CNN,-0.027819999794545143
consumed,69#7,MC_ON,LN,-0.022573013762186765
consumed,69#7,MC_ON,CNN,-0.13720607988876216
consumed,69#21,PC_OFF,LN,-0.03465614609767767
consumed,69#21,PC_OFF,CNN,-0.025027011848659526
consumed,70#1,PC_ON,LN,-0.032416385940759004
consumed,70#1,PC_ON,CNN,-0.1430317000007969
consumed,70#7,PC_ON,LN,0.0592065955950919
consumed,70#7,PC_ON,CNN,0.038055650188340694
consumed,70#15,PC_ON,LN,-0.03612859022190564
consumed,70#15,PC_ON,CNN,-0.17698398819706035
consumed,70#34,MC_ON,LN,0.01679103323456319
consumed,70#34,MC_ON,CNN,-0.13582757404648485
