split,cell_id,group,comparator,spearman
development,67#4,PC_OFF,LN,-0.04095254319680207
development,67#4,PC_OFF,CNN,-0.07522829960199479
development,67#6,MC_OFF,LN,-0.02077217929933792
development,67#6,MC_OFF,CNN,-0.03446258627104625
development,67#7,MC_ON,LN,-0.08530592383489563
development,67#7,MC_ON,CNN,-0.19545331518898632
development,67#14,PC_ON,LN,-0.006577876053020546
development,67#14,PC_ON,CNN,-0.10457737729992203
development,67#21,PC_ON,LN,0.029191597262858207
development,67#21,PC_ON,CNN,-0.06747629010806945
development,67#26,PC_ON,LN,0.03319348824033206
development,67#26,PC_ON,CNN,-0.04870717675388512
development,67#33,MC_OFF,LN,-0.030376099309039346
development,67#33,MC_OFF,CNN,-0.05225712928257716
development,67#34,PC_ON,LN,-0.053172989244398686
development,67#34,PC_ON,CNN,-0.11728187098876995
development,68#3,MC_OFF,LN,-0.07396216865559592
development,68#3,MC_OFF,CNN,-0.04997509650585929
development,68#4,PC_ON,LN,0.03197231463257269
development,68#4,PC_ON,CNN,0.027016245876862396
development,68#7,PC_ON,LN,-0.0009799106698790624
development,68#7,PC_ON,CNN,-0.15842015588444414
development,68#10,MC_ON,LN,0.0960037803983524
development,68#10,MC_ON,CNN,-0.13399971354042334
development,68#11,PC_OFF,LN,-0.03184826046030254
development,68#11,PC_OFF,CNN,-0.06005490251141592
development,69#3,PC_OFF,LN,0.03010546012589208
development,69#3,PC_OFF,CNN,-0.009020465783719062
development,69#4,MC_ON,LN,0.004038706804126933
development,69#4,MC_ON,CNN,-0.11879513864290933
development,69#6,MC_OFF,LN,0.07626895609462231
development,69#6,MC_OFF,CNN,-0.060696166596311066
development,69#7,MC_ON,LN,-0.07017885970591894
development,69#7,MC_ON,CNN,-0.10552503971897505
development,69#21,PC_OFF,LN,0.017965492665165166
development,69#21,PC_OFF,CNN,0.014502057808682627
development,70#1,PC_ON,LN,0.024441508990206348
development,70#1,PC_ON,CNN,0.027250326018944632
development,70#7,PC_ON,LN,0.04595006455080659
development,70#7,PC_ON,CNN,-0.08451454772014139
development,70#15,PC_ON,LN,0.0507534076311953
development,70#15,PC_ON,CNN,-0.06162857355745156
development,70#34,MC_ON,LN,0.008668258105395564
development,70#34,MC_ON,CNN,-0.11900443130526396
consumed,67#4,PC_OFF,LN,0.012341741421752107
consumed,67#4,PC_OFF,CNN,-0.00572059421561393
consumed,67#6,MC_OFF,LN,0.016030814340940027
consumed,67#6,MC_OFF,CNN,-0.07280618187618794
consumed,67#7,MC_ON,LN,-0.023479014933888338
consumed,67#7,MC_ON,CNN,-0.15418682987187468
consumed,67#14,PC_ON,LN,-0.00510668506114058
consumed,67#14,PC_ON,CNN,-0.09636092254117241
consumed,67#21,PC_ON,LN,0.06549272359154801
consumed,67#21,PC_ON,CNN,-0.07319930875103871
consumed,67#26,PC_ON,LN,-0.001682385852518953
consumed,67#26,PC_ON,CNN,-0.12929453515835368
consumed,67#33,MC_OFF,LN,0.011065750752615115
consumed,67#33,MC_OFF,CNN,-0.13151165718354385
consumed,67#34,PC_ON,LN,-0.046058989088503456
consumed,67#34,PC_ON,CNN,-0.15675981106692916
consumed,68#3,MC_OFF,LN,-0.01294890863380697
consumed,68#3,MC_OFF,CNN,-0.05802901433685034
consumed,68#4,PC_ON,LN,0.009330293821897586
consumed,68#4,PC_ON,CNN,0.0012205767627364284
consumed,68#7,PC_ON,LN,0.00887965622188908
consumed,68#7,PC_ON,CNN,-0.10246102339865781
consumed,68#10,MC_ON,LN,-0.024365759412576363
consumed,68#10,MC_ON,CNN,-0.1601545924546264
consumed,68#11,PC_OFF,LN,-0.018376887728588285
consumed,68#11,PC_OFF,CNN,-0.03417559617438658
consumed,69#3,PC_OFF,LN,0.0005808227213723853
consumed,69#3,PC_OFF,CNN,-0.026336119852258148
consumed,69#4,MC_ON,LN,-0.0470685930521685
consumed,69#4,MC_ON,CNN,-0.122020600655572
consumed,69#6,MC_OFF,LN,0.025156423630077987
consumed,69#6,MC_OFF,CNN,-0.027819999794545143
consumed,69#7,MC_ON,LN,-0.022573013762186765
consumed,69#7,MC_ON,CNN,-0.13720607988876216
consumed,69#21,PC_OFF,LN,-0.03465614609767767
consumed,69#21,PC_OFF,CNN,-0.025027011848659526
consumed,70#1,PC_ON,LN,-0.032416385940759004
consumed,70#1,PC_ON,CNN,-0.1430317000007969
consumed,70#7,PC_ON,LN,0.0592065955950919
consumed,70#7,PC_ON,CNN,0.038055650188340694
consumed,70#15,PC_ON,LN,-0.03612859022190564
consumed,70#15,PC_ON,CNN,-0.17698398819706035
consumed,70#34,MC_ON,LN,0.01679103323456319
consumed,70#34,MC_ON,CNN,-0.13582757404648485
