split,cell_id,group,comparator,spearman
development,67#4,PC_OFF,LN,-0.04095254319680207
development,67#4,PC_OFF,CNN,-0.07522829960199479
development,67#6,MC_OFF,LN,-0.02077217929933792
development,67#6,MC_OFF,CNN,-0.03446258627104625
development,67#7,MC_ON,LN,-0.08530592383489563
development,67#7,MC_ON,CNN,-0.19545331518898632
development,67#14,PC_ON,LN,-0.006577876053020546
development,67#14,PC_ON,CNN,-0.10457737729992203
development,67#21,PC_ON,LN,0.029191597262858207
development,67#21,PC_ON,CNN,-0.06747629010806945
development,67#26,PC_ON,LN,0.03319348824033206
development,67#26,PC_ON,CNN,-0.04870717675388512
development,67#33,MC_OFF,LN,-0.030376099309039346
development,67#33,MC_OFF,CNN,-0.05225712928257716
development,67#34,PC_ON,LN,-0.053172989244398686
development,67#34,PC_ON,CNN,-0.11728187098876995
development,68#3,MC_OFF,LN,-0.07396216865559592
development,68#3,MC_OFF,CNN,-0.04997509650585929
development,68#4,PC_ON,LN,0.03197231463257269
development,68#4,PC_ON,CNN,0.027016245876862396
development,68#7,PC_ON,LN,-0.0009799106698790624
development,68#7,PC_ON,CNN,-0.15842015588444414
development,68#10,MC_ON,LN,0.0960037803983524
development,68#10,MC_ON,CNN,-0.13399971354042334
development,68#11,PC_OFF,LN,-0.03184826046030254
development,68#11,PC_OFF,CNN,-0.06005490251141592
development,69#3,PC_OFF,LN,0.03010546012589208
development,69#3,PC_OFF,CNN,-0.009020465783719062
development,69#4,MC_ON,LN,0.004038706804126933
development,69#4,MC_ON,CNN,-0.11879513864290933
development,69#6,MC_OFF,LN,0.07626895609462231
development,69#6,MC_OFF,CNN,-0.060696166596311066
development,69#7,MC_ON,LN,-0.07017885970591894
development,69#7,MC_ON,CNN,-0.10552503971897505
development,69#21,PC_OFF,LN,0.017965492665165166
development,69#21,PC_OFF,CNN,0.014502057808682627
development,70#1,PC_ON,LN,0.024441508990206348
development,70#1,PC_ON,CNN,0.027250326018944632
development,70#7,PC_ON,LN,0.04595006455080659
development,70#7,PC_ON,CNN,-0.08451454772014139
development,70#15,PC_ON,LN,0.0507534076311953
development,70#15,PC_ON,CNN,-0.06162857355745156
development,70#34,MC_ON,LN,0.008668258105395564
development,70#34,MC_ON,CNN,-0.11900443130526396
