cell_id,quantile_boundary,lsc_threshold,mean_threshold
67#4,0.2,0.024909486625935603,-0.5534517079591751
67#4,0.4,0.06674388256385957,-0.2903413498774171
67#4,0.6,0.1718366928361144,0.24263915233313996
67#4,0.8,0.39221786957963445,1.1598681315779695
67#6,0.2,0.07061397219302702,-0.49637439012527457
67#6,0.4,0.1413578485713308,-0.14651104128919462
67#6,0.6,0.26730525376001407,0.23380266264080996
67#6,0.8,0.5324883688629424,0.9612177329138015
67#7,0.2,0.056112049803703365,-0.5535867316027482
67#7,0.4,0.1313794379830125,-0.2631715514115043
67#7,0.6,0.2654110474218951,0.20730808470398157
67#7,0.8,0.6382479782510748,1.1220483243465482
67#14,0.2,0.026941089787872304,-0.5692342877388
67#14,0.4,0.06792441932272293,-0.29084943495690624
67#14,0.6,0.1400967206858158,0.1790154441725455
67#14,0.8,0.362499014257315,1.130417335033417
67#21,0.2,0.03563918935565333,-0.560481609404087
67#21,0.4,0.0818969107852312,-0.28155084773898004
67#21,0.6,0.176628735989513,0.2067177854478356
67#21,0.8,0.395299892641394,0.9707956224679948
67#26,0.2,0.03712206746772817,-0.5538700962066646
67#26,0.4,0.08686672142700624,-0.2802552908658977
67#26,0.6,0.18451201420428445,0.1868621041066939
67#26,0.8,0.4146520841650708,1.099800500869754
67#33,0.2,0.05310625874751808,-0.5402978509664534
67#33,0.4,0.12189492057091472,-0.2927648856490841
67#33,0.6,0.2502283978659892,0.1638109453022475
67#33,0.8,0.5400044145361221,0.964703431129459
67#34,0.2,0.03364262047019908,-0.5404216766357416
67#34,0.4,0.07452337691457411,-0.18984943814575622
67#34,0.6,0.15834579062920803,0.20265278443693965
67#34,0.8,0.3704651861117326,1.1064655803144072
68#3,0.2,0.07300584338270262,-0.5066392625371614
68#3,0.4,0.1490164014940838,-0.17365381959825738
68#3,0.6,0.29206992584535435,0.23365953760221367
68#3,0.8,0.5800754333310756,0.917875601847968
68#4,0.2,0.027760455232463396,-0.550704284509023
68#4,0.4,0.06097053529814816,-0.28942813674608703
68#4,0.6,0.12226986415956664,0.12453753159691887
68#4,0.8,0.3214222973303988,0.9171271761258458
68#7,0.2,0.033614288925292,-0.5560214996337889
68#7,0.4,0.07535867937097515,-0.2638484638184303
68#7,0.6,0.15661801636711564,0.21254127994179633
68#7,0.8,0.4034665476585115,0.8193973913788835
68#10,0.2,0.06551213717978555,-0.49794854413379325
68#10,0.4,0.13030187133070564,-0.16602955272167244
68#10,0.6,0.27303523911316735,0.12150976915251101
68#10,0.8,0.4971092884765193,0.8473135170103482
68#11,0.2,0.02545774882727814,-0.5559428870677945
68#11,0.4,0.06684440919659436,-0.3377512320876119
68#11,0.6,0.13630616829790945,0.13193572030092224
68#11,0.8,0.29744958557275136,1.0122032523155262
69#3,0.2,0.026113718567989563,-0.5501554638147355
69#3,0.4,0.0627862542434152,-0.2769656668417151
69#3,0.6,0.1369928379227844,0.18645056374371022
69#3,0.8,0.34015838616370403,1.1903008654713658
69#4,0.2,0.04788466559423604,-0.550868375301361
69#4,0.4,0.11487305769344439,-0.25572752773761737
69#4,0.6,0.23958957490869354,0.2030617415904989
69#4,0.8,0.569695748601753,1.0549929031729735
69#6,0.2,0.0653271794999787,-0.5295468188249148
69#6,0.4,0.1378025947372832,-0.23988195680654956
69#6,0.6,0.2760192596500242,0.23154117876233754
69#6,0.8,0.6626528895104629,1.167105395289568
69#7,0.2,0.05588818526409763,-0.5406762957572935
69#7,0.4,0.13832947298102255,-0.2571596613664946
69#7,0.6,0.25883774742484295,0.23054388019566727
69#7,0.8,0.64913826736689,1.0860498125354465
69#21,0.2,0.025362872230476258,-0.5979955613613128
69#21,0.4,0.059266442736754896,-0.34066911265253963
69#21,0.6,0.15163609992263685,0.20972828939557026
69#21,0.8,0.34604458241300357,1.1124973088502927
70#1,0.2,0.035150423072672826,-0.4933472529053685
70#1,0.4,0.09737612211291277,-0.046240481361746695
70#1,0.6,0.21741913127150297,0.40472504273056875
70#1,0.8,0.4623929838460045,1.303369814157495
70#7,0.2,0.02413017296381799,-0.5612884163856506
70#7,0.4,0.059791894734162736,-0.3105616231759375
70#7,0.6,0.12887973604818836,0.15719203328092715
70#7,0.8,0.31437675980465507,1.0150034566720398
70#15,0.2,0.04550061464345402,-0.5071789965033531
70#15,0.4,0.09699404683099062,-0.13703474849462255
70#15,0.6,0.18181832104571666,0.22638078778982063
70#15,0.8,0.3968956964879349,1.0833398423157639
70#34,0.2,0.05923643980993072,-0.5447178640148851
70#34,0.4,0.12304479224403465,-0.24491885683753267
70#34,0.6,0.2476153259553638,0.17993123991922727
70#34,0.8,0.5572367616544275,0.9213578365065858
