split,cell_id,comparator,mean_stratum,low_bins,high_bins,overlap_count,weight,eligible,excess_nll,low_local_mean,high_local_mean
development,67#4,LN,1,50,0,0,0.0,False,,-0.7158230772614479,
development,67#4,LN,2,19,1,1,0.043478260869565216,True,-0.04316498449436452,-0.47509942007692235,-0.4444533959031105
development,67#4,LN,3,9,4,4,0.17391304347826086,True,0.04819489331189569,-0.048363845756587885,-0.0511382041440811
development,67#4,LN,4,18,24,18,0.782608695652174,True,0.0049199221936337845,0.5778230018913746,0.7283054896446023
development,67#4,LN,5,0,67,0,0.0,False,,,3.7548436016233553
development,67#4,CNN,1,50,0,0,0.0,False,,-0.7158230772614479,
development,67#4,CNN,2,19,1,1,0.043478260869565216,True,-0.08031435231191221,-0.47509942007692235,-0.4444533959031105
development,67#4,CNN,3,9,4,4,0.17391304347826086,True,0.03685728109471691,-0.048363845756587885,-0.0511382041440811
development,67#4,CNN,4,18,24,18,0.782608695652174,True,0.039195581450958736,0.5778230018913746,0.7283054896446023
development,67#4,CNN,5,0,67,0,0.0,False,,,3.7548436016233553
development,67#6,LN,1,336,0,0,0.0,False,,-0.6732563138008119,
development,67#6,LN,2,112,14,14,0.06451612903225806,True,-0.017681853507413324,-0.41800415613688535,-0.2861085087992251
development,67#6,LN,3,77,56,56,0.25806451612903225,True,0.0577285945678992,-0.07578959306993055,0.09527910249016713
development,67#6,LN,4,147,147,147,0.6774193548387096,True,0.005412280447310537,0.5624963214709645,0.6348657989564042
development,67#6,LN,5,0,455,0,0.0,False,,,3.4222147246880024
development,67#6,CNN,1,336,0,0,0.0,False,,-0.6732563138008119,
development,67#6,CNN,2,112,14,14,0.06451612903225806,True,-0.23973547267553413,-0.41800415613688535,-0.2861085087992251
development,67#6,CNN,3,77,56,56,0.25806451612903225,True,-0.43216621754254586,-0.07578959306993055,0.09527910249016713
development,67#6,CNN,4,147,147,147,0.6774193548387096,True,-0.010604643307707776,0.5624963214709645,0.6348657989564042
development,67#6,CNN,5,0,455,0,0.0,False,,,3.4222147246880024
development,67#7,LN,1,420,0,0,0.0,False,,-0.6923875253647566,
development,67#7,LN,2,140,0,0,0.0,False,,-0.4903276269634564,
development,67#7,LN,3,28,28,28,0.25,True,0.4115918572903287,-0.19431752230351168,0.02703441314709685
development,67#7,LN,4,84,168,84,0.75,True,0.006834303860609533,0.5806845908777581,0.7681794886836238
development,67#7,LN,5,0,476,0,0.0,False,,,3.341169861940822
development,67#7,CNN,1,420,0,0,0.0,False,,-0.6923875253647566,
development,67#7,CNN,2,140,0,0,0.0,False,,-0.4903276269634564,
development,67#7,CNN,3,28,28,28,0.25,True,0.007193899053576452,-0.19431752230351168,0.02703441314709685
development,67#7,CNN,4,84,168,84,0.75,True,-0.01106616857206967,0.5806845908777581,0.7681794886836238
development,67#7,CNN,5,0,476,0,0.0,False,,,3.341169861940822
development,67#14,LN,1,378,0,0,0.0,False,,-0.7118477418466851,
development,67#14,LN,2,147,7,7,0.06666666666666667,True,0.10456367022339376,-0.49297365155957995,-0.36465497873723507
development,67#14,LN,3,56,7,7,0.06666666666666667,True,0.11381712857022833,-0.1854450365062803,0.14760427176952362
development,67#14,LN,4,91,210,91,0.8666666666666667,True,0.07032209285685387,0.5807169790451343,0.695489870456125
development,67#14,LN,5,0,448,0,0.0,False,,,3.4007753164405585
development,67#14,CNN,1,378,0,0,0.0,False,,-0.7118477418466851,
