split,comparator,estimate,group,cells,mean,median,available
development,LN,raw,MC_ON,5,-0.03279129011932448,-0.028950516260832677,True
development,LN,raw,MC_OFF,4,-0.014501822223239227,-0.01080070347333747,True
development,LN,raw,PC_ON,9,-0.028941620741346295,-0.022387356449998296,True
development,LN,raw,PC_OFF,4,-0.026043760605025928,-0.019444781923521226,True
development,LN,U_matched,MC_ON,5,-0.034282192138555496,-0.02878917800145504,True
development,LN,U_matched,MC_OFF,4,-0.013595343757603939,-0.008843951413244813,True
development,LN,U_matched,PC_ON,9,-0.025213495353131745,-0.02515089390639495,True
development,LN,U_matched,PC_OFF,4,-0.026392723595630285,-0.01840730383973991,True
development,CNN,raw,MC_ON,5,-0.025180139193912175,-0.05416065906135923,True
development,CNN,raw,MC_OFF,4,0.029537122673600997,0.03600923931327836,True
development,CNN,raw,PC_ON,9,-0.0155768489021289,-0.015626491765589952,True
development,CNN,raw,PC_OFF,4,0.006746879603614725,-0.0036334996079527837,True
development,CNN,U_matched,MC_ON,5,-0.0353611731801702,-0.06532586682174991,True
development,CNN,U_matched,MC_OFF,4,0.021961787762428485,0.030046705274127054,True
development,CNN,U_matched,PC_ON,9,-0.017768390065058027,-0.020447333369026398,True
development,CNN,U_matched,PC_OFF,4,0.009530665584929744,-0.0052202855205200705,True
consumed,LN,raw,MC_ON,5,-0.025131907771702905,-0.03319759946055743,True
consumed,LN,raw,MC_OFF,4,-0.03358662088907845,-0.031962089813771286,True
consumed,LN,raw,PC_ON,9,-0.020328754852618702,-0.018690731982392336,True
consumed,LN,raw,PC_OFF,4,-0.02148146595605255,-0.018177289419736578,True
consumed,LN,U_matched,MC_ON,5,-0.037860338261872906,-0.04041723074093468,True
consumed,LN,U_matched,MC_OFF,4,-0.04078485870500431,-0.036392610888894006,True
consumed,LN,U_matched,PC_ON,9,-0.021557274766542553,-0.02105335446607515,True
consumed,LN,U_matched,PC_OFF,4,-0.029848377923866465,-0.021084870174702612,True
consumed,CNN,raw,MC_ON,5,-0.08128733556283357,-0.08692694386533689,True
consumed,CNN,raw,MC_OFF,4,-0.1249754947733876,-0.12098960093013608,True
consumed,CNN,raw,PC_ON,9,-0.04552755432971312,-0.04088674224777987,True
consumed,CNN,raw,PC_OFF,4,-0.04530201970466335,-0.046150183864544114,True
consumed,CNN,U_matched,MC_ON,5,-0.08740338528719716,-0.10901506938659511,True
consumed,CNN,U_matched,MC_OFF,4,-0.1163073665417399,-0.10789157106504722,True
consumed,CNN,U_matched,PC_ON,9,-0.04786409437596406,-0.03954568436785902,True
consumed,CNN,U_matched,PC_OFF,4,-0.06301562640120194,-0.056131098110522346,True
