split,comparator,estimate,group,cells,mean,median,available
consumed,LN,raw,MC_ON,5,-0.025131907771702905,-0.03319759946055743,True
consumed,LN,raw,MC_OFF,4,-0.03358662088907845,-0.031962089813771286,True
consumed,LN,raw,PC_ON,9,-0.020328754852618702,-0.018690731982392336,True
consumed,LN,raw,PC_OFF,4,-0.02148146595605255,-0.018177289419736578,True
consumed,LN,U_matched,MC_ON,5,-0.037860338261872906,-0.04041723074093468,True
consumed,LN,U_matched,MC_OFF,4,-0.04078485870500431,-0.036392610888894006,True
consumed,LN,U_matched,PC_ON,9,-0.021557274766542553,-0.02105335446607515,True
consumed,LN,U_matched,PC_OFF,4,-0.029848377923866465,-0.021084870174702612,True
consumed,CNN,raw,MC_ON,5,-0.08128733556283357,-0.08692694386533689,True
consumed,CNN,raw,MC_OFF,4,-0.1249754947733876,-0.12098960093013608,True
consumed,CNN,raw,PC_ON,9,-0.04552755432971312,-0.04088674224777987,True
consumed,CNN,raw,PC_OFF,4,-0.04530201970466335,-0.046150183864544114,True
consumed,CNN,U_matched,MC_ON,5,-0.08740338528719716,-0.10901506938659511,True
consumed,CNN,U_matched,MC_OFF,4,-0.1163073665417399,-0.10789157106504722,True
consumed,CNN,U_matched,PC_ON,9,-0.04786409437596406,-0.03954568436785902,True
consumed,CNN,U_matched,PC_OFF,4,-0.06301562640120194,-0.056131098110522346,True
