split,cell_id,group,feature,comparator,spearman
consumed,67#4,PC_OFF,A,LN,0.06272061288503636
consumed,67#4,PC_OFF,A,CNN,-0.0006750157493125221
consumed,67#4,PC_OFF,C,LN,0.011886868830645301
consumed,67#4,PC_OFF,C,CNN,-0.046561829494110835
consumed,67#6,MC_OFF,A,LN,-0.01140109000140563
consumed,67#6,MC_OFF,A,CNN,-0.1258042648601125
consumed,67#6,MC_OFF,C,LN,0.01605982836361678
consumed,67#6,MC_OFF,C,CNN,-0.09215554345599507
consumed,67#7,MC_ON,A,LN,-0.1128720552277025
consumed,67#7,MC_ON,A,CNN,-0.17694413608505624
consumed,67#7,MC_ON,C,LN,-0.08160721223695544
consumed,67#7,MC_ON,C,CNN,-0.17759312926148865
consumed,67#14,PC_ON,A,LN,0.011514405681960401
consumed,67#14,PC_ON,A,CNN,-0.10841775364373442
consumed,67#14,PC_ON,C,LN,-0.03332806155281667
consumed,67#14,PC_ON,C,CNN,-0.12788871837409685
consumed,67#21,PC_ON,A,LN,-0.0654249597595298
consumed,67#21,PC_ON,A,CNN,-0.10909389851630881
consumed,67#21,PC_ON,C,LN,0.06598575520825785
consumed,67#21,PC_ON,C,CNN,-0.0997359709747964
consumed,67#26,PC_ON,A,LN,0.004044029129348404
consumed,67#26,PC_ON,A,CNN,-0.05382987975913294
consumed,67#26,PC_ON,C,LN,0.004286132496062023
consumed,67#26,PC_ON,C,CNN,-0.11828349491276978
consumed,67#33,MC_OFF,A,LN,-0.022909491344450205
consumed,67#33,MC_OFF,A,CNN,-0.15173232479771162
consumed,67#33,MC_OFF,C,LN,-0.01907002328353134
consumed,67#33,MC_OFF,C,CNN,-0.15182109106169336
consumed,67#34,PC_ON,A,LN,0.06717319907978778
consumed,67#34,PC_ON,A,CNN,-0.16781745164960796
consumed,67#34,PC_ON,C,LN,-0.015603777506754502
consumed,67#34,PC_ON,C,CNN,-0.13484467125407934
consumed,68#3,MC_OFF,A,LN,-0.0591377047574586
consumed,68#3,MC_OFF,A,CNN,-0.12232249416356347
consumed,68#3,MC_OFF,C,LN,-0.03064598505633358
consumed,68#3,MC_OFF,C,CNN,-0.08289776116551431
consumed,68#4,PC_ON,A,LN,-0.01895101124207159
consumed,68#4,PC_ON,A,CNN,-0.07472439452114012
consumed,68#4,PC_ON,C,LN,0.03636834711789748
consumed,68#4,PC_ON,C,CNN,-0.047081128850276995
consumed,68#7,PC_ON,A,LN,0.03425660318804681
consumed,68#7,PC_ON,A,CNN,-0.08554244820263272
consumed,68#7,PC_ON,C,LN,-0.011246406779951795
consumed,68#7,PC_ON,C,CNN,-0.11962967719201159
consumed,68#10,MC_ON,A,LN,-0.10580055070135935
consumed,68#10,MC_ON,A,CNN,-0.15794580487221116
consumed,68#10,MC_ON,C,LN,-0.057120041138972205
consumed,68#10,MC_ON,C,CNN,-0.16721267452614774
consumed,68#11,PC_OFF,A,LN,-0.08864125292640493
consumed,68#11,PC_OFF,A,CNN,-0.10772998614237238
consumed,68#11,PC_OFF,C,LN,-0.07715581475737539
consumed,68#11,PC_OFF,C,CNN,-0.07997692338950964
consumed,69#3,PC_OFF,A,LN,-0.052470522821566015
consumed,69#3,PC_OFF,A,CNN,-0.10405468659051531
consumed,69#3,PC_OFF,C,LN,-0.015062224608724473
consumed,69#3,PC_OFF,C,CNN,-0.07539377090769642
consumed,69#4,MC_ON,A,LN,-0.16445233315336796
consumed,69#4,MC_ON,A,CNN,-0.19010344078117547
consumed,69#4,MC_ON,C,LN,-0.10128564938960018
consumed,69#4,MC_ON,C,CNN,-0.1634279896549207
consumed,69#6,MC_OFF,A,LN,-0.02934726227097356
consumed,69#6,MC_OFF,A,CNN,-0.02318430789379567
consumed,69#6,MC_OFF,C,LN,-0.0020867242559609337
consumed,69#6,MC_OFF,C,CNN,-0.06560311812562163
consumed,69#7,MC_ON,A,LN,-0.07871527684820866
consumed,69#7,MC_ON,A,CNN,-0.10387411896084334
consumed,69#7,MC_ON,C,LN,-0.0491027594939383
consumed,69#7,MC_ON,C,CNN,-0.14228251746341045
consumed,69#21,PC_OFF,A,LN,-0.06666407772131298
consumed,69#21,PC_OFF,A,CNN,-0.05464867410759354
consumed,69#21,PC_OFF,C,LN,-0.06370841741133071
consumed,69#21,PC_OFF,C,CNN,-0.10456316620346305
consumed,70#1,PC_ON,A,LN,-0.07561330350662342
consumed,70#1,PC_ON,A,CNN,-0.1301422486623933
consumed,70#1,PC_ON,C,LN,-0.03465797827543108
consumed,70#1,PC_ON,C,CNN,-0.12780135134587872
consumed,70#7,PC_ON,A,LN,0.015868577523419653
consumed,70#7,PC_ON,A,CNN,-0.1665892179107107
consumed,70#7,PC_ON,C,LN,0.04866498114482255
consumed,70#7,PC_ON,C,CNN,0.05189926837401943
consumed,70#15,PC_ON,A,LN,-0.1327842704387837
consumed,70#15,PC_ON,A,CNN,-0.17423118238627003
consumed,70#15,PC_ON,C,LN,-0.039693176875344606
consumed,70#15,PC_ON,C,CNN,-0.18577299007344933
consumed,70#34,MC_ON,A,LN,-0.10167435747149157
consumed,70#34,MC_ON,A,CNN,-0.19795882703424536
consumed,70#34,MC_ON,C,LN,-0.021384558409117897
consumed,70#34,MC_ON,C,CNN,-0.17586681146459934
