split,cell_id,sequences,original_scored_bins,phenotype_bins,dropped_original_scored_bins,local_first,local_last
consumed,67#4,40,4800,4200,600,45,149
consumed,67#6,280,33600,29400,4200,45,149
consumed,67#7,280,33600,29400,4200,45,149
consumed,67#14,280,33600,29400,4200,45,149
consumed,67#21,280,33600,29400,4200,45,149
consumed,67#26,280,33600,29400,4200,45,149
consumed,67#33,280,33600,29400,4200,45,149
consumed,67#34,280,33600,29400,4200,45,149
consumed,68#3,280,33600,29400,4200,45,149
consumed,68#4,240,28800,25200,3600,45,149
consumed,68#7,280,33600,29400,4200,45,149
consumed,68#10,40,4800,4200,600,45,149
consumed,68#11,280,33600,29400,4200,45,149
consumed,69#3,280,33600,29400,4200,45,149
consumed,69#4,240,28800,25200,3600,45,149
consumed,69#6,280,33600,29400,4200,45,149
consumed,69#7,280,33600,29400,4200,45,149
consumed,69#21,240,28800,25200,3600,45,149
consumed,70#1,240,28800,25200,3600,45,149
consumed,70#7,280,33600,29400,4200,45,149
consumed,70#15,240,28800,25200,3600,45,149
consumed,70#34,280,33600,29400,4200,45,149
