split,cell_id,model,phenotype_float64_nll,phenotype_native_float32_nll,delta
consumed,67#4,aligned,0.5010918999805786,0.5010918974876404,2.4929381892135893e-09
consumed,67#4,LN,0.5071077178144333,0.5071077346801758,-1.6865742469285294e-08
consumed,67#4,CNN,0.5348689408770012,0.5348689556121826,-1.4735181408376263e-08
consumed,67#6,aligned,0.4453563781522378,0.4453563690185547,9.133683087636513e-09
consumed,67#6,LN,0.4598840827565744,0.45988407731056213,5.446012252274812e-09
consumed,67#6,CNN,0.4633511868801201,0.46335116028785706,2.659226305823381e-08
consumed,67#7,aligned,0.4253298910571698,0.42532986402511597,2.7032053817599433e-08
consumed,67#7,LN,0.41685721535775033,0.41685718297958374,3.237816659229509e-08
consumed,67#7,CNN,0.399987326794559,0.3999873101711273,1.66234316867353e-08
consumed,67#14,aligned,0.3732327729486848,0.37323275208473206,2.0863952732153024e-08
consumed,67#14,LN,0.36892249288918194,0.36892250180244446,-8.913262516951903e-09
consumed,67#14,CNN,0.3656369217502475,0.3656369149684906,6.781756878293521e-09
consumed,67#21,aligned,0.28129205358941267,0.2812920808792114,-2.728979875410431e-08
consumed,67#21,LN,0.2843651657746776,0.28436514735221863,1.842245894723149e-08
consumed,67#21,CNN,0.2853912468245785,0.285391241312027,5.512551526365428e-09
consumed,67#26,aligned,0.4995458977670457,0.4995458722114563,2.5555589422410208e-08
consumed,67#26,LN,0.5039715656839207,0.5039715766906738,-1.1006753175557549e-08
consumed,67#26,CNN,0.5026619137121738,0.5026618838310242,2.988114966573363e-08
consumed,67#33,aligned,0.38959531809303044,0.3895953297615051,-1.1668474686477026e-08
consumed,67#33,LN,0.3967214088320392,0.39672139286994934,1.5962089872090246e-08
consumed,67#33,CNN,0.40755943753284896,0.4075593948364258,4.269642317478173e-08
consumed,67#34,aligned,0.3880377142014677,0.38803771138191223,2.8195554779841814e-09
consumed,67#34,LN,0.3841048033918177,0.38410481810569763,-1.4713879947780839e-08
consumed,67#34,CNN,0.36347834431380566,0.3634783625602722,-1.8246466559901364e-08
consumed,68#3,aligned,0.49458110131317684,0.49458110332489014,-2.0117132959462936e-09
consumed,68#3,LN,0.5073667041042701,0.5073667168617249,-1.2757454759260156e-08
consumed,68#3,CNN,0.5079958002287208,0.5079957842826843,1.5946036491243376e-08
consumed,68#4,aligned,0.4488203119822875,0.4488203227519989,-1.0769711400460125e-08
consumed,68#4,LN,0.4475188518218913,0.44751882553100586,2.6290885413171594e-08
consumed,68#4,CNN,0.4656276781507452,0.4656277000904083,-2.1939663141790078e-08
consumed,68#7,aligned,0.3928262279533477,0.39282622933387756,-1.3805298570979119e-09
consumed,68#7,LN,0.3980805980775995,0.39808061718940735,-1.9111807858518404e-08
consumed,68#7,CNN,0.3923284293446377,0.3923284411430359,-1.1798398202866878e-08
consumed,68#10,aligned,0.37082766556035374,0.37082767486572266,-9.305368919854118e-09
consumed,68#10,LN,0.3586249033643435,0.3586248755455017,2.781884178570948e-08
consumed,68#10,CNN,0.36716038390500433,0.3671603500843048,3.382069951873845e-08
consumed,68#11,aligned,0.40538760045909167,0.4053875803947449,2.006434679513447e-08
consumed,68#11,LN,0.40161167544075804,0.40161168575286865,-1.031211060986692e-08
consumed,68#11,CNN,0.447730906889457,0.4477309286594391,-2.176998209479919e-08
consumed,69#3,aligned,0.5358741882405647,0.5358741879463196,2.9424507275166434e-10
consumed,69#3,LN,0.541626424019663,0.5416263937950134,3.0224649560928185e-08
consumed,69#3,CNN,0.5644937282437859,0.5644937753677368,-4.712395096362343e-08
consumed,69#4,aligned,0.4281677138536504,0.4281677305698395,-1.6716189099597045e-08
consumed,69#4,LN,0.4204778673228324,0.42047789692878723,-2.9605954854350358e-08
consumed,69#4,CNN,0.4014658908773485,0.40146589279174805,-1.9143995277914883e-09
consumed,69#6,aligned,0.4451421231028953,0.44514209032058716,3.278230814585115e-08
consumed,69#6,LN,0.4487314638847512,0.4487314522266388,1.1658112419876687e-08
consumed,69#6,CNN,0.45616176351421883,0.4561617374420166,2.607220223049822e-08
consumed,69#7,aligned,0.44332126344059236,0.4433212876319885,-2.4191396164052748e-08
consumed,69#7,LN,0.4363462229161592,0.4363462030887604,1.9827398833882626e-08
consumed,69#7,CNN,0.4273345779734251,0.42733457684516907,1.1282560441472356e-09
consumed,69#21,aligned,0.5117369431143104,0.5117369890213013,-4.5906990875366205e-08
consumed,69#21,LN,0.5119822342247361,0.5119822025299072,3.1694828872552705e-08
consumed,69#21,CNN,0.540152195752128,0.5401521325111389,6.324098911214548e-08
consumed,70#1,aligned,0.46240697536954745,0.4624069631099701,1.2259577353290751e-08
consumed,70#1,LN,0.4698319527648091,0.4698319733142853,-2.0549476176245918e-08
consumed,70#1,CNN,0.48192125738260816,0.4819212555885315,1.7940766650070827e-09
consumed,70#7,aligned,0.4581835598078332,0.45818355679512024,3.012712967986886e-09
consumed,70#7,LN,0.46369245967323286,0.46369245648384094,3.18939191723544e-09
consumed,70#7,CNN,0.49566070214181374,0.495660662651062,3.94907517242693e-08
consumed,70#15,aligned,0.3796200258003843,0.3796199858188629,3.9981521371412754e-08
consumed,70#15,LN,0.3883281807349184,0.3883281648159027,1.5919015716736595e-08
consumed,70#15,CNN,0.38066135894277503,0.38066139817237854,-3.922960351010474e-08
consumed,70#34,aligned,0.36740953174723756,0.36740952730178833,4.445449230949805e-09
consumed,70#34,LN,0.37016097553900745,0.3701609671115875,8.427419928569435e-09
consumed,70#34,CNN,0.3812444366706835,0.381244421005249,1.566543444964097e-08
