split,cell_id,group,comparator,stratum,U_stratum,C_stratum,low_bins,high_bins,overlap_mass,weight,excess_NLL,Q1_U,Q5_U,Q1_M,Q5_M,Q1_C,Q5_C
consumed,67#4,PC_OFF,LN,1,1,1,46,9,9,0.027190332326283987,0.06302701577502928,0.14893355446870177,0.20926830621384498,-0.05464127900283885,-0.1833619247837406,0.04098091329037941,0.05136765801257247
consumed,67#4,PC_OFF,LN,2,1,2,82,9,9,0.027190332326283987,0.014721705799695261,0.1207588540280817,0.17404022396335173,-0.051188028691529594,-0.15450221856331658,0.1554604715304932,0.16879820039806268
consumed,67#4,PC_OFF,LN,3,1,3,92,26,26,0.07854984894259819,-0.1492793361152941,0.1404133336703956,0.13111653925163688,-0.01801072889983239,-0.08181200267203027,0.4021130492407753,0.42784200646957077
consumed,67#4,PC_OFF,LN,4,1,4,52,25,25,0.0755287009063444,-0.007476109521128071,0.13854948367413902,0.15102003055624663,0.03449750848778002,-0.06439203200861812,0.8898829131813517,0.9764928973745555
consumed,67#4,PC_OFF,LN,5,1,5,1,29,1,0.0030211480362537764,-0.07126849060163652,0.21594441961497068,0.16329478689646026,0.21594441961497068,-0.03293683715887239,1.9290072219446301,5.522641718407676
consumed,67#4,PC_OFF,LN,6,2,1,40,11,11,0.03323262839879154,0.08998907061194023,0.37046016884269195,0.3867390877143903,-0.29716505055548625,-0.2471455792811784,0.04067209168570116,0.02933604507283731
consumed,67#4,PC_OFF,LN,7,2,2,54,14,14,0.04229607250755287,-0.2477963777967807,0.3833553744609364,0.3469562605023384,-0.35803489350386103,-0.3469562605023384,0.15472633034881222,0.1629534108131858
consumed,67#4,PC_OFF,LN,8,2,3,63,24,24,0.07250755287009064,-0.06747992815905603,0.3682395724361644,0.3803740933459873,-0.14804892713714035,-0.23655564854076752,0.3671277685863306,0.3864572128368309
consumed,67#4,PC_OFF,LN,9,2,4,32,19,19,0.05740181268882175,0.06943857898634816,0.3872678820625879,0.3632006947147219,0.01640503719681874,-0.03344056745500941,0.9327264510066016,1.063092186360767
consumed,67#4,PC_OFF,LN,10,2,5,2,21,2,0.006042296072507553,-0.04194258256381913,0.41897547245025635,0.3810946712979958,-0.41897547245025635,-0.27424368497339036,2.406745620071888,5.085349232889712
consumed,67#4,PC_OFF,LN,11,3,1,29,9,9,0.027190332326283987,-0.4733906158350227,0.5544622944475248,0.533939835925897,-0.40062463842332363,-0.533939835925897,0.04736593307863022,0.04744997123877207
consumed,67#4,PC_OFF,LN,12,3,2,31,10,10,0.030211480362537766,0.021123413930326213,0.5540695190992987,0.5706458866596222,-0.417016665004344,-0.33060767948627473,0.1534641958330007,0.15103574339300394
consumed,67#4,PC_OFF,LN,13,3,3,32,7,7,0.021148036253776436,-0.151300798192058,0.5507331897970289,0.580330598035029,-0.22311779879964888,-0.40130350685545374,0.43985869332027505,0.36747367839728085
consumed,67#4,PC_OFF,LN,14,3,4,28,21,21,0.0634441087613293,-0.1237682593572132,0.5457484255810934,0.5686873440586385,-0.03678388926865799,0.14247854071713628,0.8996381525517531,1.0372071341234481
consumed,67#4,PC_OFF,LN,15,3,5,0,10,0,0.0,,,0.5325856246054173,,-0.5325856246054173,,6.448590102884919
consumed,67#4,PC_OFF,LN,16,4,1,118,21,21,0.0634441087613293,-0.1721977264554173,0.7564488509196347,0.7788846489219439,-0.7564488509196347,-0.6884797020327478,0.031447299077349194,0.02339864451260794
consumed,67#4,PC_OFF,LN,17,4,2,48,13,13,0.03927492447129909,0.03372825481671789,0.7231987053528428,0.7307721903690925,-0.6391339168573419,-0.5977505605954391,0.13816061086254194,0.15066548838065222
consumed,67#4,PC_OFF,LN,18,4,3,66,22,22,0.06646525679758308,-0.0057667404125675,0.7525807850232179,0.7530414787205783,-0.3805332268785798,-0.4438613151962107,0.3925950843699728,0.42183235444297845
consumed,67#4,PC_OFF,LN,19,4,4,51,39,39,0.11782477341389729,-0.07592520327826163,0.783316336389558,0.8274319909799558,-0.06252895416144062,0.20887925958213133,1.0782729633490318,1.1637334148515202
consumed,67#4,PC_OFF,LN,20,4,5,3,33,3,0.00906344410876133,-0.06695236211279326,0.9004230946302414,0.7574099916964769,-0.14343373477458954,-0.3453225131626382,1.9736960952480633,5.842191720607154
consumed,67#4,PC_OFF,LN,21,5,1,0,10,0,0.0,,,4.5859484564512965,,4.5859484564512965,,0.048049861937761305
consumed,67#4,PC_OFF,LN,22,5,2,0,7,0,0.0,,,4.597635962069035,,4.597635962069035,,0.12797377471412932
consumed,67#4,PC_OFF,LN,23,5,3,2,10,2,0.006042296072507553,-0.023438297391364438,1.5241866186261177,5.307897950708866,1.5241866186261177,5.307897950708866,0.494408143684268,0.3882920389994979
