split,comparator,estimate,group,cells,mean,median,available
development,LN,raw,MC_ON,5,-0.03279129011932448,-0.028950516260832677,True
development,LN,raw,MC_OFF,4,-0.014501822223239227,-0.01080070347333747,True
development,LN,raw,PC_ON,9,-0.028941620741346295,-0.022387356449998296,True
development,LN,raw,PC_OFF,4,-0.026043760605025928,-0.019444781923521226,True
development,LN,U_matched,MC_ON,5,-0.034282192138555496,-0.02878917800145504,True
development,LN,U_matched,MC_OFF,4,-0.013595343757603939,-0.008843951413244813,True
development,LN,U_matched,PC_ON,9,-0.025213495353131745,-0.02515089390639495,True
development,LN,U_matched,PC_OFF,4,-0.026392723595630285,-0.01840730383973991,True
development,CNN,raw,MC_ON,5,-0.025180139193912175,-0.05416065906135923,True
development,CNN,raw,MC_OFF,4,0.029537122673600997,0.03600923931327836,True
development,CNN,raw,PC_ON,9,-0.0155768489021289,-0.015626491765589952,True
development,CNN,raw,PC_OFF,4,0.006746879603614725,-0.0036334996079527837,True
development,CNN,U_matched,MC_ON,5,-0.0353611731801702,-0.06532586682174991,True
development,CNN,U_matched,MC_OFF,4,0.021961787762428485,0.030046705274127054,True
development,CNN,U_matched,PC_ON,9,-0.017768390065058027,-0.020447333369026398,True
development,CNN,U_matched,PC_OFF,4,0.009530665584929744,-0.0052202855205200705,True
