split,cell_id,group,feature,comparator,spearman
development,67#4,PC_OFF,A,LN,-0.05077871351716441
development,67#4,PC_OFF,A,CNN,-0.04037227292347786
development,67#4,PC_OFF,C,LN,-0.03217267995526375
development,67#4,PC_OFF,C,CNN,-0.07311525089630408
development,67#6,MC_OFF,A,LN,0.009816533429466938
development,67#6,MC_OFF,A,CNN,0.019009740158520787
development,67#6,MC_OFF,C,LN,-0.018290183353356464
development,67#6,MC_OFF,C,CNN,-0.16909865968063625
development,67#7,MC_ON,A,LN,-0.06474992449763636
development,67#7,MC_ON,A,CNN,-0.06094382453364075
development,67#7,MC_ON,C,LN,-0.036169032245946274
development,67#7,MC_ON,C,CNN,-0.17489512775995272
development,67#14,PC_ON,A,LN,-0.0054911538384760225
development,67#14,PC_ON,A,CNN,-0.1396409175353794
development,67#14,PC_ON,C,LN,-0.025574946895480313
development,67#14,PC_ON,C,CNN,-0.0887293564660625
development,67#21,PC_ON,A,LN,-0.15956483039988026
development,67#21,PC_ON,A,CNN,-0.11072816651631591
development,67#21,PC_ON,C,LN,0.06441945972555768
development,67#21,PC_ON,C,CNN,-0.016133986729480698
development,67#26,PC_ON,A,LN,0.003180535831540303
development,67#26,PC_ON,A,CNN,-0.0415390391130272
development,67#26,PC_ON,C,LN,0.008198644658057943
development,67#26,PC_ON,C,CNN,-0.0467461735617976
development,67#33,MC_OFF,A,LN,-0.036163902174649
development,67#33,MC_OFF,A,CNN,-0.0762074562524703
development,67#33,MC_OFF,C,LN,0.00582936046773178
development,67#33,MC_OFF,C,CNN,-0.10941533311777886
development,67#34,PC_ON,A,LN,0.08335348346050302
development,67#34,PC_ON,A,CNN,-0.06879604821607808
development,67#34,PC_ON,C,LN,-0.01337772854566501
development,67#34,PC_ON,C,CNN,-0.12065254134166861
development,68#3,MC_OFF,A,LN,0.0034427355414001232
development,68#3,MC_OFF,A,CNN,-0.07988134539269476
development,68#3,MC_OFF,C,LN,-0.10185415508916419
development,68#3,MC_OFF,C,CNN,-0.10021531600099949
development,68#4,PC_ON,A,LN,0.01992577251356278
development,68#4,PC_ON,A,CNN,-0.06567611275482504
development,68#4,PC_ON,C,LN,0.03763699191044894
development,68#4,PC_ON,C,CNN,-0.10392854125642557
development,68#7,PC_ON,A,LN,-0.028680269121639863
development,68#7,PC_ON,A,CNN,-0.024724396163010788
development,68#7,PC_ON,C,LN,0.016983277010880832
development,68#7,PC_ON,C,CNN,-0.14085421244445887
development,68#10,MC_ON,A,LN,0.00871352526293881
development,68#10,MC_ON,A,CNN,0.001973448181193123
development,68#10,MC_ON,C,LN,-0.03190542868318819
development,68#10,MC_ON,C,CNN,-0.1241780606142082
development,68#11,PC_OFF,A,LN,-0.009828816700974992
development,68#11,PC_OFF,A,CNN,-0.059378003861204426
development,68#11,PC_OFF,C,LN,-0.07100176227574523
development,68#11,PC_OFF,C,CNN,-0.13013669885586715
development,69#3,PC_OFF,A,LN,-0.10893161022618215
development,69#3,PC_OFF,A,CNN,-0.09003517311200186
development,69#3,PC_OFF,C,LN,-0.009919030692117118
development,69#3,PC_OFF,C,CNN,-0.03067477122779727
development,69#4,MC_ON,A,LN,-0.1468484148781294
development,69#4,MC_ON,A,CNN,-0.16692597136116416
development,69#4,MC_ON,C,LN,0.023085906616204226
development,69#4,MC_ON,C,CNN,-0.12457726250883641
development,69#6,MC_OFF,A,LN,0.03377646071558318
development,69#6,MC_OFF,A,CNN,0.03134858633654496
development,69#6,MC_OFF,C,LN,-0.02107132754684284
development,69#6,MC_OFF,C,CNN,-0.12661917915131068
development,69#7,MC_ON,A,LN,0.040851724299089676
development,69#7,MC_ON,A,CNN,-0.028562804501191443
development,69#7,MC_ON,C,LN,-0.02588969428582235
development,69#7,MC_ON,C,CNN,-0.06683148384733864
development,69#21,PC_OFF,A,LN,-0.03675673883318673
development,69#21,PC_OFF,A,CNN,0.03997059299298445
development,69#21,PC_OFF,C,LN,-0.0799413299593214
development,69#21,PC_OFF,C,CNN,-0.18133204843183956
development,70#1,PC_ON,A,LN,-0.022847176301901962
development,70#1,PC_ON,A,CNN,-0.03876198169031358
development,70#1,PC_ON,C,LN,0.03523781096584395
development,70#1,PC_ON,C,CNN,0.004683826588118942
development,70#7,PC_ON,A,LN,-0.02913107134501299
development,70#7,PC_ON,A,CNN,-0.14654886600048436
development,70#7,PC_ON,C,LN,0.10318384630076703
development,70#7,PC_ON,C,CNN,0.04647190874382385
development,70#15,PC_ON,A,LN,-0.1090770553372808
development,70#15,PC_ON,A,CNN,-0.0760641635694944
development,70#15,PC_ON,C,LN,0.12099808491866472
development,70#15,PC_ON,C,CNN,0.013415657446322922
development,70#34,MC_ON,A,LN,-0.1404775421550981
development,70#34,MC_ON,A,CNN,-0.19072941516412673
development,70#34,MC_ON,C,LN,0.049094338858821245
development,70#34,MC_ON,C,CNN,-0.07292134186404806
