split,cell_id,sequences,original_scored_bins,phenotype_bins,dropped_original_scored_bins,local_first,local_last
development,67#4,4,480,420,60,45,149
development,67#6,28,3360,2940,420,45,149
development,67#7,28,3360,2940,420,45,149
development,67#14,28,3360,2940,420,45,149
development,67#21,28,3360,2940,420,45,149
development,67#26,28,3360,2940,420,45,149
development,67#33,28,3360,2940,420,45,149
development,67#34,28,3360,2940,420,45,149
development,68#3,28,3360,2940,420,45,149
development,68#4,24,2880,2520,360,45,149
development,68#7,28,3360,2940,420,45,149
development,68#10,4,480,420,60,45,149
development,68#11,28,3360,2940,420,45,149
development,69#3,28,3360,2940,420,45,149
development,69#4,24,2880,2520,360,45,149
development,69#6,28,3360,2940,420,45,149
development,69#7,28,3360,2940,420,45,149
development,69#21,24,2880,2520,360,45,149
development,70#1,24,2880,2520,360,45,149
development,70#7,28,3360,2940,420,45,149
development,70#15,24,2880,2520,360,45,149
development,70#34,28,3360,2940,420,45,149
