split,cell_id,model,phenotype_float64_nll,phenotype_native_float32_nll,delta
development,67#4,aligned,0.46236377443080096,0.46236374974250793,2.4688293021046803e-08
development,67#4,LN,0.4870614483868334,0.48706144094467163,7.4421617757280956e-09
development,67#4,CNN,0.5069841107261854,0.5069840550422668,5.568391858723487e-08
development,67#6,aligned,0.4329507130062598,0.4329507350921631,-2.2085903272905938e-08
development,67#6,LN,0.44352599373637747,0.4435259997844696,-6.048092138222216e-09
development,67#6,CNN,0.41641371576688635,0.41641372442245483,-8.655568484172704e-09
development,67#7,aligned,0.4379802136922691,0.4379802346229553,-2.0930686239761798e-08
development,67#7,LN,0.4281511012315119,0.42815107107162476,3.015988714327733e-08
development,67#7,CNN,0.3767368981146858,0.3767368793487549,1.8765930920316976e-08
development,67#14,aligned,0.34461175780303127,0.3446117639541626,-6.151131326515014e-09
development,67#14,LN,0.35175630475474484,0.3517563045024872,2.52257659205668e-10
development,67#14,CNN,0.3363211222186264,0.3363211154937744,6.7248520085883e-09
development,67#21,aligned,0.29255698168658173,0.2925569713115692,1.0375012515773108e-08
development,67#21,LN,0.2879968946687585,0.28799688816070557,6.5080529298988665e-09
development,67#21,CNN,0.30113077928501786,0.3011307418346405,3.7450377354808495e-08
development,67#26,aligned,0.5009293342510629,0.5009293556213379,-2.137027499404809e-08
development,67#26,LN,0.5064522382583334,0.5064522624015808,-2.414324740129814e-08
development,67#26,CNN,0.4965012866962541,0.4965013265609741,-3.986472002504016e-08
development,67#33,aligned,0.36659393791376754,0.3665939271450043,1.0768763269997095e-08
development,67#33,LN,0.3841876200025912,0.3841876685619354,-4.855934421232888e-08
development,67#33,CNN,0.3845710521038749,0.38457104563713074,6.466744140176672e-09
development,67#34,aligned,0.37718785640462343,0.3771878778934479,-2.148882444208411e-08
development,67#34,LN,0.3761118930890196,0.37611186504364014,2.804537946321517e-08
development,67#34,CNN,0.3689727443799184,0.3689727485179901,-4.138071718617908e-09
development,68#3,aligned,0.48333104228347373,0.4833310544490814,-1.216560768790842e-08
development,68#3,LN,0.4898995788434687,0.489899605512619,-2.66691503325589e-08
development,68#3,CNN,0.4731039801802337,0.47310397028923035,9.891003349693506e-09
development,68#4,aligned,0.43074278316166087,0.4307427704334259,1.27282349660085e-08
development,68#4,LN,0.4277982952347236,0.427798330783844,-3.554912036962676e-08
development,68#4,CNN,0.451392275569058,0.4513922333717346,4.219732335775106e-08
development,68#7,aligned,0.3511133760460093,0.35111337900161743,-2.95560814711493e-09
development,68#7,LN,0.3573828678472916,0.3573828935623169,-2.5715025275818704e-08
development,68#7,CNN,0.352447860890018,0.35244789719581604,-3.63057980345971e-08
development,68#10,aligned,0.3247194599734251,0.32471948862075806,-2.864733295027122e-08
development,68#10,LN,0.3198671086374634,0.3198671340942383,-2.5456774854770714e-08
development,68#10,CNN,0.3239127869759228,0.32391276955604553,1.741987726289196e-08
development,68#11,aligned,0.39199800206405117,0.3919980525970459,-5.053299473312123e-08
development,68#11,LN,0.40084506647845325,0.40084508061408997,-1.413563671670559e-08
development,68#11,CNN,0.4308716665060785,0.4308716654777527,1.0283258133902962e-09
development,69#3,aligned,0.5508900050357327,0.5508899688720703,3.616366239800328e-08
development,69#3,LN,0.5585665118763572,0.5585665106773376,1.1990195503130963e-09
development,69#3,CNN,0.5766268151077104,0.5766267776489258,3.745878462968477e-08
development,69#4,aligned,0.4179496384336024,0.4179496765136719,-3.808006948657905e-08
development,69#4,LN,0.4236616728315932,0.4236616790294647,-6.197871549318279e-09
development,69#4,CNN,0.3686533301235854,0.3686533272266388,2.8969466270289956e-09
development,69#6,aligned,0.4370339178761025,0.43703389167785645,2.619824607252852e-08
development,69#6,LN,0.4342200736580233,0.4342200756072998,-1.9492765179762728e-09
development,69#6,CNN,0.4143415037068568,0.4143414795398712,2.4166985579388012e-08
development,69#7,aligned,0.4695376419787474,0.469537615776062,2.6202685410314785e-08
development,69#7,LN,0.46393713457766744,0.4639371633529663,-2.87752988659129e-08
development,69#7,CNN,0.45438530244036773,0.45438531041145325,-7.97108551386927e-09
development,69#21,aligned,0.48607951628685914,0.4860795736312866,-5.734442748428492e-08
development,69#21,LN,0.48324320105706736,0.4832431972026825,3.854384866830429e-09
development,69#21,CNN,0.5150322292548619,0.5150322914123535,-6.215749159821371e-08
development,70#1,aligned,0.5200207939033916,0.5200207829475403,1.0955851337257627e-08
development,70#1,LN,0.5226498068904107,0.522649884223938,-7.733352724859088e-08
development,70#1,CNN,0.5322649075566442,0.5322649478912354,-4.033459111152382e-08
development,70#7,aligned,0.4704740800997649,0.4704740047454834,7.535428148131018e-08
development,70#7,LN,0.4781429760978041,0.47814297676086426,-6.630601623314192e-10
development,70#7,CNN,0.499447813510126,0.4994478225708008,-9.060674766026011e-09
development,70#15,aligned,0.42846254761911073,0.42846259474754333,-4.712843260090693e-08
development,70#15,LN,0.4273024938233444,0.4273024797439575,1.4079386878584899e-08
development,70#15,CNN,0.4142209147532909,0.4142208993434906,1.540980032466166e-08
development,70#34,aligned,0.36039056279927023,0.3603906035423279,-4.074305764989461e-08
development,70#34,LN,0.3615919204631898,0.3615918755531311,4.491005867190978e-08
development,70#34,CNN,0.3528562170313971,0.35285624861717224,-3.1585775162046303e-08
