cell_id,feature,comparator,estimate,development_E,consumed_descriptive_E,sign_consistent
67#4,A,LN,raw_E,-0.05304056203466809,-0.038182951802464817,True
67#6,A,LN,raw_E,-0.012024835839387047,-0.02541599893843293,True
67#7,A,LN,raw_E,-0.028950516260832677,-0.019838036766583113,True
67#14,A,LN,raw_E,-0.08446251487035013,-0.018690731982392336,True
67#21,A,LN,raw_E,-0.007697768393454123,-0.009939535829388568,True
67#26,A,LN,raw_E,0.0011406492695749271,-0.018831938550286965,False
67#33,A,LN,raw_E,-0.04114324692716934,-0.03321675263907564,True
67#34,A,LN,raw_E,-0.06544231314283372,-0.02810971617777781,True
68#3,A,LN,raw_E,0.004737364980887382,-0.030707426988466922,False
68#4,A,LN,raw_E,0.016009992550467395,-0.012629735154290974,False
68#7,A,LN,raw_E,-0.06440997488274738,-0.03754029274812086,True
68#10,A,LN,raw_E,0.003560578765003028,-0.03319759946055743,False
68#11,A,LN,raw_E,-0.023868692911265747,-0.01138833318227225,True
69#3,A,LN,raw_E,-0.015020870935776707,-0.01667686484959075,True
69#4,A,LN,raw_E,-0.11609740965576898,-0.057896814731269196,True
69#6,A,LN,raw_E,-0.009576571107287893,-0.0450063049903383,True
69#7,A,LN,raw_E,0.03838781195132047,0.01965369827697779,True
69#21,A,LN,raw_E,-0.012244916538393154,-0.0196777139898824,True
70#1,A,LN,raw_E,-0.03265607675871455,-0.027973192171504617,True
70#7,A,LN,raw_E,-0.022387356449998296,-0.015220156014035877,True
70#15,A,LN,raw_E,-0.0005692239940607866,-0.014023495045770332,True
70#34,A,LN,raw_E,-0.060856915396344205,-0.03438078617708259,True
67#4,A,LN,matched_E,-0.0564614796410202,-0.0672231228002539,True
67#6,A,LN,matched_E,-0.009756935252241849,-0.03210817925177617,True
67#7,A,LN,matched_E,-0.02878917800145504,-0.04833788718511196,True
67#14,A,LN,matched_E,-0.0823277954113774,-0.029805105738065326,True
67#21,A,LN,matched_E,-0.009141719975427691,-0.009588176230612873,True
67#26,A,LN,matched_E,0.004949194699500517,-0.02181957659401805,False
67#33,A,LN,matched_E,-0.040119704173328725,-0.04031639670300688,True
67#34,A,LN,matched_E,-0.06013412047665781,-0.018663406565099083,True
68#3,A,LN,matched_E,0.0034262319694025943,-0.03246882507478113,False
68#4,A,LN,matched_E,0.03404257653087558,-0.014279740598912773,False
68#7,A,LN,matched_E,-0.05996746715602984,-0.03133308662231336,True
68#10,A,LN,matched_E,-0.021906834555658644,-0.031041896704223224,True
68#11,A,LN,matched_E,-0.023240714680723095,-0.01000064854580674,True
69#3,A,LN,matched_E,-0.013573892998756722,-0.019029618969571588,True
69#4,A,LN,matched_E,-0.10568285994949483,-0.06267225410669951,True
69#6,A,LN,matched_E,-0.007930967574247778,-0.05824603379045308,True
69#7,A,LN,matched_E,0.02700371018558321,-0.006832422572395166,False
69#21,A,LN,matched_E,-0.012294807062021124,-0.023140121379833633,True
70#1,A,LN,matched_E,-0.028427384499688575,-0.02822522899223378,True
70#7,A,LN,matched_E,-0.02515089390639495,-0.019247797091552592,True
70#15,A,LN,matched_E,-0.0007638479829855651,-0.02105335446607515,True
70#34,A,LN,matched_E,-0.042035798371752135,-0.04041723074093468,True
67#4,A,CNN,raw_E,-0.052297099362533836,-0.06599539036604642,True
67#6,A,CNN,raw_E,0.0774553706520317,-0.12250898882787026,False
67#7,A,CNN,raw_E,0.06037235635382916,-0.08692694386533689,False
67#14,A,CNN,raw_E,-0.036349610834162466,-0.08438400679630793,True
67#21,A,CNN,raw_E,-0.009153596203395571,-0.05146374112703058,True
67#26,A,CNN,raw_E,-0.021342819763895345,-0.04088674224777987,True
67#33,A,CNN,raw_E,0.006890976270040018,-0.14689148689965842,False
67#34,A,CNN,raw_E,0.0014494091296173364,-0.030704255855404712,False
68#3,A,CNN,raw_E,0.06512750235651671,-0.11103129033361982,False
68#4,A,CNN,raw_E,-0.015626491765589952,-0.028057714265407305,True
68#7,A,CNN,raw_E,-0.06572715706192753,-0.09075117981271935,True
68#10,A,CNN,raw_E,-0.05416065906135923,-0.06500576419844252,True
68#11,A,CNN,raw_E,0.0865516169928983,-0.022912320723518745,False
69#3,A,CNN,raw_E,-0.012911323566404048,-0.05309572907370499,True
