split,cell_id,group,feature,quintile,bins,event_rate,mean_signed_drive,mean_absolute_drive,mean_recent_change,mean_feature,aligned_nll,LN_nll,CNN_nll,aligned_minus_LN,aligned_minus_CNN
development,67#4,PC_OFF,C,1,84,0.34523809523809523,-0.2598194056045031,0.5004792051490984,0.043070289450475856,0.043070289450475856,0.5926734806005138,0.5912062608125531,0.6568638847299433,0.0014672197879606076,-0.06419040412942974
development,67#4,PC_OFF,C,2,84,0.30952380952380953,-0.21517390913712525,0.5202926188981759,0.14701001915576248,0.14701001915576248,0.5375959854166145,0.5625124202257304,0.5929605493179009,-0.024916434809115852,-0.05536456390128632
development,67#4,PC_OFF,C,3,84,0.16666666666666666,0.08450583267611884,0.5071550150449704,0.40049431570722455,0.40049431570722455,0.46822323634783025,0.5105866050215221,0.47696776089779536,-0.04236336867369197,-0.008744524549965257
development,67#4,PC_OFF,C,4,84,0.15476190476190477,0.840589448215767,1.1554978506361036,1.0440771530245132,1.0440771530245132,0.41401863195216004,0.41481465984117216,0.42806379060521044,-0.000796027889012007,-0.014045158653050454
development,67#4,PC_OFF,C,5,84,0.11904761904761904,2.8506478163319464,3.123639264601349,4.9481514622429605,4.9481514622429605,0.2993075378368862,0.35618729603318916,0.38006456808007705,-0.05687975819630299,-0.08075703024319095
development,67#6,MC_OFF,C,1,588,0.2891156462585034,-0.16305991663075042,0.4821047775689208,0.036682014264910606,0.036682014264910606,0.5193773248070382,0.5212178703179587,0.46347626470366265,-0.0018405455109204768,0.055901060103375616
development,67#6,MC_OFF,C,2,588,0.2261904761904762,-0.12696056847718343,0.522518438523652,0.16238183110337043,0.16238183110337043,0.4918347855881479,0.5155105112547397,0.42940598865697666,-0.02367572566659189,0.06242879693117126
development,67#6,MC_OFF,C,3,588,0.22448979591836735,0.20505904150392912,0.5075167026694717,0.3905743856085922,0.3905743856085922,0.4496422877035676,0.4443408075028353,0.39140198766542256,0.00530148020073242,0.058240300038145086
development,67#6,MC_OFF,C,4,588,0.195578231292517,0.5177860290552158,0.8132038335784315,1.0198400985466878,1.0198400985466878,0.41973372339142156,0.4288127521155912,0.42638175548368057,-0.009079028724169571,-0.0066480320922589495
development,67#6,MC_OFF,C,5,588,0.1989795918367347,2.7016862753077437,3.009128122157251,4.626438008937874,4.626438008937874,0.28416544354112366,0.30774802749076235,0.3714025823246893,-0.023582583949638657,-0.08723713878356562
development,67#7,MC_ON,C,1,588,0.09693877551020408,-0.2761405734368704,0.5392430732339967,0.047601396267112704,0.047601396267112704,0.28757445688367433,0.2727050242751016,0.19499748538766584,0.014869432608572672,0.09257697149600848
development,67#7,MC_ON,C,2,588,0.11394557823129252,-0.1304794950743339,0.5868855998948371,0.15230446136500556,0.15230446136500556,0.364052534537191,0.36782813227498323,0.2397986817750501,-0.0037755977377922326,0.12425385276214093
development,67#7,MC_ON,C,3,588,0.20918367346938777,0.2567984668876595,0.5958382303316963,0.4122262575625095,0.4122262575625095,0.40331739844656933,0.38521110290318966,0.34257611859497034,0.0181062955433797,0.060741279851599043
development,67#7,MC_ON,C,4,588,0.3282312925170068,0.5276025351379412,0.8477474343736099,1.0766254888395625,1.0766254888395625,0.5483688429609633,0.537823766231374,0.565396812780677,0.010545076729589346,-0.017027969819713645
development,67#7,MC_ON,C,5,588,0.36054421768707484,2.6245812487415225,2.917029567356665,4.672108271597868,4.672108271597868,0.5865878356329474,0.577187480472911,0.5409153920350659,0.009400355160036475,0.045672443597881494
development,67#14,PC_ON,C,1,588,0.0663265306122449,-0.3199467138922392,0.5605501815898606,0.04790406862602616,0.04790406862602616,0.185685810105108,0.190554117376237,0.13744362741203967,-0.004868307271128959,0.048242182693068354
development,67#14,PC_ON,C,2,588,0.061224489795918366,0.06692962334030501,0.7351257894577949,0.1741773395048464,0.1741773395048464,0.19505734873735892,0.20230113170400488,0.18930123966767204,-0.007243782966645922,0.005756109069686894
