"cell_id","cones","BC_expected_count","BC_actual_count","AC_expected_count","AC_actual_count","BC_mismatch","AC_mismatch","BC_stored_mismatch","AC_stored_mismatch","BC_max_radius_deg","AC_max_radius_deg","BC_interior_holes","AC_interior_holes","BC_subset_AC","AC_full_disk","verdict"
"67#4","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"67#6","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"67#7","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"67#14","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"67#21","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"67#26","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"67#33","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"67#34","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"68#3","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"68#4","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"68#7","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"68#10","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"68#11","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"69#3","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"69#4","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"69#6","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"69#7","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
"69#21","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"70#1","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"70#7","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"70#15","289","5","5","21","21","0","0","0","0","0.05390624701976776","0.12053803274809616","0","0","true","true","PASS"
"70#34","289","9","9","21","21","0","0","0","0","0.0762349456319898","0.12053803274809616","0","0","true","true","PASS"
