"cell_id","N","architecture_mode","schema","revision","stage","causal_contract_config","causal_contract_state","causal_identity_sha256","config_sha256","geometry_source","cone_positions_sha256","cell_type","polarity","BC_radius_deg","AC_radius_deg","graph_nodes","graph_edges","checkpoint_path","checkpoint_sha256","checkpoint_sha256_after","identity_verdict"
"67#4","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","OFF","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_4\model-trained.pt","f9ab8103f00d42703c31f8a96d57b76b25893d97c94cb9f72f534741021829a7","f9ab8103f00d42703c31f8a96d57b76b25893d97c94cb9f72f534741021829a7","PASS"
"67#6","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","OFF","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_6\model-trained.pt","02f6b00debb45d64c91a7b1017068b18c7b9e852bc4dab6dd049e50e6e96ccef","02f6b00debb45d64c91a7b1017068b18c7b9e852bc4dab6dd049e50e6e96ccef","PASS"
"67#7","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","ON","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_7\model-trained.pt","d9e78dbed900229fea46b440ea93695147b0cb0866d5f90b35b2f0d345147cdb","d9e78dbed900229fea46b440ea93695147b0cb0866d5f90b35b2f0d345147cdb","PASS"
"67#14","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_14\model-trained.pt","16255822b90ab992e2afb655fa065546536653986348a31a20b63e0f4514f4e2","16255822b90ab992e2afb655fa065546536653986348a31a20b63e0f4514f4e2","PASS"
"67#21","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_21\model-trained.pt","b0fe331387572fd14d020ca1ec294f14163f30b9cfcfad50f01d39497554fd0a","b0fe331387572fd14d020ca1ec294f14163f30b9cfcfad50f01d39497554fd0a","PASS"
"67#26","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_26\model-trained.pt","fb3e3c5227acac5632338f334a25c45fc9e61c1400bfb2e7fe777c0bbe4fd873","fb3e3c5227acac5632338f334a25c45fc9e61c1400bfb2e7fe777c0bbe4fd873","PASS"
"67#33","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","OFF","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_33\model-trained.pt","a519568baef8aacf9e549956d1728260f26262d11971cd3e91b7e6cb23195955","a519568baef8aacf9e549956d1728260f26262d11971cd3e91b7e6cb23195955","PASS"
"67#34","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\67_34\model-trained.pt","4ec9c3f8bbe1557a0873c95039459b738f34d6fc3d6236d8cda992c922f9f06c","4ec9c3f8bbe1557a0873c95039459b738f34d6fc3d6236d8cda992c922f9f06c","PASS"
"68#3","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","OFF","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_3\model-trained.pt","d7cd8f67ebd8b7997492255457af8acbf7b236bcd597e7c14ba8ec0711c1a6de","d7cd8f67ebd8b7997492255457af8acbf7b236bcd597e7c14ba8ec0711c1a6de","PASS"
"68#4","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_4\model-trained.pt","0fc06f738cec84b855d2c0c7f7ca48907cd98ab11cd6d10be027ce8e5a4ff67f","0fc06f738cec84b855d2c0c7f7ca48907cd98ab11cd6d10be027ce8e5a4ff67f","PASS"
