"cell_id","dtype","absolute_tolerance","outside_BC_cones","outside_AC_cones","BC_direct_outside_max","BC_broad_outside_max","BC_direct_inside_max","BC_broad_inside_max","BC_inside_nonzero_cones","AC_inside_nonzero_cones","VJP_count","verdict"
"67#4","torch.float32","1e-12","284","268","0","0","0.12497629225254059","0.06743867695331573","5","21","8","PASS"
"67#6","torch.float32","1e-12","280","268","0","0","0.06893568485975266","0.036698877811431885","9","21","8","PASS"
"67#7","torch.float32","1e-12","280","268","0","0","0.07825298607349396","0.04167908430099487","9","21","8","PASS"
"67#14","torch.float32","1e-12","284","268","0","0","0.12906163930892944","0.06608022004365921","5","21","8","PASS"
"67#21","torch.float32","1e-12","284","268","0","0","0.1285177618265152","0.07107016444206238","5","21","8","PASS"
"67#26","torch.float32","1e-12","284","268","0","0","0.13710439205169678","0.07492697983980179","5","21","8","PASS"
"67#33","torch.float32","1e-12","280","268","0","0","0.08005776256322861","0.04476896673440933","9","21","8","PASS"
"67#34","torch.float32","1e-12","284","268","0","0","0.15282109379768372","0.08365358412265778","5","21","8","PASS"
"68#3","torch.float32","1e-12","280","268","0","0","0.07004809379577637","0.03692435473203659","9","21","8","PASS"
"68#4","torch.float32","1e-12","284","268","0","0","0.0813584253191948","0.044687241315841675","5","21","8","PASS"
"68#7","torch.float32","1e-12","284","268","0","0","0.09490056335926056","0.047174956649541855","5","21","8","PASS"
"68#10","torch.float32","1e-12","280","268","0","0","0.04755714163184166","0.024910060688853264","9","21","8","PASS"
"68#11","torch.float32","1e-12","284","268","0","0","0.13401120901107788","0.06937040388584137","5","21","8","PASS"
"69#3","torch.float32","1e-12","284","268","0","0","0.15483585000038147","0.0883842334151268","5","21","8","PASS"
"69#4","torch.float32","1e-12","280","268","0","0","0.06256909668445587","0.03291097655892372","9","21","8","PASS"
"69#6","torch.float32","1e-12","280","268","0","0","0.0715552344918251","0.038347311317920685","9","21","8","PASS"
"69#7","torch.float32","1e-12","280","268","0","0","0.07499722391366959","0.03965829312801361","9","21","8","PASS"
"69#21","torch.float32","1e-12","284","268","0","0","0.12139729410409927","0.06671977043151855","5","21","8","PASS"
"70#1","torch.float32","1e-12","284","268","0","0","0.09858173131942749","0.05522869527339935","5","21","8","PASS"
"70#7","torch.float32","1e-12","284","268","0","0","0.1325223594903946","0.06749198585748672","5","21","8","PASS"
"70#15","torch.float32","1e-12","284","268","0","0","0.0796426460146904","0.03838353604078293","5","21","8","PASS"
"70#34","torch.float32","1e-12","280","268","0","0","0.06476496905088425","0.0341142974793911","9","21","8","PASS"
