cell_id,group,dtype,mode,history,pair,family,control,channel,equal,max_abs,mean_on_change,raw_mean_sign_flip,reported_mean_sign_flip,resolved_mean_sign_flip,peak_index_changed
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-12,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-12,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-11,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-11,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-10,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-10,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-09,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-09,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-08,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-08,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-07,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-07,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-06,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-06,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-05,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-05,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-04,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-04,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-03,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-03,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-02,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-02,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-01,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x-01,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+00,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+00,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+01,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+01,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+02,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+02,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+03,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+03,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+04,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+04,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+05,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+05,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+06,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+06,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+07,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+07,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+08,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+08,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+09,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+09,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+10,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+10,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+11,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+11,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+12,Mach_bands,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,ramp_minus_matched_uniform_x+12,Mach_bands,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,bright_surround_minus_dark_surround,SBC,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,bright_surround_minus_dark_surround,SBC,False,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,control_bright_surround_minus_dark_surround,SBC,True,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,control_bright_surround_minus_dark_surround,SBC,True,probability,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,intersection_minus_corridor,Hermann,False,logit,True,0.0,0.0,False,False,False,False
69#7,parasol_ON,torch.float32,normal,periodic_11,intersection_minus_corridor,Hermann,False,probability,True,0.0,0.0,False,False,False,False
