artifact_path,lineage,recording_or_cell,accessed_live_range,stimulus_accessed,spikes_or_targets_accessed,model_predictions_computed,NLL_or_metric_computed,used_for_training,used_for_model_selection,used_for_architecture_decision,only_hash_or_metadata_access,classification,evidence
.omo/tmp/macaque-goal-review-pytest-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-current-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-extended-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-extended-20260828/test_real_macaque_run_writes_t0/macaque-run/results.json,mocked loader test,see artifact,"[0,0.8) s; train=; validation=",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.stimulus.used_live_frames; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-immediate-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-related-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-related-20260828/test_real_macaque_run_writes_t0/macaque-run/results.json,mocked loader test,see artifact,"[0,0.8) s; train=; validation=",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.stimulus.used_live_frames; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-rerun-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/tmp/macaque-goal-review-pytest-revision2-20260828/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.test-tmp-schottdorf-baseline-final/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.test-tmp-schottdorf-baseline-final2/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
output/audits/current_checkpoint_applicability_20260831/runtime-audit.json,output\audits\current_checkpoint_applicability_20260831,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/results.json,output\real_data\schottdorf_canonical_v1_fixed_ln_center_22cell_20260905,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_canonical_v1_overlapping_support_development_22cell_20260830/results.json,output\real_data\schottdorf_canonical_v1_overlapping_support_development_22cell_20260830,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/results.json,output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_14/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_14,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_21/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_21,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_26/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_26,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_33/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_33,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_34/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_34,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_4/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_6/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_6,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_7/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\67_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_10/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_10,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_11/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_11,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_3/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_3,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_4/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
