cell_id,model,path,metadata_identity_pass,fresh_refit_steps,reported_trainable_scalars,strict_model_load,center_trainable
67#4,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_4/model-trained.pt,True,140,33,NOT_RUN_IN_USAGE_AUDIT,False
67#4,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_4/model-trained.pt,True,75,33,NOT_RUN_IN_USAGE_AUDIT,False
67#4,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_4/ln-trained.pt,True,435,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#4,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_4/cnn-trained.pt,True,179,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#6,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_6/model-trained.pt,True,369,33,NOT_RUN_IN_USAGE_AUDIT,False
67#6,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_6/model-trained.pt,True,623,33,NOT_RUN_IN_USAGE_AUDIT,False
67#6,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_6/ln-trained.pt,True,858,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#6,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_6/cnn-trained.pt,True,290,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#7,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_7/model-trained.pt,True,276,33,NOT_RUN_IN_USAGE_AUDIT,False
67#7,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_7/model-trained.pt,True,251,33,NOT_RUN_IN_USAGE_AUDIT,False
67#7,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_7/ln-trained.pt,True,917,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#7,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_7/cnn-trained.pt,True,110,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#14,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_14/model-trained.pt,True,250,33,NOT_RUN_IN_USAGE_AUDIT,False
67#14,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_14/model-trained.pt,True,293,33,NOT_RUN_IN_USAGE_AUDIT,False
67#14,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_14/ln-trained.pt,True,935,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#14,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_14/cnn-trained.pt,True,216,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#21,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_21/model-trained.pt,True,432,33,NOT_RUN_IN_USAGE_AUDIT,False
67#21,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_21/model-trained.pt,True,565,33,NOT_RUN_IN_USAGE_AUDIT,False
67#21,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_21/ln-trained.pt,True,953,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#21,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_21/cnn-trained.pt,True,508,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#26,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_26/model-trained.pt,True,264,33,NOT_RUN_IN_USAGE_AUDIT,False
67#26,aligned,output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/cells/67_26/model-trained.pt,True,266,33,NOT_RUN_IN_USAGE_AUDIT,False
67#26,LN,output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_26/ln-trained.pt,True,905,128,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#26,CNN,.omo/evidence/compact_causal_cnn_baseline/cells/67_26/cnn-trained.pt,True,372,2990,NOT_RUN_IN_USAGE_AUDIT,not applicable
67#33,zero,output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/cells/67_33/model-trained.pt,True,581,33,NOT_RUN_IN_USAGE_AUDIT,False
