cell_id,group,pathway,mean_abs_delta_logit,signed_delta_logit,delta_nll,protocol_sha256
67#4,PC_OFF,H1,0.010885041058063507,-0.006144115428129832,-8.553266525268555e-05,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#6,MC_OFF,H1,0.19036082611729702,-0.04797895946850379,0.0066363513469696045,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#7,MC_ON,H1,0.06478655230253935,-0.002760056716700395,0.0038928091526031494,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#14,PC_ON,H1,0.01905704872061809,0.0029973405972123146,-4.157423973083496e-05,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#21,PC_ON,H1,0.029830664694309235,0.011442101299762726,0.0005341172218322754,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#26,PC_ON,H1,0.01874241256820304,0.008443157000555878,0.00021287798881530762,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#33,MC_OFF,H1,0.14136784315109252,-0.05528282955288887,0.0033817291259765625,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
67#34,PC_ON,H1,0.009852335167427858,0.001785138708849748,9.799003601074219e-05,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#3,MC_OFF,H1,0.17842255032931764,-0.046056686732918024,0.005967944860458374,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#4,PC_ON,H1,0.011832065818210443,-0.007551511935889721,0.000260770320892334,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#7,PC_ON,H1,0.013047393448650836,0.0028478680675228436,-0.0002881288528442383,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#10,MC_ON,H1,0.1412167258436481,0.0057259460166096685,0.0012761950492858887,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
68#11,PC_OFF,H1,0.0185808643947045,-0.011826049933830896,0.0005137920379638672,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
69#3,PC_OFF,H1,0.18902994842578968,-0.06866469314942757,0.006364583969116211,3652c48aa4293f2c3503e15099b40657f6d3b396f4a06f4434c4f0e27167bb08
