cell_id,recording_id,trial_local_one_based,trial_cell_global_zero_based,split,sequence_index,live_start_inclusive,live_stop_exclusive,scored_start_inclusive,scored_stop_exclusive,scored_bins,source_image_id,source_artifact
67#4,lSS01071,1,0,train,0,0,150,30,150,120,lSS01071-live-frames-000000-000149-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,1,150,300,180,300,120,lSS01071-live-frames-000150-000299-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,2,300,450,330,450,120,lSS01071-live-frames-000300-000449-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,3,450,600,480,600,120,lSS01071-live-frames-000450-000599-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,4,600,750,630,750,120,lSS01071-live-frames-000600-000749-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,5,750,900,780,900,120,lSS01071-live-frames-000750-000899-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,6,900,1050,930,1050,120,lSS01071-live-frames-000900-001049-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,7,1050,1200,1080,1200,120,lSS01071-live-frames-001050-001199-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,8,1200,1350,1230,1350,120,lSS01071-live-frames-001200-001349-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,9,1350,1500,1380,1500,120,lSS01071-live-frames-001350-001499-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,10,1500,1650,1530,1650,120,lSS01071-live-frames-001500-001649-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,11,1650,1800,1680,1800,120,lSS01071-live-frames-001650-001799-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,12,1800,1950,1830,1950,120,lSS01071-live-frames-001800-001949-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,13,1950,2100,1980,2100,120,lSS01071-live-frames-001950-002099-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,14,2100,2250,2130,2250,120,lSS01071-live-frames-002100-002249-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,train,15,2250,2400,2280,2400,120,lSS01071-live-frames-002250-002399-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,validation,0,2400,2550,2430,2550,120,lSS01071-live-frames-002400-002549-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,validation,1,2550,2700,2580,2700,120,lSS01071-live-frames-002550-002699-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,validation,2,2700,2850,2730,2850,120,lSS01071-live-frames-002700-002849-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#4,lSS01071,1,0,validation,3,2850,3000,2880,3000,120,lSS01071-live-frames-002850-002999-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_4.pt
67#6,lSS01078,1,0,train,0,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,2,1,train,1,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-2,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,3,2,train,2,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-3,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,4,3,train,3,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-4,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,5,4,train,4,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-5,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,6,5,train,5,0,150,30,150,120,lSS01078-live-frames-000000-000149-trial-6,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,1,0,train,6,150,300,180,300,120,lSS01078-live-frames-000150-000299-trial-1,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,2,1,train,7,150,300,180,300,120,lSS01078-live-frames-000150-000299-trial-2,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,3,2,train,8,150,300,180,300,120,lSS01078-live-frames-000150-000299-trial-3,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
67#6,lSS01078,4,3,train,9,150,300,180,300,120,lSS01078-live-frames-000150-000299-trial-4,.omo/evidence/compact_causal_cnn_baseline/inputs/67_6.pt
