recording_id,cell_id,recording_kind,catalog_kind,trial_count,live_duration_s_per_trial,candidate_start_s,candidate_stop_s_exclusive,headers_and_repeat_counts_valid,duplicate_payload_removed_by_existing_parser,path,only_source_validation_not_candidate_statistics
lSS01071,67#4,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01071.txt,True
lSS01078,67#6,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt,True
lSS01079,67#6,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01079.txt,True
lSS01086,67#7,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt,True
lSS01087,67#7,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01087.txt,True
lSS01110,67#14,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt,True
lSS01112,67#14,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01112.txt,True
lSS01130,67#21,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt,True
lSS01131,67#21,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01131.txt,True
lSS01141,67#26,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt,True
lSS01142,67#26,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01142.txt,True
lSS01159,67#33,6x1min,6x1min,6,60,20,60,True,True,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt,True
lSS01160,67#33,10min,10min,1,600,20,60,True,True,data/real/schottdorf_lee_2021_repository/data/lSS01160.txt,True
lSS01167,67#34,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt,True
lSS01168,67#34,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01168.txt,True
lSS01181,68#3,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt,True
lSS01183,68#3,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01183.txt,True
lSS01184,68#4,6x1min,10min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt,True
lSS01194,68#7,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt,True
lSS01196,68#7,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01196.txt,True
lSS01221,68#10,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01221.txt,True
lSS01225,68#11,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01225.txt,True
lSS01227,68#11,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01227.txt,True
lSS01251,69#3,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01251.txt,True
lSS01252,69#3,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01252.txt,True
lSS01254,69#4,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01254.txt,True
lSS01256,69#6,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01256.txt,True
lSS01257,69#6,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01257.txt,True
lSS01258,69#7,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01258.txt,True
lSS01259,69#7,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01259.txt,True
lSS01270,69#21,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01270.txt,True
lSS01278,70#1,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01278.txt,True
lSS01284,70#7,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01284.txt,True
lSS01285,70#7,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01285.txt,True
lSS01287,70#15,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01287.txt,True
lSS01299,70#34,6x1min,6x1min,6,60,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01299.txt,True
lSS01300,70#34,10min,10min,1,600,20,60,True,False,data/real/schottdorf_lee_2021_repository/data/lSS01300.txt,True
