artifact_path,field,train_sequences,validation_sequences,sequence_bins,total_live_bins,end_seconds_at_150Hz
.omo/evidence/review-pytest-tmp/test_multirecording_runner_use0/macaque-multi/results.json,$.adapter_config,1,1,60,120,0.8
output/audits/current_checkpoint_applicability_20260831/runtime-audit.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_canonical_v1_fixed_ln_center_22cell_20260905/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_canonical_v1_overlapping_support_development_22cell_20260830/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_canonical_v1_shared_bc_development_22cell_20260830/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_14/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_21/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_26/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_33/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_34/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_4/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_6/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/67_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_10/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_11/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_3/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_4/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_21/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_3/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_4/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_6/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_1/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_15/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_34/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_center_surround_ln_67_4_smoke_seed61001/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829/evaluation/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_lee_2021_cellwise_multirecording_v1_local_seed20260828_revision2/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_14/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_21/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_26/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_33/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_34/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_4/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_6/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_10/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_11/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_3/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_4/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_7/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_21/results.json,$.adapter_config,16,4,150,3000,20.0
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_3/results.json,$.adapter_config,16,4,150,3000,20.0
