model,gap,burden,n_cells,Pearson,Spearman,artifact_class,protocol_sha256
aligned,NCorr_gap,multi_spike_bin_fraction,20,0.45925324781291194,0.3548872180451128,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,NCorr_gap,beyond_first_spike_fraction,20,0.5405992010685862,0.3669172932330827,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,NCorr_gap,extra_count_Rel6,20,0.3496237793252521,0.34887218045112783,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,NCorr_gap,event_rate_hz,20,-0.24610200491942724,-0.2511278195488722,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,FEV_gap,multi_spike_bin_fraction,20,0.4392629153660483,0.34887218045112783,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,FEV_gap,beyond_first_spike_fraction,20,0.5238243470026892,0.3593984962406015,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,FEV_gap,extra_count_Rel6,20,0.3457030929665493,0.3443609022556391,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
aligned,FEV_gap,event_rate_hz,20,-0.2762207239548563,-0.24511278195488723,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,NCorr_gap,multi_spike_bin_fraction,20,0.528032330828522,0.4270676691729323,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,NCorr_gap,beyond_first_spike_fraction,20,0.5857833849064064,0.45413533834586467,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,NCorr_gap,extra_count_Rel6,20,0.36082552235295584,0.37293233082706767,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,NCorr_gap,event_rate_hz,20,-0.2180977687857996,-0.17443609022556392,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,FEV_gap,multi_spike_bin_fraction,20,0.5180757349299181,0.45263157894736844,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,FEV_gap,beyond_first_spike_fraction,20,0.5494655245051365,0.47969924812030074,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,FEV_gap,extra_count_Rel6,20,0.1830202854026542,0.2571428571428571,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
LN,FEV_gap,event_rate_hz,20,-0.15633648043242881,-0.06766917293233082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,NCorr_gap,multi_spike_bin_fraction,20,0.051569225121119215,0.06766917293233082,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,NCorr_gap,beyond_first_spike_fraction,20,0.07914054686778459,0.039097744360902256,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,NCorr_gap,extra_count_Rel6,20,-0.25879654218287446,-0.18796992481203006,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,NCorr_gap,event_rate_hz,20,-0.11073886410764558,-0.06315789473684211,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,FEV_gap,multi_spike_bin_fraction,20,-0.012121852833696148,0.0030075187969924814,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,FEV_gap,beyond_first_spike_fraction,20,0.021185841713102355,-0.021052631578947368,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,FEV_gap,extra_count_Rel6,20,-0.26814855713804336,-0.20902255639097744,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
CNN,FEV_gap,event_rate_hz,20,-0.10831568484325611,-0.03759398496240601,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
