cell_id,group,recording_id,r3,raw_split_r_mean,Rel6,ceiling,status,multi_spike_bin_fraction,multi_spike_fraction_among_occupied,beyond_first_spike_fraction,event_rate_hz,firing_rate_hz,count_minus_occupancy_Rel6,artifact_class,protocol_sha256
67#6,MC_OFF,lSS01078,0.7308065396950111,0.7307692752859117,0.8444693533730094,0.9189501364998046,DEFINED,0.0349537037037037,0.15211040596353378,0.13460029639961643,34.46875,39.829861111111114,0.019906724327670045,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,0.8515170562397316,0.8514556366576359,0.9198047118929468,0.9590644982966197,DEFINED,0.06983796296296296,0.31248058001035733,0.27466005559311846,33.52430555555556,46.21875,0.032086263868316034,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,0.8097469319177555,0.8097226019820587,0.8948731092028227,0.9459773301738381,DEFINED,0.04465277777777778,0.20112605567719738,0.16917879417879417,33.302083333333336,40.083333333333336,0.02727945717955127,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,0.6103039066068752,0.6102422586623181,0.757998417693548,0.8706310456752321,DEFINED,0.0075,0.06364172068355922,0.06000738552437223,17.677083333333336,18.805555555555557,0.015550361113050304,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#26,PC_ON,lSS01141,0.5458989072758825,0.5458903103598542,0.7062543413499689,0.8403893986420634,DEFINED,0.01787037037037037,0.06502147730144024,0.061719614351193296,41.22569444444445,43.9375,0.03506117108750484,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#33,MC_OFF,lSS01159,0.7455542070234048,0.7453458875740206,0.8542320874637933,0.9242467676242061,DEFINED,0.035416666666666666,0.17187148955290946,0.14919239223931952,30.90972222222222,36.32986111111111,0.015900416288076924,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#34,PC_ON,lSS01167,0.6757841180685441,0.6757412519649886,0.806528849130557,0.898069512415691,DEFINED,0.009930555555555555,0.04972183588317107,0.04736667770785028,29.958333333333332,31.447916666666664,0.007946296245663897,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#3,MC_OFF,lSS01181,0.7698410005336774,0.7697556964735435,0.8699549849975673,0.9327137744225542,DEFINED,0.07328703703703704,0.24112718964204113,0.21461897356143078,45.59027777777778,58.048611111111114,0.03157275094700873,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#4,PC_ON,lSS01184,0.4047526443735742,0.40471779538781216,0.5762618009579428,0.7591190953716964,DEFINED,0.010069444444444445,0.05530832803560076,0.052523792314179016,27.30902777777778,28.822916666666668,0.0034249664200288743,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
68#7,PC_ON,lSS01194,0.7038597996285835,0.7037814354488168,0.8261945023669373,0.90895242029874,DEFINED,0.026504629629629628,0.12973034217085883,0.1153653402826501,30.645833333333332,34.642361111111114,0.02444832770758787,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
