cell_id,group,recording_id,model,contract,raw_Pearson,raw_Spearman,NCorr,FEV,Rel6,correlation_ceiling,normalization_status,FEV_status,NCorr_gap,FEV_gap,raw_correlation_gap,mean_predicted_probability,mean_repeat_occupancy,repeat_mean_variance,repeat_mean_noise_variance,signal_variance,MSE,MSE_signal,count_Rel6,extra_count_Rel6,multi_spike_bin_fraction,beyond_first_spike_fraction,event_rate_hz,artifact_class,protocol_sha256
67#6,MC_OFF,lSS01078,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6547023229124828,0.7272960602573613,0.7209946762496887,0.509799074849567,0.8245626290453394,0.9080543095241272,DEFINED,DEFINED,0.2790053237503113,0.490200925150433,0.2533519866116445,0.256673321620693,0.22979166666666667,0.0942598331404321,0.016545524691358025,0.07771430844907407,0.05464115059052024,0.03809562589916222,0.8444693533730094,0.6902050133265315,0.0349537037037037,0.13460029639961643,34.46875,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#6,MC_OFF,lSS01078,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6252034596394258,0.6782192322648265,0.6885088844158104,0.4703341424937032,0.8245626290453394,0.9080543095241272,DEFINED,DEFINED,0.3114911155841896,0.5296658575062968,0.28285084988470144,0.23988753022522963,0.22979166666666667,0.0942598331404321,0.016545524691358025,0.07771430844907407,0.057708140516545686,0.04116261582518766,0.8444693533730094,0.6902050133265315,0.0349537037037037,0.13460029639961643,34.46875,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#6,MC_OFF,lSS01078,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7237081741713556,0.7218386836536972,0.7969877644770171,0.5673659209750104,0.8245626290453394,0.9080543095241272,DEFINED,DEFINED,0.20301223552298286,0.4326340790249896,0.18434613535277167,0.26564797069236457,0.22979166666666667,0.0942598331404321,0.016545524691358025,0.07771430844907407,0.05016738295428715,0.03362185826292913,0.8444693533730094,0.6902050133265315,0.0349537037037037,0.13460029639961643,34.46875,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6349293289850824,0.6620599116233838,0.673888066994666,0.4433679120017229,0.8877184480246307,0.942188117110713,DEFINED,DEFINED,0.32611193300533403,0.5566320879982771,0.3072587881256307,0.2561293942096249,0.22349537037037034,0.11111849226251716,0.012485339506172843,0.09863315275634432,0.06738771727078981,0.05490237776461696,0.9198047118929468,0.8806084718865019,0.06983796296296296,0.27466005559311846,33.52430555555556,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,LN,STIMULUS_ONLY_ZERO_HISTORY,0.6028607432830231,0.5703826758009278,0.6398517794214371,0.379054392399486,0.8877184480246307,0.942188117110713,DEFINED,DEFINED,0.3601482205785629,0.620945607600514,0.33932737382768996,0.16993555334047275,0.22349537037037034,0.11111849226251716,0.012485339506172843,0.09863315275634432,0.07373116247401539,0.06124582296784254,0.9198047118929468,0.8806084718865019,0.06983796296296296,0.27466005559311846,33.52430555555556,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#7,MC_ON,lSS01086,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7297436291042888,0.6891163102912999,0.7745200940785579,0.5919642496808721,0.8877184480246307,0.942188117110713,DEFINED,DEFINED,0.22547990592144207,0.40803575031912787,0.21244448800642424,0.22524347015554494,0.22349537037037034,0.11111849226251716,0.012485339506172843,0.09863315275634432,0.05273119199744896,0.040245852491276116,0.9198047118929468,0.8806084718865019,0.06983796296296296,0.27466005559311846,33.52430555555556,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.7477433476918615,0.6969975081058604,0.8027759906159515,0.6407231817277076,0.8675936520232714,0.9314470741933067,DEFINED,DEFINED,0.1972240093840485,0.3592768182722924,0.18370372650144529,0.21425130976840187,0.2220138888888889,0.10385412326388888,0.013773919753086422,0.09008020351080245,0.04613764865976811,0.03236372890668169,0.8948731092028227,0.8077024304761526,0.04465277777777778,0.16917879417879417,33.302083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,LN,STIMULUS_ONLY_ZERO_HISTORY,0.7319570505398569,0.6667816679327819,0.7858278487521999,0.5892025984383211,0.8675936520232714,0.9314470741933067,DEFINED,DEFINED,0.2141721512478001,0.4107974015616789,0.1994900236534498,0.17548243323134557,0.2220138888888889,0.10385412326388888,0.013773919753086422,0.09008020351080245,0.05077863328747129,0.03700471353438487,0.8948731092028227,0.8077024304761526,0.04465277777777778,0.16917879417879417,33.302083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#14,PC_ON,lSS01110,CNN,STIMULUS_ONLY_ZERO_HISTORY,0.7985432637587035,0.741655466223399,0.8573146943966661,0.7295801630387089,0.8675936520232714,0.9314470741933067,DEFINED,DEFINED,0.14268530560333392,0.2704198369612911,0.1329038104346032,0.2221100212502717,0.2220138888888889,0.10385412326388888,0.013773919753086422,0.09008020351080245,0.03813339369991755,0.024359473946831127,0.8948731092028227,0.8077024304761526,0.04465277777777778,0.16917879417879417,33.302083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
67#21,PC_ON,lSS01130,aligned,STIMULUS_ONLY_ZERO_HISTORY,0.6440645041983373,0.5743396067349815,0.7474744073329433,0.54430168814517,0.7424480565804977,0.8616542558245144,DEFINED,DEFINED,0.25252559266705665,0.45569831185483,0.2175897516261771,0.13532528464336388,0.11784722222222223,0.04539058159722223,0.011713734567901236,0.03367684702932099,0.02706021690775616,0.015346482339854924,0.757998417693548,0.5303749200557197,0.0075,0.06000738552437223,17.677083333333336,NEW_DETERMINISTIC_DERIVED_ARTIFACT,e132b11799544e0b9e6eac081b2d8454f13e8ebf0a58442bb6d42fb156f3113f
