cell_id,recording_id,local_trial_one_based,cell_global_trial_zero_based,sequence_index,source_image_id,live_start,live_stop_exclusive,scored_start,scored_stop_exclusive
67#4,lSS01071,1,0,0,lSS01071-live-frames-003000-003149-trial-1,3000,3150,3030,3150
67#4,lSS01071,1,0,1,lSS01071-live-frames-003150-003299-trial-1,3150,3300,3180,3300
67#4,lSS01071,1,0,2,lSS01071-live-frames-003300-003449-trial-1,3300,3450,3330,3450
67#4,lSS01071,1,0,3,lSS01071-live-frames-003450-003599-trial-1,3450,3600,3480,3600
67#4,lSS01071,1,0,4,lSS01071-live-frames-003600-003749-trial-1,3600,3750,3630,3750
67#4,lSS01071,1,0,5,lSS01071-live-frames-003750-003899-trial-1,3750,3900,3780,3900
67#4,lSS01071,1,0,6,lSS01071-live-frames-003900-004049-trial-1,3900,4050,3930,4050
67#4,lSS01071,1,0,7,lSS01071-live-frames-004050-004199-trial-1,4050,4200,4080,4200
67#4,lSS01071,1,0,8,lSS01071-live-frames-004200-004349-trial-1,4200,4350,4230,4350
67#4,lSS01071,1,0,9,lSS01071-live-frames-004350-004499-trial-1,4350,4500,4380,4500
67#4,lSS01071,1,0,10,lSS01071-live-frames-004500-004649-trial-1,4500,4650,4530,4650
67#4,lSS01071,1,0,11,lSS01071-live-frames-004650-004799-trial-1,4650,4800,4680,4800
67#4,lSS01071,1,0,12,lSS01071-live-frames-004800-004949-trial-1,4800,4950,4830,4950
67#4,lSS01071,1,0,13,lSS01071-live-frames-004950-005099-trial-1,4950,5100,4980,5100
67#4,lSS01071,1,0,14,lSS01071-live-frames-005100-005249-trial-1,5100,5250,5130,5250
67#4,lSS01071,1,0,15,lSS01071-live-frames-005250-005399-trial-1,5250,5400,5280,5400
67#4,lSS01071,1,0,16,lSS01071-live-frames-005400-005549-trial-1,5400,5550,5430,5550
67#4,lSS01071,1,0,17,lSS01071-live-frames-005550-005699-trial-1,5550,5700,5580,5700
67#4,lSS01071,1,0,18,lSS01071-live-frames-005700-005849-trial-1,5700,5850,5730,5850
67#4,lSS01071,1,0,19,lSS01071-live-frames-005850-005999-trial-1,5850,6000,5880,6000
67#4,lSS01071,1,0,20,lSS01071-live-frames-006000-006149-trial-1,6000,6150,6030,6150
67#4,lSS01071,1,0,21,lSS01071-live-frames-006150-006299-trial-1,6150,6300,6180,6300
67#4,lSS01071,1,0,22,lSS01071-live-frames-006300-006449-trial-1,6300,6450,6330,6450
67#4,lSS01071,1,0,23,lSS01071-live-frames-006450-006599-trial-1,6450,6600,6480,6600
67#4,lSS01071,1,0,24,lSS01071-live-frames-006600-006749-trial-1,6600,6750,6630,6750
67#4,lSS01071,1,0,25,lSS01071-live-frames-006750-006899-trial-1,6750,6900,6780,6900
67#4,lSS01071,1,0,26,lSS01071-live-frames-006900-007049-trial-1,6900,7050,6930,7050
67#4,lSS01071,1,0,27,lSS01071-live-frames-007050-007199-trial-1,7050,7200,7080,7200
67#4,lSS01071,1,0,28,lSS01071-live-frames-007200-007349-trial-1,7200,7350,7230,7350
67#4,lSS01071,1,0,29,lSS01071-live-frames-007350-007499-trial-1,7350,7500,7380,7500
67#4,lSS01071,1,0,30,lSS01071-live-frames-007500-007649-trial-1,7500,7650,7530,7650
67#4,lSS01071,1,0,31,lSS01071-live-frames-007650-007799-trial-1,7650,7800,7680,7800
67#4,lSS01071,1,0,32,lSS01071-live-frames-007800-007949-trial-1,7800,7950,7830,7950
67#4,lSS01071,1,0,33,lSS01071-live-frames-007950-008099-trial-1,7950,8100,7980,8100
67#4,lSS01071,1,0,34,lSS01071-live-frames-008100-008249-trial-1,8100,8250,8130,8250
67#4,lSS01071,1,0,35,lSS01071-live-frames-008250-008399-trial-1,8250,8400,8280,8400
67#4,lSS01071,1,0,36,lSS01071-live-frames-008400-008549-trial-1,8400,8550,8430,8550
67#4,lSS01071,1,0,37,lSS01071-live-frames-008550-008699-trial-1,8550,8700,8580,8700
67#4,lSS01071,1,0,38,lSS01071-live-frames-008700-008849-trial-1,8700,8850,8730,8850
67#4,lSS01071,1,0,39,lSS01071-live-frames-008850-008999-trial-1,8850,9000,8880,9000
67#6,lSS01078,1,0,0,lSS01078-live-frames-003000-003149-trial-1,3000,3150,3030,3150
67#6,lSS01078,2,1,1,lSS01078-live-frames-003000-003149-trial-2,3000,3150,3030,3150
