cell_id,group,polarity,recording_ids,repeated_recording_id,repeat_count,duration_s,spike_timing_resolution_ms,usable_for_reliability,exclusion_reason,source,source_sha256,catalog_raw_kind_discrepancy,repeated_record_used_by_current_training_contract,reliability_computed
67#4,PC_OFF,OFF,lSS01071,,0,,0.1,False,NO_PUBLIC_RAW_6_REPEAT_RECORDING,data/real/schottdorf_lee_2021_repository/data/lSS01071.txt,b912e43cb384d511a364de6ac216225664fcc0f76b209fb83d938547496fff56,False,False,False
67#6,MC_OFF,OFF,lSS01078;lSS01079,lSS01078,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt;data/real/schottdorf_lee_2021_repository/data/lSS01079.txt,8ea079af74184c5b699a55452ab689947b37ca56accc3cd3110eceb36fe76fa5;b5c9c293f7c6a7457319c482b23a42b52560256c0e2a8e97304f506ac4b32a9a,False,True,False
67#7,MC_ON,ON,lSS01086;lSS01087,lSS01086,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt;data/real/schottdorf_lee_2021_repository/data/lSS01087.txt,6a0b1802d861a71b17188feb938b6860100fc84bb818109212a9abfa28d46139;b14ae8121e35329a00ffeb3964f433ad753e8bb092427b30c062bfe715b011b8,False,True,False
67#14,PC_ON,ON,lSS01110;lSS01112,lSS01110,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt;data/real/schottdorf_lee_2021_repository/data/lSS01112.txt,a26245459dd0af5422c3e2e4075d02b787943734aa80432246802b8efa07270a;2f235ecdb35fef636dee5644cb956f20f416db86482b5fc2e3ab607ab84f8e08,False,True,False
67#21,PC_ON,ON,lSS01130;lSS01131,lSS01130,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt;data/real/schottdorf_lee_2021_repository/data/lSS01131.txt,8aa1e7cd3e84de3728485173d7fd40fe23f4c1ef47a32b18e9028a2567a0e4cc;88d200c534da7179f47611feb976716a46eaa349f26a1f1200e377dcbed9e727,False,True,False
67#26,PC_ON,ON,lSS01141;lSS01142,lSS01141,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt;data/real/schottdorf_lee_2021_repository/data/lSS01142.txt,a72d545a2c71eac7f14d4fad5408629076566d1e3b94f43a1fc63763d473b914;4aebc3b4e76eff4b58f85b2227c33a2e0b7a2cc7435e739509bed197ebbfdc74,False,True,False
67#33,MC_OFF,OFF,lSS01159;lSS01160,lSS01159,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt;data/real/schottdorf_lee_2021_repository/data/lSS01160.txt,28b5a076d39ad1bba8a71f3d9d6f5732882229eb4b21fdf5e02f7f1a54e5aae6;74e5456b5d65c45d4c5c99f1d962c390b6f63c4a11ea83391cb744ee2f4350a5,False,True,False
67#34,PC_ON,ON,lSS01167;lSS01168,lSS01167,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt;data/real/schottdorf_lee_2021_repository/data/lSS01168.txt,f530368663d7869b757211daf26ac0b239bcc51fb85c0d69c775471d94cdb6bf;3124a9a8003a1eac28495a817d385e7aca74a8d0daed8a29a9b14bdd85e50add,False,True,False
68#3,MC_OFF,OFF,lSS01181;lSS01183,lSS01181,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt;data/real/schottdorf_lee_2021_repository/data/lSS01183.txt,5f63376c7b52f9e4aea3a60488ef81caeb6d0b8fc4361b0c7cf8969bdb6e3404;834cd5c12c8f734ffe6c073579a52f46f608dec04be96b93ef2cb378cc3222ab,False,True,False
68#4,PC_ON,ON,lSS01184,lSS01184,6,60,0.1,True,,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt,e6f873105275ba94c9bdb48447651e93d9ec77eb5f107bf3ef9a176946bc3710,True,True,False
