cell_id,group,model,prediction_contract,correlation,rmse,status,exclusion_reason
67#6,MC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#6,MC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#6,MC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#7,MC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#7,MC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#7,MC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#14,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#14,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#14,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#21,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#21,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#21,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#26,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#26,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#26,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#33,MC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#33,MC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#33,MC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#34,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#34,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#34,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#3,MC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#3,MC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#3,MC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#4,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#4,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#4,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#7,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#7,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#7,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#11,PC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#11,PC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#11,PC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#3,PC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#3,PC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#3,PC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#4,MC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#4,MC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#4,MC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#6,MC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#6,MC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#6,MC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#7,MC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#7,MC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#7,MC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#21,PC_OFF,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#21,PC_OFF,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#21,PC_OFF,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#1,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
