cell_id,group,retinal_reliability,canonical_correlation,ln_correlation,cnn_correlation,canonical_normalized_score,ln_normalized_score,cnn_normalized_score,canonical_ceiling_gap,ln_ceiling_gap,cnn_ceiling_gap,status,exclusion_reason
67#6,MC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#7,MC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#14,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#21,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#26,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#33,MC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#34,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#3,MC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#4,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#7,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#11,PC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#3,PC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#4,MC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#6,MC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#7,MC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#21,PC_OFF,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#1,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#7,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#15,PC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#34,MC_ON,,,,,,,,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
