cell_id,group,repeat_count,retinal_reliability,status,exclusion_reason
67#6,MC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#7,MC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#14,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#21,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#26,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#33,MC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
67#34,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#3,MC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#4,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#7,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
68#11,PC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#3,PC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#4,MC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#6,MC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#7,MC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
69#21,PC_OFF,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#1,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#7,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#15,PC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#34,MC_ON,6,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
