cell_id,recording_id,repeat,duration_s,live_spike_count,first_spike_ms,last_spike_ms,video_start_ticks_internal_control,duplicate_identical_payload_removed,raw_array_key,source
67#6,lSS01078,1,60,2374,24.200000000000003,59907.0,85050,False,67_6_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#6,lSS01078,2,60,2389,12.3,59892.9,85050,False,67_6_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#6,lSS01078,3,60,2344,178.10000000000002,59892.4,85050,False,67_6_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#6,lSS01078,4,60,2358,162.4,59900.9,85050,False,67_6_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#6,lSS01078,5,60,2401,20.400000000000002,59900.4,85050,False,67_6_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#6,lSS01078,6,60,2505,153.5,59895.200000000004,85050,False,67_6_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01078.txt
67#7,lSS01086,1,60,2806,114.9,59951.9,62553,False,67_7_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#7,lSS01086,2,60,2734,17.400000000000002,59954.0,62553,False,67_7_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#7,lSS01086,3,60,2730,23.700000000000003,59941.8,62553,False,67_7_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#7,lSS01086,4,60,2822,24.0,59972.9,62553,False,67_7_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#7,lSS01086,5,60,2805,31.400000000000002,59947.3,62553,False,67_7_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#7,lSS01086,6,60,2740,116.80000000000001,59955.700000000004,62553,False,67_7_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01086.txt
67#14,lSS01110,1,60,2320,35.1,59990.9,65531,False,67_14_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#14,lSS01110,2,60,2306,23.900000000000002,59991.600000000006,65531,False,67_14_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#14,lSS01110,3,60,2229,37.1,59983.700000000004,65531,False,67_14_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#14,lSS01110,4,60,2442,68.0,59992.5,65531,False,67_14_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#14,lSS01110,5,60,2419,55.800000000000004,59991.5,65531,False,67_14_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#14,lSS01110,6,60,2354,2.3000000000000003,59998.0,65531,False,67_14_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01110.txt
67#21,lSS01130,1,60,1057,47.0,59603.8,51622,False,67_21_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#21,lSS01130,2,60,1176,30.1,59954.0,51622,False,67_21_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#21,lSS01130,3,60,1000,120.0,59584.3,51622,False,67_21_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#21,lSS01130,4,60,1162,97.10000000000001,59551.0,51622,False,67_21_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#21,lSS01130,5,60,1091,35.1,59968.200000000004,51622,False,67_21_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#21,lSS01130,6,60,1092,141.9,59783.600000000006,51622,False,67_21_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01130.txt
67#26,lSS01141,1,60,2525,40.5,59868.700000000004,12570,False,67_26_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#26,lSS01141,2,60,2682,6.5,59987.600000000006,12570,False,67_26_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#26,lSS01141,3,60,2503,96.2,59975.8,12570,False,67_26_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#26,lSS01141,4,60,2590,17.900000000000002,59945.5,12570,False,67_26_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#26,lSS01141,5,60,2713,11.600000000000001,59940.8,12570,False,67_26_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#26,lSS01141,6,60,2657,6.6000000000000005,59866.600000000006,12570,False,67_26_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01141.txt
67#33,lSS01159,1,60,2303,27.700000000000003,59963.200000000004,47270,True,67_33_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#33,lSS01159,2,60,2243,67.5,59736.700000000004,47270,True,67_33_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#33,lSS01159,3,60,2205,64.2,59966.200000000004,47270,True,67_33_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#33,lSS01159,4,60,2072,204.8,59717.0,47270,True,67_33_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#33,lSS01159,5,60,2117,18.1,59961.100000000006,47270,True,67_33_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#33,lSS01159,6,60,2187,43.1,59942.0,47270,True,67_33_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01159.txt
67#34,lSS01167,1,60,1900,65.3,59981.600000000006,27383,False,67_34_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
67#34,lSS01167,2,60,1828,56.5,59981.3,27383,False,67_34_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
67#34,lSS01167,3,60,1840,20.1,59933.8,27383,False,67_34_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
67#34,lSS01167,4,60,1815,55.7,59987.8,27383,False,67_34_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
67#34,lSS01167,5,60,1851,1.7000000000000002,59983.700000000004,27383,False,67_34_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
67#34,lSS01167,6,60,1786,45.7,59933.3,27383,False,67_34_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01167.txt
68#3,lSS01181,1,60,3792,186.8,59949.4,82885,False,68_3_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#3,lSS01181,2,60,3575,6.0,59946.3,82885,False,68_3_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#3,lSS01181,3,60,3480,179.20000000000002,59974.8,82885,False,68_3_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#3,lSS01181,4,60,3361,5.7,59965.5,82885,False,68_3_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#3,lSS01181,5,60,3389,235.60000000000002,59942.4,82885,False,68_3_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#3,lSS01181,6,60,3379,13.8,59952.4,82885,False,68_3_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01181.txt
68#4,lSS01184,1,60,1874,47.300000000000004,59980.0,49655,False,68_4_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#4,lSS01184,2,60,1576,236.70000000000002,59990.9,49655,False,68_4_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#4,lSS01184,3,60,1628,8.6,59979.0,49655,False,68_4_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#4,lSS01184,4,60,1762,21.1,59991.4,49655,False,68_4_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#4,lSS01184,5,60,1851,215.3,59974.100000000006,49655,False,68_4_repeat_5_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#4,lSS01184,6,60,1825,80.30000000000001,59950.3,49655,False,68_4_repeat_6_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01184.txt
68#7,lSS01194,1,60,2097,71.9,59929.3,54194,False,68_7_repeat_1_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
68#7,lSS01194,2,60,2038,11.5,59862.9,54194,False,68_7_repeat_2_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
68#7,lSS01194,3,60,1968,29.1,59963.4,54194,False,68_7_repeat_3_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
68#7,lSS01194,4,60,1878,9.9,59895.9,54194,False,68_7_repeat_4_time_ms,data/real/schottdorf_lee_2021_repository/data/lSS01194.txt
