cell_id,recording_suffix,notebook,code_cell_zero_based,xoff_native,yoff_native,x_offset_pooled_pixels,y_offset_pooled_pixels_image_down,distance_to_ln_final_pixels,evidence_type
68#3,181,data/real/schottdorf_lee_2021_repository/run_model/MC_off.ipynb,3,-10.0,-3.4,-3.1536458333333335,-0.9622395833333334,0.50295862910593,"official model parameter, not physiological RF ground truth"
67#6,78,data/real/schottdorf_lee_2021_repository/run_model/MC_off.ipynb,8,-8.4,2.5,-2.6223958333333335,0.9967447916666666,0.33848744618039406,"official model parameter, not physiological RF ground truth"
69#6,256,data/real/schottdorf_lee_2021_repository/run_model/MC_off.ipynb,13,1.1,4.1,0.5319010416666666,1.5279947916666667,0.28482735760190053,"official model parameter, not physiological RF ground truth"
69#4,254,data/real/schottdorf_lee_2021_repository/run_model/MC_on.ipynb,3,3.5,-2.0,1.3287760416666667,-0.4973958333333333,0.3515561689089409,"official model parameter, not physiological RF ground truth"
70#34,299,data/real/schottdorf_lee_2021_repository/run_model/MC_on.ipynb,8,-2.5,-5.5,-0.6634114583333334,-1.6595052083333333,0.3722777263924128,"official model parameter, not physiological RF ground truth"
69#7,258,data/real/schottdorf_lee_2021_repository/run_model/MC_on.ipynb,13,3.4,1.0,1.2955729166666667,0.4986979166666667,0.2060199895269015,"official model parameter, not physiological RF ground truth"
70#7,284,data/real/schottdorf_lee_2021_repository/run_model/PC_Gon.ipynb,3,0.0,-1.0,0.16666666666666666,-0.16536458333333334,0.16340831269967576,"official model parameter, not physiological RF ground truth"
67#21,130,data/real/schottdorf_lee_2021_repository/run_model/PC_Gon.ipynb,8,2.9,-2.2,1.1295572916666667,-0.5638020833333334,0.21081852452590938,"official model parameter, not physiological RF ground truth"
70#15,287,data/real/schottdorf_lee_2021_repository/run_model/PC_Gon.ipynb,13,-5.7,2.9,-1.7259114583333333,1.1295572916666667,0.7090413132716192,"official model parameter, not physiological RF ground truth"
67#34,167,data/real/schottdorf_lee_2021_repository/run_model/PC_Ron.ipynb,3,-1.6,6.0,-0.3645833333333333,2.1588541666666665,0.5773954449833586,"official model parameter, not physiological RF ground truth"
68#7,194,data/real/schottdorf_lee_2021_repository/run_model/PC_Ron.ipynb,8,-6.8,-6.5,-2.0911458333333335,-1.9915364583333333,0.4647085382419896,"official model parameter, not physiological RF ground truth"
67#14,110,data/real/schottdorf_lee_2021_repository/run_model/PC_Ron.ipynb,13,2.9,-1.8,1.1295572916666667,-0.4309895833333333,0.07661894157805106,"official model parameter, not physiological RF ground truth"
68#11,225,data/real/schottdorf_lee_2021_repository/run_model/PC_off.ipynb,2,-1,1,-0.16536458333333334,0.4986979166666667,1.598779546861583,"official model parameter, not physiological RF ground truth"
