source_artifact,tracked,official_url,bytes,sha256,payload_path,payload_sha256,kind,access_status,searched_fields,matching_line_count,note
data\real\schottdorf_lee_2021_repository\data\Cell List.docx,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/Cell List.docx,94011,515dd0c69fe51818fea77040bd1cdb798725d2883157255ad331fcb44c2f9c5f,data\real\schottdorf_lee_2021_repository\data\Cell List.docx,515dd0c69fe51818fea77040bd1cdb798725d2883157255ad331fcb44c2f9c5f,.docx,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete document text; cell/recording catalog and acquisition notes.
data\real\schottdorf_lee_2021_repository\data\CellsList.docx,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/CellsList.docx,141510,dc2ef780a2a31a1b4e01ff63072c2f524389d2604ad03503860d931e6966ec67,data\real\schottdorf_lee_2021_repository\data\CellsList.docx,dc2ef780a2a31a1b4e01ff63072c2f524389d2604ad03503860d931e6966ec67,.docx,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,1,Complete document text; cell/recording catalog and acquisition notes.
data\real\schottdorf_lee_2021_repository\data\lSS01071.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01071.txt,307455,b912e43cb384d511a364de6ac216225664fcc0f76b209fb83d938547496fff56,data\real\schottdorf_lee_2021_repository\data\lSS01071.txt,b912e43cb384d511a364de6ac216225664fcc0f76b209fb83d938547496fff56,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01078.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01078.txt,126667,8ea079af74184c5b699a55452ab689947b37ca56accc3cd3110eceb36fe76fa5,data\real\schottdorf_lee_2021_repository\data\lSS01078.txt,8ea079af74184c5b699a55452ab689947b37ca56accc3cd3110eceb36fe76fa5,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01079.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01079.txt,338296,b5c9c293f7c6a7457319c482b23a42b52560256c0e2a8e97304f506ac4b32a9a,data\real\schottdorf_lee_2021_repository\data\lSS01079.txt,b5c9c293f7c6a7457319c482b23a42b52560256c0e2a8e97304f506ac4b32a9a,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01086.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01086.txt,147844,6a0b1802d861a71b17188feb938b6860100fc84bb818109212a9abfa28d46139,data\real\schottdorf_lee_2021_repository\data\lSS01086.txt,6a0b1802d861a71b17188feb938b6860100fc84bb818109212a9abfa28d46139,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01087.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01087.txt,381513,b14ae8121e35329a00ffeb3964f433ad753e8bb092427b30c062bfe715b011b8,data\real\schottdorf_lee_2021_repository\data\lSS01087.txt,b14ae8121e35329a00ffeb3964f433ad753e8bb092427b30c062bfe715b011b8,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01110.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01110.txt,128357,a26245459dd0af5422c3e2e4075d02b787943734aa80432246802b8efa07270a,data\real\schottdorf_lee_2021_repository\data\lSS01110.txt,a26245459dd0af5422c3e2e4075d02b787943734aa80432246802b8efa07270a,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01112.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01112.txt,341264,2f235ecdb35fef636dee5644cb956f20f416db86482b5fc2e3ab607ab84f8e08,data\real\schottdorf_lee_2021_repository\data\lSS01112.txt,2f235ecdb35fef636dee5644cb956f20f416db86482b5fc2e3ab607ab84f8e08,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01130.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01130.txt,61451,8aa1e7cd3e84de3728485173d7fd40fe23f4c1ef47a32b18e9028a2567a0e4cc,data\real\schottdorf_lee_2021_repository\data\lSS01130.txt,8aa1e7cd3e84de3728485173d7fd40fe23f4c1ef47a32b18e9028a2567a0e4cc,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01131.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01131.txt,140808,88d200c534da7179f47611feb976716a46eaa349f26a1f1200e377dcbed9e727,data\real\schottdorf_lee_2021_repository\data\lSS01131.txt,88d200c534da7179f47611feb976716a46eaa349f26a1f1200e377dcbed9e727,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
