group,probe,mode,channel,n_cells,peak_response,peak_absolute_response,peak_latency_ms_from_trial_start,peak_latency_ms_from_onset,response_integral_seconds,peak_change_vs_center_only,integral_change_vs_center_only,center_onset_50ms,center_offset_50ms,surround_first_onset_50ms,surround_first_offset_50ms,off_minus_normal_mean_abs_active,off_minus_normal_peak_signed,off_minus_normal_peak_absolute,off_minus_normal_integral_seconds
PC_OFF,slow_step,normal,logit,4,0.5725977122783661,0.5725977122783661,1513.3333333333335,1213.3333333333335,0.7836220562458038,0.1494777649641037,-0.0005891323089599609,0.11927836574614048,0.4053741618990898,0.11927836574614048,0.2596980482339859,0.0,0.0,0.0,0.0
all,slow_step,normal,logit,22,0.42373762889341876,0.4466418082063848,1511.2121212121215,1211.2121212121212,0.49075506678359077,0.1253875412724235,-0.0006936168806119399,0.08667013895782558,0.3017677454785867,0.08667013895782558,0.10281143980947408,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,logit,4,0.572597861289978,0.572597861289978,1013.3333333333334,713.3333333333334,0.7836921811103821,0.14947791397571564,-0.0005190074443817139,0.11927836574614048,0.40538572520017624,0.11927836574614048,0.2596999406814575,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,logit,22,0.42372784289446747,0.44663202220743353,1034.848484848485,734.8484848484849,0.49083099057051266,0.12537775527347217,-0.0006176930936900052,0.08667013895782558,0.30176979167894885,0.08667013895782558,0.10282402790405533,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,logit,4,0.5725998431444168,0.5725998431444168,760.0,460.00000000000006,0.7838312387466431,0.14947989583015442,-0.00037994980812072754,0.11927836574614048,0.40562207251787186,0.11927836574614048,0.2564108446240425,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,logit,22,0.4234641275622628,0.4463683068752289,867.878787878788,567.8787878787879,0.4909812501547011,0.12511403994126755,-0.00046743350950154394,0.08667013895782558,0.3017419075424021,0.08667013895782558,0.0989137621013056,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,logit,4,0.4616151228547096,0.4616151228547096,423.33333333333337,123.33333333333334,0.7842141687870026,0.038495175540447235,2.9802322387695312e-06,0.11927836574614048,0.30968332663178444,0.11927836574614048,0.3143264316022396,0.0,0.0,0.0,0.0
all,rapid_10Hz,normal,logit,22,0.3263768350536173,0.3492810143665834,419.3939393939394,119.3939393939394,0.49143854985860264,0.028026747432622044,-1.0133805600079624e-05,0.08667013895782558,0.2109539590098641,0.08667013895782558,0.16196166080507365,0.0,0.0,0.0,0.0
PC_OFF,rapid_20Hz,normal,logit,4,0.4201010689139366,0.4201010689139366,398.33333333333337,98.33333333333334,0.7842172980308533,-0.003018878400325775,6.109476089477539e-06,0.12330294214189053,0.2687932699918747,0.12330294214189053,0.2967195101082325,0.0,0.0,0.0,0.0
all,rapid_20Hz,normal,logit,22,0.2665804069150578,0.284609392285347,482.1212121212122,182.12121212121212,0.4914527791128917,-0.03176968070593747,4.095448689027266e-06,0.09069824557412755,0.15468565476211635,0.09069824557412755,0.20053651759570296,0.0,0.0,0.0,0.0
PC_OFF,transient_50ms,normal,logit,4,0.5097578540444374,0.5097578540444374,1373.3333333333335,1073.3333333333335,0.7841897755861282,0.08663790673017502,-2.1412968635559082e-05,0.11927836574614048,0.24908746033906937,0.11927836574614048,0.2918112874031067,0.0,0.0,0.0,0.0
all,transient_50ms,normal,logit,22,0.3683421950448643,0.3912463743578304,1327.2727272727275,1027.2727272727275,0.49143059619448404,0.06999210742386905,-1.8087469718673013e-05,0.08667013895782558,0.1317495656284419,0.08667013895782558,0.13659732026809995,0.0,0.0,0.0,0.0
PC_OFF,large_field_50ms,normal,logit,4,0.2787742540240288,0.2787742540240288,351.6666666666667,51.666666666666686,-2.4835269257783565e-10,-0.10058879852294922,8.940696863413145e-10,0.11772353947162628,0.14903468266129494,0.11772353947162628,0.14903468266129494,0.0,0.0,0.0,0.0
all,large_field_50ms,normal,logit,22,0.0628644349900159,0.2090144929560748,443.33333333333337,143.33333333333334,1.354651050424558e-10,-0.145135375586423,7.224805539183456e-10,0.08595015819777142,0.018191872164607048,0.08595015819777142,0.018191872164607048,0.0,0.0,0.0,0.0
PC_OFF,slow_step,normal,probability,4,0.11715356260538101,0.11715356260538101,1513.3333333333335,1213.3333333333335,0.1541496366262436,0.03403828665614128,0.0018108487129211426,0.021828320808708668,0.08153890445828438,0.021828320808708668,0.047790829092264175,0.0,0.0,0.0,0.0
all,slow_step,normal,probability,22,0.0764070109210231,0.07928617264736783,1511.2121212121215,1211.2121212121212,0.08690657911144874,0.02528877759521658,0.0031190572137182408,0.014484284064647827,0.05263379825787111,0.014484284064647827,0.01745589936829426,0.0,0.0,0.0,0.0
PC_OFF,slow_1Hz,normal,probability,4,0.11715361475944519,0.11715361475944519,1013.3333333333334,713.3333333333334,0.1540295109152794,0.03403833881020546,0.0016907230019569397,0.021828320808708668,0.08154147490859032,0.021828320808708668,0.04779114667326212,0.0,0.0,0.0,0.0
all,slow_1Hz,normal,probability,22,0.07640537043864076,0.07928453216498549,1034.848484848485,734.8484848484849,0.08672248335047202,0.025287137112834236,0.0029349614527415147,0.014484284064647827,0.05263448752124201,0.014484284064647827,0.017457618547434158,0.0,0.0,0.0,0.0
PC_OFF,slow_2Hz,normal,probability,4,0.11715394258499146,0.11715394258499146,760.0,460.00000000000006,0.15378443337976933,0.034038666635751724,0.0014456454664468765,0.021828320808708668,0.0815939549356699,0.021828320808708668,0.04706571716815233,0.0,0.0,0.0,0.0
all,slow_2Hz,normal,probability,22,0.07636133852330121,0.07924050024964592,867.878787878788,567.8787878787879,0.08634967780248685,0.02524310519749468,0.002562155904756351,0.014484284064647827,0.05263779024508866,0.014484284064647827,0.01675276413086315,0.0,0.0,0.0,0.0
PC_OFF,rapid_10Hz,normal,probability,4,0.09180940687656403,0.09180940687656403,423.33333333333337,123.33333333333334,0.15239608101546764,0.008694130927324295,5.729310214519501e-05,0.021828320808708668,0.060527440160512924,0.021828320808708668,0.059258791618049145,0.0,0.0,0.0,0.0
all,rapid_10Hz,normal,probability,22,0.057628132064234124,0.06050729379057884,419.3939393939394,119.3939393939394,0.08410953821360388,0.006509898738427596,0.00032201631587337363,0.014484284064647827,0.03598155855963176,0.014484284064647827,0.027174498843537134,0.0,0.0,0.0,0.0
PC_OFF,rapid_20Hz,normal,probability,4,0.08250226825475693,0.08250226825475693,398.33333333333337,98.33333333333334,0.15230439603328705,-0.0006130076944828033,-3.439188003540039e-05,0.02270272234454751,0.05171419773250818,0.02270272234454751,0.056326817721128464,0.0,0.0,0.0,0.0
all,rapid_20Hz,normal,probability,22,0.04853602905165066,0.04853602905165066,573.0303030303031,273.03030303030306,0.08376991060901094,-0.0025822042741558767,-1.7611288719556548e-05,0.015170196579261259,0.026109878862784666,0.015170196579261259,0.03386728164993904,0.0,0.0,0.0,0.0
PC_OFF,transient_50ms,normal,probability,4,0.10271069034934044,0.10271069034934044,1373.3333333333335,1073.3333333333335,0.15239121206104755,0.019595414400100708,5.2424147725105286e-05,0.021828320808708668,0.047613889910280704,0.021828320808708668,0.05430888244882226,0.0,0.0,0.0,0.0
all,transient_50ms,normal,probability,22,0.06564595888961446,0.06852512061595917,1327.2727272727275,1027.2727272727275,0.08386567067778246,0.01452772556380792,7.814878005195747e-05,0.014484284064647827,0.022379156202077866,0.014484284064647827,0.022803267210044643,0.0,0.0,0.0,0.0
PC_OFF,large_field_50ms,normal,probability,4,0.05147232860326767,0.05147232860326767,351.6666666666667,51.666666666666686,0.00033308764977846295,-0.02198627218604088,-0.00021141730030649342,0.021469244733452797,0.026511923409998417,0.021469244733452797,0.026511923409998417,0.0,0.0,0.0,0.0
all,large_field_50ms,normal,probability,22,0.034609499302777375,0.034609499302777375,579.6969696969697,279.69696969696975,0.00020281315176940882,-0.013671125877987255,-0.00011267431438516888,0.014322277624160051,0.003583061508834362,0.014322277624160051,0.003583061508834362,0.0,0.0,0.0,0.0
PC_OFF,slow_step,H1_off,logit,4,0.5709665715694427,0.5709665715694427,1516.6666666666667,1216.6666666666667,0.7863650918006897,0.14565320312976837,-0.0005652159452438354,0.12113266997039318,0.4045015573501587,0.12113266997039318,0.2614530511200428,0.0031468899978790432,0.007319122552871704,0.007319122552871704,0.002743018325418234
all,slow_step,H1_off,logit,22,0.42219785397702997,0.4471930942752145,1560.909090909091,1260.909090909091,0.49426184577698057,0.12111863222989169,-0.0006739448078654029,0.08752546256238763,0.30175562270663003,0.08752546256238763,0.10546988079493697,0.0036374937891113486,0.005934008143164895,0.013045319102027199,0.0035067723180294374
PC_OFF,slow_1Hz,H1_off,logit,4,0.5709667205810547,0.5709667205810547,1016.6666666666667,716.6666666666667,0.7864333689212799,0.1456533521413803,-0.0004969388246536255,0.12113266997039318,0.40451308339834213,0.12113266997039318,0.2614549584686756,0.0033694743760861456,0.008557699620723724,0.008557699620723724,0.0027412252529757097
all,slow_1Hz,H1_off,logit,22,0.4221858896992423,0.4471811299974268,1107.2727272727273,807.2727272727273,0.4943378723480485,0.12110666795210405,-0.0005979182367975062,0.08752546256238763,0.3017544827677987,0.08752546256238763,0.10548467392271216,0.004150566674070433,0.01009100540117784,0.014116800644180992,0.0035068894741760396
PC_OFF,slow_2Hz,H1_off,logit,4,0.5709687918424606,0.5709687918424606,765.0,465.00000000000006,0.7865688502788544,0.14565542340278625,-0.0003614574670791626,0.12113266997039318,0.40474623441696167,0.12113266997039318,0.25837208703160286,0.003808374865911901,0.008557751774787903,0.008557751774787903,0.0027376314683351666
