cell_id,group,probe,mode,channel,event_index,onset_ms,duration_ms,sign,onset_response_50ms,offset_response_50ms
67#4,PC_OFF,slow_step,normal,logit,0,300.0,1000.0,1.0,0.11550827324390411,0.279296875
67#4,PC_OFF,slow_step,normal,logit,1,1300.0,1000.0,-1.0,0.279296875,0.46929407119750977
67#4,PC_OFF,slow_1Hz,normal,logit,0,300.0,500.0,1.0,0.11550827324390411,0.2792997658252716
67#4,PC_OFF,slow_1Hz,normal,logit,1,800.0,500.0,-1.0,0.2792997658252716,0.5840611457824707
67#4,PC_OFF,slow_1Hz,normal,logit,2,1300.0,500.0,1.0,0.5840611457824707,0.2792834937572479
67#4,PC_OFF,slow_1Hz,normal,logit,3,1800.0,500.0,-1.0,0.2792834937572479,0.4693073630332947
67#4,PC_OFF,slow_2Hz,normal,logit,0,300.0,250.0,1.0,0.11550827324390411,0.27585849165916443
67#4,PC_OFF,slow_2Hz,normal,logit,1,550.0,250.0,-1.0,0.27585849165916443,0.5843497514724731
67#4,PC_OFF,slow_2Hz,normal,logit,2,800.0,250.0,1.0,0.5843497514724731,0.2754940390586853
67#4,PC_OFF,slow_2Hz,normal,logit,3,1050.0,250.0,-1.0,0.2754940390586853,0.584334135055542
67#4,PC_OFF,slow_2Hz,normal,logit,4,1300.0,250.0,1.0,0.584334135055542,0.2754933536052704
67#4,PC_OFF,slow_2Hz,normal,logit,5,1550.0,250.0,-1.0,0.2754933536052704,0.5843340158462524
67#4,PC_OFF,slow_2Hz,normal,logit,6,1800.0,250.0,1.0,0.5843340158462524,0.2754933536052704
67#4,PC_OFF,slow_2Hz,normal,logit,7,2050.0,250.0,-1.0,0.2754933536052704,0.4695778787136078
67#4,PC_OFF,rapid_10Hz,normal,logit,0,300.0,50.0,1.0,0.11550827324390411,0.30438032746315
67#4,PC_OFF,rapid_10Hz,normal,logit,1,350.0,50.0,-1.0,0.30438032746315,0.4732908308506012
