group,probe,center_cones,annulus_cones,large_field_cones,sampled_temporal_mean_contrast,sampled_min_contrast,sampled_max_contrast,sampled_rms_contrast_full_trial,continuous_rms_contrast_full_trial
PC_OFF,slow_step,5,16,289,2.0132044179869504e-16,-0.25,0.25,0.2041241452319306,0.2041241452319315
PC_OFF,slow_1Hz,5,16,289,4.354541418807558e-16,-0.25,0.25,0.20412414523193056,0.2041241452319315
PC_OFF,slow_2Hz,5,16,289,4.657385588302532e-16,-0.25,0.25,0.2027587510099397,0.2041241452319315
PC_OFF,rapid_10Hz,5,16,289,8.092292268378919e-17,-0.25,0.25,0.1972026594366526,0.2041241452319315
PC_OFF,rapid_20Hz,5,16,289,2.577567788838072e-16,-0.25,0.25,0.1863389981249815,0.2041241452319315
PC_OFF,transient_50ms,5,16,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
PC_OFF,large_field_50ms,5,16,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
MC_OFF,slow_step,9,12,289,2.0132044179869504e-16,-0.25,0.25,0.2041241452319306,0.2041241452319315
MC_OFF,slow_1Hz,9,12,289,4.354541418807558e-16,-0.25,0.25,0.20412414523193056,0.2041241452319315
MC_OFF,slow_2Hz,9,12,289,4.657385588302532e-16,-0.25,0.25,0.2027587510099397,0.2041241452319315
MC_OFF,rapid_10Hz,9,12,289,8.092292268378919e-17,-0.25,0.25,0.1972026594366526,0.2041241452319315
MC_OFF,rapid_20Hz,9,12,289,2.577567788838072e-16,-0.25,0.25,0.1863389981249815,0.2041241452319315
MC_OFF,transient_50ms,9,12,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
MC_OFF,large_field_50ms,9,12,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
MC_ON,slow_step,9,12,289,2.0132044179869504e-16,-0.25,0.25,0.2041241452319306,0.2041241452319315
MC_ON,slow_1Hz,9,12,289,4.354541418807558e-16,-0.25,0.25,0.20412414523193056,0.2041241452319315
MC_ON,slow_2Hz,9,12,289,4.657385588302532e-16,-0.25,0.25,0.2027587510099397,0.2041241452319315
MC_ON,rapid_10Hz,9,12,289,8.092292268378919e-17,-0.25,0.25,0.1972026594366526,0.2041241452319315
MC_ON,rapid_20Hz,9,12,289,2.577567788838072e-16,-0.25,0.25,0.1863389981249815,0.2041241452319315
MC_ON,transient_50ms,9,12,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
MC_ON,large_field_50ms,9,12,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
PC_ON,slow_step,5,16,289,2.0132044179869504e-16,-0.25,0.25,0.2041241452319306,0.2041241452319315
PC_ON,slow_1Hz,5,16,289,4.354541418807558e-16,-0.25,0.25,0.20412414523193056,0.2041241452319315
PC_ON,slow_2Hz,5,16,289,4.657385588302532e-16,-0.25,0.25,0.2027587510099397,0.2041241452319315
PC_ON,rapid_10Hz,5,16,289,8.092292268378919e-17,-0.25,0.25,0.1972026594366526,0.2041241452319315
PC_ON,rapid_20Hz,5,16,289,2.577567788838072e-16,-0.25,0.25,0.1863389981249815,0.2041241452319315
PC_ON,transient_50ms,5,16,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
PC_ON,large_field_50ms,5,16,289,-9.436895709313831e-18,-0.25,0.25,0.044876373392787515,0.04564354645876384
