cell_id,group,path,pathway_index,spatial_mode_index,new_weight,old_weight,delta
67#4,PC_OFF,BC,0,0,0.1563355028629303,0.08435434103012085,0.07198116183280945
67#4,PC_OFF,BC,0,1,0.17368276417255402,0.10317648947238922,0.0705062747001648
67#4,PC_OFF,BC,1,0,0.31568092107772827,0.2876432240009308,0.028037697076797485
67#4,PC_OFF,BC,1,1,0.354300856590271,0.524825930595398,-0.17052507400512695
67#4,PC_OFF,AC,0,0,0.8136844635009766,0.9011587500572205,-0.0874742865562439
67#4,PC_OFF,AC,0,1,0.18631556630134583,0.09884122759103775,0.08747433871030807
67#4,PC_OFF,AC,1,0,0.8553931713104248,0.7986097931861877,0.05678337812423706
67#4,PC_OFF,AC,1,1,0.14460685849189758,0.20139026641845703,-0.05678340792655945
67#6,MC_OFF,BC,0,0,0.0744408518075943,0.05957230553030968,0.014868546277284622
67#6,MC_OFF,BC,0,1,0.08311643451452255,0.06675247102975845,0.0163639634847641
67#6,MC_OFF,BC,1,0,0.32811591029167175,0.34110984206199646,-0.012993931770324707
67#6,MC_OFF,BC,1,1,0.514326810836792,0.5325652956962585,-0.018238484859466553
67#6,MC_OFF,AC,0,0,0.6486706137657166,0.5120843648910522,0.1365862488746643
67#6,MC_OFF,AC,0,1,0.3513294458389282,0.4879155158996582,-0.13658607006072998
67#6,MC_OFF,AC,1,0,0.9404987096786499,0.5976061820983887,0.34289252758026123
67#6,MC_OFF,AC,1,1,0.05950135737657547,0.4023938477039337,-0.34289249032735825
67#7,MC_ON,BC,0,0,0.046248190104961395,0.01767219603061676,0.028575994074344635
67#7,MC_ON,BC,0,1,0.04921964555978775,0.01853196695446968,0.03068767860531807
67#7,MC_ON,BC,1,0,0.41597220301628113,0.393192857503891,0.022779345512390137
67#7,MC_ON,BC,1,1,0.4885599911212921,0.57060307264328,-0.08204308152198792
67#7,MC_ON,AC,0,0,0.6542935371398926,0.5320118069648743,0.12228173017501831
67#7,MC_ON,AC,0,1,0.3457064926624298,0.46798819303512573,-0.12228170037269592
67#7,MC_ON,AC,1,0,0.8999512195587158,0.6201283931732178,0.27982282638549805
67#7,MC_ON,AC,1,1,0.10004865378141403,0.3798716366291046,-0.2798229828476906
67#14,PC_ON,BC,0,0,0.048664018511772156,0.029797198250889778,0.018866820260882378
67#14,PC_ON,BC,0,1,0.04738481342792511,0.03288883715867996,0.014495976269245148
67#14,PC_ON,BC,1,0,0.09698441624641418,0.137295663356781,-0.04031124711036682
67#14,PC_ON,BC,1,1,0.8069667816162109,0.800018310546875,0.0069484710693359375
67#14,PC_ON,AC,0,0,0.9780629277229309,0.942672848701477,0.03539007902145386
67#14,PC_ON,AC,0,1,0.021937048062682152,0.05732718110084534,-0.035390133038163185
67#14,PC_ON,AC,1,0,0.9826149344444275,0.9296861886978149,0.05292874574661255
67#14,PC_ON,AC,1,1,0.017385054379701614,0.07031384855508804,-0.05292879417538643
67#21,PC_ON,BC,0,0,0.07262769341468811,0.07059729099273682,0.002030402421951294
