group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-12,overlapping_minus_exclusive_pair,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-12,overlapping_minus_exclusive_pair,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-12,overlapping_minus_exclusive_pair,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-12,overlapping_minus_exclusive_pair,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-11,overlapping_minus_exclusive_pair,4,1.4901160305669237e-08,5.960464477539063e-08,2.086162567138672e-07,103.33332061767578,7.54992167154948e-09,6.51925802230835e-09,5.21540641784668e-08,2,2,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-11,overlapping_minus_exclusive_pair,22,-3.901394944479235e-08,-4.118139093572443e-07,9.807673367587002e-07,133.63635531338778,-4.2915344238281255e-08,9.313225746154785e-09,-3.3527612686157227e-07,10,11,1
PC_OFF,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-11,overlapping_minus_exclusive_pair,4,3.4769376822119114e-09,7.450580596923828e-09,6.705522537231445e-08,96.66665649414062,1.4652808507283528e-09,9.313225746154785e-10,1.0244548320770264e-08,2,1,1
all,normal,probability,Mach_bands,ramp_minus_matched_uniform_x-11,overlapping_minus_exclusive_pair,22,-5.4863365567763885e-09,-7.924708453091708e-08,1.7407265576449307e-07,129.0908993807706,-6.795832605072946e-09,1.3546510176225142e-09,-5.799599669196389e-08,9,9,4
PC_OFF,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-10,overlapping_minus_exclusive_pair,4,2.374251641956704e-07,6.556510925292969e-07,1.341104507446289e-06,141.66666412353516,8.761882781982422e-08,8.475035429000854e-08,6.034970283508301e-07,2,2,0
all,normal,logit,Mach_bands,ramp_minus_matched_uniform_x-10,overlapping_minus_exclusive_pair,22,-2.6460851186950085e-07,-3.80386005748402e-06,8.035789836536754e-06,145.75756697221235,-3.809639901825876e-07,9.702687913721258e-08,-3.039498220790516e-06,8,14,0
