group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,4,0.18607699871063232,0.28498953580856323,0.28498953580856323,63.33332824707031,0.020929222106933598,0.11772337183356285,0.10754825733602047,4,0,0
all,normal,logit,Mach,Mach_x-12,response_minus_blank,22,0.016181258273056963,0.08245009183883667,0.21575650843706998,72.42423456365412,0.005082474856665641,0.0014281513338739221,0.04494540325619958,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-12,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,4,0.18607686646282673,0.28498944640159607,0.28498944640159607,63.33332824707031,0.020929181377092997,0.11772333830595016,0.1075479257851839,4,0,0
all,normal,logit,Mach,Mach_x-11,response_minus_blank,22,0.016181351024318825,0.0824505713852969,0.21575716137886047,72.42423456365412,0.005082522395885352,0.0014281642030585897,0.04494577680121769,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-11,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,4,0.18607614934444427,0.2849889546632767,0.2849889546632767,63.33332824707031,0.020928864081700645,0.11772321723401546,0.10754524916410446,4,0,0
all,normal,logit,Mach,Mach_x-10,response_minus_blank,22,0.016182168386876583,0.08245436440814626,0.2157622982155193,72.42423456365412,0.005082940278631268,0.0014283027161251414,0.044948896901174026,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-10,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-10,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
