cell_id,group,mode,channel,family,name,kind,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,control,x_pixels
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,0.18235638737678528,0.27238452434539795,0.27238452434539795,100.0,0.023046156565348308,0.11532095819711685,0.13533885776996613,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,0.1823563575744629,0.27238428592681885,0.27238428592681885,100.0,0.023046107292175294,0.11532095074653625,0.13533852994441986,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,response_minus_blank,0.18235652148723602,0.2723841071128845,0.2723841071128845,100.0,0.023046003977457683,0.11532110720872879,0.13533788919448853,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,response_minus_blank,0.1823587417602539,0.27238738536834717,0.27238738536834717,100.0,0.02304608980814616,0.11532219499349594,0.13533931970596313,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,response_minus_blank,0.18236854672431946,0.272405207157135,0.272405207157135,100.0,0.023047375679016113,0.11532630771398544,0.1353519856929779,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-06,response_minus_blank,0.1823967546224594,0.27246057987213135,0.27246057987213135,100.0,0.0230521027247111,0.11533749848604202,0.1353955864906311,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-05,response_minus_blank,0.18470890820026398,0.27791404724121094,0.27791404724121094,100.0,0.023662211100260417,0.11606911569833755,0.14050906896591187,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-04,response_minus_blank,0.1810707002878189,0.2766237258911133,0.2766237258911133,100.0,0.02385968367258708,0.11224120855331421,0.14484064280986786,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-03,response_minus_blank,0.13917027413845062,0.20993798971176147,0.20993798971176147,100.0,0.017908668518066405,0.08725474029779434,0.10673482716083527,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-02,response_minus_blank,0.09128373116254807,0.13642150163650513,0.13642150163650513,100.0,0.011539206504821778,0.057697780430316925,0.06780194491147995,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-01,response_minus_blank,0.045649945735931396,0.06823194026947021,0.06823194026947021,100.0,0.00577050526936849,0.028851017355918884,0.03390540927648544,,
67#4,PC_OFF,normal,logit,Mach,Mach_x-01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+00,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+00,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+01,response_minus_blank,-0.04564996436238289,-0.06823194026947021,0.06823194026947021,100.0,-0.0057705084482828775,-0.028851032257080078,-0.033905431628227234,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+02,response_minus_blank,-0.09128372371196747,-0.13642144203186035,0.13642144203186035,100.0,-0.011539204915364584,-0.05769777297973633,-0.06780193746089935,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+03,response_minus_blank,-0.139170303940773,-0.2099379301071167,0.2099379301071167,100.0,-0.017908670107523603,-0.08725474774837494,-0.10673482716083527,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+04,response_minus_blank,-0.18107067048549652,-0.2766237258911133,0.2766237258911133,100.0,-0.02385968367258708,-0.11224120855331421,-0.14484061300754547,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+05,response_minus_blank,-0.18470890820026398,-0.27791404724121094,0.27791404724121094,100.0,-0.023662207921346032,-0.11606913805007935,-0.14050905406475067,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+06,response_minus_blank,-0.1823967546224594,-0.27246057987213135,0.27246057987213135,100.0,-0.023052105903625487,-0.11533749103546143,-0.1353956162929535,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+07,response_minus_blank,-0.18236854672431946,-0.2724052667617798,0.2724052667617798,100.0,-0.023047375679016113,-0.11532630026340485,-0.1353520154953003,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+08,response_minus_blank,-0.1823587417602539,-0.2723872661590576,0.2723872661590576,100.0,-0.023046085039774577,-0.11532218754291534,-0.13533926010131836,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+09,response_minus_blank,-0.18235652148723602,-0.27238404750823975,0.27238404750823975,100.0,-0.023046005566914878,-0.11532111465930939,-0.13533785939216614,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+10,response_minus_blank,-0.1823563277721405,-0.27238428592681885,0.27238428592681885,100.0,-0.0230461057027181,-0.11532093584537506,-0.13533852994441986,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+11,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.023046156565348308,-0.11532096564769745,-0.13533885776996613,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+12,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_x+12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-12,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-11,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-10,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-09,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-08,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-07,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-06,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-05,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-04,response_minus_blank,0.18235641717910767,0.27238452434539795,0.27238452434539795,100.0,0.023046159744262697,0.11532095819711685,0.1353388875722885,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-03,response_minus_blank,0.13681603968143463,0.20440292358398438,0.20440292358398438,100.0,0.01729221026102702,0.08650626987218857,0.10156064480543137,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-02,response_minus_blank,0.09124322980642319,0.1363450288772583,0.1363450288772583,100.0,0.011533198356628417,0.05768121778964996,0.06774475425481796,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-01,response_minus_blank,0.045637886971235275,0.06821072101593018,0.06821072101593018,100.0,0.005769133965174357,0.028845801949501038,0.0338912233710289,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x-01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+00,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+00,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+01,response_minus_blank,-0.04563786834478378,-0.06821072101593018,0.06821072101593018,100.0,-0.005769132375717163,-0.028845801949501038,-0.0338912308216095,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+01,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+02,response_minus_blank,-0.09124322980642319,-0.1363450288772583,0.1363450288772583,100.0,-0.011533199946085614,-0.05768123269081116,-0.06774476170539856,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+02,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+03,response_minus_blank,-0.13681605458259583,-0.20440292358398438,0.20440292358398438,100.0,-0.017292211850484216,-0.08650627732276917,-0.10156065225601196,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+03,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+04,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+04,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+05,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+05,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+06,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+06,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+07,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+07,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+08,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+08,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+09,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+09,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+10,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+10,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+11,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+11,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+12,response_minus_blank,-0.18235641717910767,-0.27238452434539795,0.27238452434539795,100.0,-0.02304616133371989,-0.11532096564769745,-0.1353389024734497,,
67#4,PC_OFF,normal,logit,Mach,Mach_uniform_x+12,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_bright_surround,response_minus_blank,0.03687537834048271,0.09126400947570801,0.09126400947570801,113.33331298828125,0.009746104081471762,0.011637605726718903,0.08168123662471771,,
67#4,PC_OFF,normal,logit,SBC,SBC_bright_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_dark_surround,response_minus_blank,-0.03687538206577301,-0.09126400947570801,0.09126400947570801,113.33331298828125,-0.009746103286743165,-0.0116376131772995,-0.08168123662471771,,
67#4,PC_OFF,normal,logit,SBC,SBC_dark_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_control_bright_surround,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_control_bright_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_control_dark_surround,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,SBC,SBC_control_dark_surround,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_intersection,response_minus_blank,-0.18278716504573822,-0.2732311487197876,0.2732311487197876,100.0,-0.023118621508280437,-0.11549125611782074,-0.1360064297914505,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_corridor,response_minus_blank,-0.2193400114774704,-0.359594464302063,0.359594464302063,100.0,-0.032804005940755214,-0.12702634930610657,-0.2171046882867813,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_intersection,response_minus_blank,-0.21933940052986145,-0.3595924377441406,0.3595924377441406,100.0,-0.032803672154744466,-0.1270262897014618,-0.21710216999053955,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_intersection,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_corridor,response_minus_blank,-0.21933940052986145,-0.3595924377441406,0.3595924377441406,100.0,-0.032803672154744466,-0.1270262897014618,-0.21710216999053955,,
67#4,PC_OFF,normal,logit,Hermann,Hermann_control_corridor,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_on_bright_bar,response_minus_blank,-0.01846250705420971,-0.04571723937988281,0.04571723937988281,113.33331298828125,-0.004882957935333252,-0.005824282765388489,-0.040922701358795166,,
67#4,PC_OFF,normal,logit,White,White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_on_dark_bar,response_minus_blank,0.01846250705420971,0.04571729898452759,0.04571729898452759,113.33331298828125,0.004882958730061849,0.005824282765388489,0.040922701358795166,,
67#4,PC_OFF,normal,logit,White,White_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_bright_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_dark_bar,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_control_on_dark_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,neutral,neutral_blank,response_minus_blank,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,neutral,neutral_blank,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,response_minus_blank,-0.018465669825673103,-0.04572498798370361,0.04572498798370361,113.33331298828125,-0.004883774916330973,-0.005825340747833252,-0.04092957079410553,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_bright_bar,clamp_minus_normal,0.0,0.0,0.0,,0.0,0.0,0.0,,
67#4,PC_OFF,normal,logit,White,White_remote_contour_rearrangement_White_on_dark_bar,response_minus_blank,0.018465662375092506,0.04572504758834839,0.04572504758834839,113.33331298828125,0.004883774121602377,0.005825325846672058,0.04092959314584732,,
