group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,normal,logit,White,remote_contour_rearrangement,diagnostic_minus_original,4,-4.448890558705898e-05,-8.077919483184814e-05,8.077919483184814e-05,106.6666488647461,-6.987750530242921e-06,-1.809746026992798e-05,-5.494803190231323e-05,0,4,0
all,normal,logit,White,remote_contour_rearrangement,diagnostic_minus_original,22,-7.78743686747806e-06,-1.2422149831598455e-05,4.116242582147772e-05,99.99998751553622,-1.0495474844267875e-06,-2.879310737956654e-06,-8.205121213739568e-06,13,9,0
PC_OFF,normal,logit,White,remote_contour_rearrangement,previous_diagnostic_minus_original,4,-4.662275489408785e-05,-8.410215377807617e-05,8.410215377807617e-05,103.33331298828125,-7.0407986640930184e-06,-1.911446452140808e-05,-5.5324286222457886e-05,0,4,0
all,normal,logit,White,remote_contour_rearrangement,previous_diagnostic_minus_original,22,3.348155153368928e-06,1.522085883400657e-05,0.0001084967093034224,90.6060458096591,1.201647700685443e-06,-2.6253136721524326e-06,1.9145621494813398e-05,13,9,0
PC_OFF,normal,logit,White,remote_contour_rearrangement,shared_minus_overlapping_diagnostic_change,4,2.1338463227493776e-06,-8.344650268554688e-07,1.0907649993896484e-05,128.33332061767578,5.3048133850097664e-08,1.0170042514801025e-06,3.762543201446533e-07,3,1,0
all,normal,logit,White,remote_contour_rearrangement,shared_minus_overlapping_diagnostic_change,22,-1.1135592355448022e-05,-3.1855973330411046e-05,6.946108557961203e-05,99.39392922141336,-2.2511951851122305e-06,-2.5399706580422143e-07,-2.7350742708552968e-05,8,14,0
PC_OFF,normal,probability,White,remote_contour_rearrangement,diagnostic_minus_original,4,-9.383013050978661e-06,-1.679360866546631e-05,1.679360866546631e-05,106.6666488647461,-1.437912384668986e-06,-3.8584694266319275e-06,-1.1263415217399597e-05,0,4,0
all,normal,probability,White,remote_contour_rearrangement,diagnostic_minus_original,22,-1.7265027658843544e-06,-2.877617424184626e-06,7.2389163754203105e-06,102.42423040216619,-2.436520475329775e-07,-6.456182084300301e-07,-1.938717270439321e-06,13,9,0
PC_OFF,normal,probability,White,remote_contour_rearrangement,previous_diagnostic_minus_original,4,-1.006449252827224e-05,-1.8034130334854126e-05,1.8034130334854126e-05,103.33332061767578,-1.498733957608541e-06,-4.148576408624649e-06,-1.1734198778867722e-05,0,4,0
all,normal,probability,White,remote_contour_rearrangement,previous_diagnostic_minus_original,22,-3.0685101199362014e-07,7.108531214974143e-07,1.7256560650738802e-05,90.90907842462713,5.952788121772535e-08,-6.363049826838754e-07,1.6953457485545764e-06,13,9,0
PC_OFF,normal,probability,White,remote_contour_rearrangement,shared_minus_overlapping_diagnostic_change,4,6.814797863796684e-07,1.2479722499847412e-06,2.1047890186309814e-06,103.33332061767578,6.082157293955486e-08,2.9010698199272156e-07,4.707835614681244e-07,3,1,0
all,normal,probability,White,remote_contour_rearrangement,shared_minus_overlapping_diagnostic_change,22,-1.4196517223200287e-06,-4.103237932378596e-06,1.0303475640036844e-05,96.96968633478338,-3.0317992875070285e-07,-9.313225746154785e-09,-3.634063018993898e-06,9,13,0
PC_OFF,normal,logit,White,remote_contour_rearrangement_control,diagnostic_minus_original,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,White,remote_contour_rearrangement_control,diagnostic_minus_original,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,White,remote_contour_rearrangement_control,previous_diagnostic_minus_original,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,White,remote_contour_rearrangement_control,previous_diagnostic_minus_original,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,White,remote_contour_rearrangement_control,shared_minus_overlapping_diagnostic_change,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,White,remote_contour_rearrangement_control,shared_minus_overlapping_diagnostic_change,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,probability,White,remote_contour_rearrangement_control,diagnostic_minus_original,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,probability,White,remote_contour_rearrangement_control,diagnostic_minus_original,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,probability,White,remote_contour_rearrangement_control,previous_diagnostic_minus_original,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,probability,White,remote_contour_rearrangement_control,previous_diagnostic_minus_original,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,probability,White,remote_contour_rearrangement_control,shared_minus_overlapping_diagnostic_change,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,probability,White,remote_contour_rearrangement_control,shared_minus_overlapping_diagnostic_change,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Hermann,contour_rearrangement,diagnostic_minus_original,4,-1.2362996415049565e-05,-2.2232532501220703e-05,2.2232532501220703e-05,101.66665649414062,-1.735985279083252e-06,-5.232170224189758e-06,-1.35079026222229e-05,0,4,0
all,normal,logit,Hermann,contour_rearrangement,diagnostic_minus_original,22,-2.290624487179891e-06,-5.543231964111328e-06,1.1189417405561967e-05,115.15150451660156,-3.140261678984671e-07,-8.58848745172674e-07,-2.2642991759560327e-06,13,9,0
