group,mode,channel,family,name,kind,current_mean_on,previous_mean_on,delta_mean_on,current_peak_signed,previous_peak_signed,delta_peak_signed,current_peak_absolute,previous_peak_absolute,delta_peak_absolute,current_peak_latency_from_onset_ms,previous_peak_latency_from_onset_ms,delta_peak_latency_from_onset_ms,current_integral_response_seconds,previous_integral_response_seconds,delta_integral_response_seconds,current_onset_50ms_mean,previous_onset_50ms_mean,delta_onset_50ms_mean,current_offset_50ms_mean,previous_offset_50ms_mean,delta_offset_50ms_mean
PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,0.18833882175385952,0.18607699871063232,0.0022618230432271957,0.28116942942142487,0.28498953580856323,-0.0038201063871383667,0.28116942942142487,0.28498953580856323,-0.0038201063871383667,58.33332061767578,63.33332824707031,-5.000007629394531,0.020970680316289268,0.020929222106933598,4.145820935566938e-05,0.12165901251137257,0.11772337183356285,0.003935640677809715,0.1035288404673338,0.10754825733602047,-0.004019416868686676
all,normal,logit,Mach,Mach_x-12,response_minus_blank,0.01802115540274165,0.016181258273056963,0.0018398971296846867,0.09799456867304715,0.08245009183883667,0.01554447683421048,0.21700247038494458,0.21575650843706998,0.001245961947874602,66.66665649414062,72.42423456365412,-5.7575780695134995,0.00519973250952634,0.005082474856665641,0.00011725765286069861,0.0029782744293863125,0.0014281513338739221,0.0015501230955123904,0.04289474372159351,0.04494540325619958,-0.002050659534606064
PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,normal,logit,Mach,Mach_x-12,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,0.18833875842392445,0.18607686646282673,0.0022618919610977173,0.2811693698167801,0.28498944640159607,-0.003820076584815979,0.2811693698167801,0.28498944640159607,-0.003820076584815979,58.33332061767578,63.33332824707031,-5.000007629394531,0.02097065329551697,0.020929181377092997,4.147191842397355e-05,0.12165900878608227,0.11772333830595016,0.003935670480132103,0.10352862067520618,0.1075479257851839,-0.004019305109977722
all,normal,logit,Mach,Mach_x-11,response_minus_blank,0.018021151719784193,0.016181351024318825,0.0018398006954653684,0.09799470955675299,0.0824505713852969,0.015544138171456084,0.2170026112686504,0.21575716137886047,0.001245449889789918,66.66665649414062,72.42423456365412,-5.7575780695134995,0.005199732834642584,0.005082522395885352,0.00011721043875723147,0.0029782744293863125,0.0014281642030585897,0.0015501102263277228,0.04289472915909507,0.04494577680121769,-0.0020510476421226193
PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,normal,logit,Mach,Mach_x-11,clamp_minus_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,0.1883387640118599,0.18607614934444427,0.002262614667415619,0.28116972744464874,0.2849889546632767,-0.0038192272186279297,0.28116972744464874,0.2849889546632767,-0.0038192272186279297,58.33332061767578,63.33332824707031,-5.000007629394531,0.020970481236775716,0.020928864081700645,4.161715507507158e-05,0.12165917083621025,0.11772321723401546,0.003935953602194786,0.10352712124586105,0.10754524916410446,-0.004018127918243408
all,normal,logit,Mach,Mach_x-10,response_minus_blank,0.018021307843313975,0.016182168386876583,0.0018391394564373914,0.09799604795195839,0.08245436440814626,0.015541683543812135,0.21700393882664767,0.2157622982155193,0.0012416406111283862,66.66665649414062,72.42423456365412,-5.7575780695134995,0.0051997647321585455,0.005082940278631268,0.00011682445352727711,0.0029783238741484556,0.0014283027161251414,0.0015500211580233142,0.04289485107768665,0.044948896901174026,-0.002054045823487373
