group,mode,channel,family,name,kind,n_cells,mean_on,peak_signed,peak_absolute,peak_latency_from_onset_ms,integral_response_seconds,onset_50ms_mean,offset_50ms_mean,positive_cells,negative_cells,zero_within_1e9_cells
PC_OFF,normal,logit,Mach,Mach_x-12,response_minus_blank,4,0.18833882175385952,0.28116942942142487,0.28116942942142487,58.33332061767578,0.020970680316289268,0.12165901251137257,0.1035288404673338,4,0,0
all,normal,logit,Mach,Mach_x-12,response_minus_blank,22,0.01802115540274165,0.09799456867304715,0.21700247038494458,66.66665649414062,0.00519973250952634,0.0029782744293863125,0.04289474372159351,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-12,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-12,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-11,response_minus_blank,4,0.18833875842392445,0.2811693698167801,0.2811693698167801,58.33332061767578,0.02097065329551697,0.12165900878608227,0.10352862067520618,4,0,0
all,normal,logit,Mach,Mach_x-11,response_minus_blank,22,0.018021151719784193,0.09799470955675299,0.2170026112686504,66.66665649414062,0.005199732834642584,0.0029782744293863125,0.04289472915909507,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-11,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-11,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-10,response_minus_blank,4,0.1883387640118599,0.28116972744464874,0.28116972744464874,58.33332061767578,0.020970481236775716,0.12165917083621025,0.10352712124586105,4,0,0
all,normal,logit,Mach,Mach_x-10,response_minus_blank,22,0.018021307843313975,0.09799604795195839,0.21700393882664767,66.66665649414062,0.0051997647321585455,0.0029783238741484556,0.04289485107768665,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-10,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
all,normal,logit,Mach,Mach_x-10,clamp_minus_normal,22,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,22
PC_OFF,normal,logit,Mach,Mach_x-09,response_minus_blank,4,0.18834195286035538,0.28117646276950836,0.28117646276950836,58.33332061767578,0.020970133741696678,0.12166131101548672,0.10352373123168945,4,0,0
all,normal,logit,Mach,Mach_x-09,response_minus_blank,22,0.018022738354788584,0.09800220890478654,0.2170103598724712,66.66665649414062,0.005200034307711052,0.0029787522825327787,0.042896454307166015,9,13,0
PC_OFF,normal,logit,Mach,Mach_x-09,clamp_minus_normal,4,0.0,0.0,0.0,,0.0,0.0,0.0,0,0,4
